"",BBDA1.M.DE.N.IM.S.A.US.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.US.A.V.ABA.A_FLAGS
1997-09,2609757,
1997-10,2766460,
1997-11,2661936,
1997-12,2480821,
1998-01,2667320,
1998-02,2819845,
1998-03,3105833,
1998-04,2975393,
1998-05,2746779,
1998-06,2983548,
1998-07,2930535,
1998-08,2670855,
1998-09,2953371,
1998-10,2948939,
1998-11,2831770,
1998-12,3290389,
1999-01,2420169,
1999-02,3014000,
1999-03,3320748,
1999-04,3298354,
1999-05,3016261,
1999-06,3194426,
1999-07,2974657,
1999-08,2949340,
1999-09,3156326,
1999-10,3180963,
1999-11,3051796,
1999-12,3213023,
2000-01,3250132,
2000-02,3255753,
2000-03,4270195,
2000-04,3588842,
2000-05,4305312,
2000-06,3888266,
2000-07,3723843,
2000-08,3908902,
2000-09,3589631,
2000-10,4339252,
2000-11,4536170,
2000-12,4464781,
2001-01,4267549,
2001-02,4056760,
2001-03,4320625,
2001-04,3867897,
2001-05,4192473,
2001-06,4073879,
2001-07,3838799,
2001-08,3840649,
2001-09,3041141,
2001-10,3671972,
2001-11,3742579,
2001-12,3067389,
2002-01,3106380,
2002-02,3221088,
2002-03,3559671,
2002-04,3961164,
2002-05,3179184,
2002-06,3705410,
2002-07,3077086,
2002-08,3233832,
2002-09,3035856,
2002-10,3471369,
2002-11,3887168,
2002-12,2937598,
2003-01,3573590,
2003-02,3132260,
2003-03,3442628,
2003-04,3556277,
2003-05,3258541,
2003-06,3322182,
2003-07,3192597,
2003-08,3240190,
2003-09,3238681,
2003-10,3364216,
2003-11,3000104,
2003-12,2909770,
2004-01,3080136,
2004-02,2810870,
2004-03,3204771,
2004-04,3748889,
2004-05,3716375,
2004-06,3827893,
2004-07,3354474,
2004-08,3117595,
2004-09,3414916,
2004-10,3511753,
2004-11,3571620,
2004-12,3349605,
2005-01,3176078,
2005-02,3185309,
2005-03,3041626,
2005-04,3741698,
2005-05,3384160,
2005-06,3831661,
2005-07,3287618,
2005-08,3762834,
2005-09,3308465,
2005-10,4008293,
2005-11,3562588,
2005-12,3507352,
2006-01,3840795,
2006-02,3955021,
2006-03,4033571,
2006-04,3902819,
2006-05,4036755,
2006-06,4031008,
2006-07,4000952,
2006-08,4123442,
2006-09,4082724,
2006-10,4699367,
2006-11,4098731,
2006-12,4391374,
2007-01,3860314,
2007-02,3961252,
2007-03,3833914,
2007-04,4195586,
2007-05,3738299,
2007-06,3946380,
2007-07,3428963,
2007-08,3926630,
2007-09,3788699,
2007-10,3818093,
2007-11,3915088,
2007-12,3580195,
2008-01,3644942,
2008-02,3699967,
2008-03,3732012,
2008-04,4185547,
2008-05,3648755,
2008-06,3957973,
2008-07,4102412,
2008-08,3578797,
2008-09,3888899,
2008-10,3873427,
2008-11,3986969,
2008-12,4163830,
2009-01,3470883,
2009-02,3583032,
2009-03,4068827,
2009-04,3287863,
2009-05,3175979,
2009-06,2970627,
2009-07,3145876,
2009-08,2823444,
2009-09,3061021,
2009-10,3138109,
2009-11,3319200,
2009-12,3237648,
2010-01,3320432,
2010-02,2897808,
2010-03,3968592,
2010-04,3508518,
2010-05,3502741,
2010-06,4183930,
2010-07,4037933,
2010-08,3893482,
2010-09,3921287,
2010-10,3843102,
2010-11,4311108,
2010-12,3852142,
2011-01,3878853,
2011-02,4020514,
2011-03,4261861,
2011-04,3912057,
2011-05,4570054,
2011-06,3776756,
2011-07,3673426,
2011-08,3983161,
2011-09,3770246,
2011-10,4286148,
2011-11,4202911,
2011-12,4195475,
2012-01,3804323,
2012-02,4145204,
2012-03,4565172,
2012-04,4284292,
2012-05,4349616,
2012-06,4526600,
2012-07,4380452,
2012-08,4373196,
2012-09,4072441,
2012-10,4707129,
2012-11,4233660,
2012-12,3628369,
2013-01,4193102,
2013-02,3649043,
2013-03,4409485,
2013-04,4019181,
2013-05,4353721,
2013-06,3975934,
2013-07,4070147,
2013-08,3937805,
2013-09,3928120,
2013-10,4336845,
2013-11,4204755,
2013-12,3503792,
2014-01,3773072,
2014-02,4148381,
2014-03,4317892,
2014-04,4191479,
2014-05,4024128,
2014-06,4290307,
2014-07,3786281,
2014-08,4147447,
2014-09,3970762,
2014-10,4292550,
2014-11,3773795,
2014-12,3883769,
