"",BBEX3.M.IDR.USD.CA.AB.A01,BBEX3.M.IDR.USD.CA.AB.A01_FLAGS
1979-12,629.00,
1980-01,629.25,
1980-02,630.50,
1980-03,631.00,
1980-04,630.50,
1980-05,628.50,
1980-06,627.25,
1980-07,628.50,
1980-08,627.75,
1980-09,627.75,
1980-10,628.25,
1980-11,629.50,
1980-12,628.75,
1981-01,630.25,
1981-02,630.50,
1981-03,630.00,
1981-04,631.00,
1981-05,632.00,
1981-06,633.25,
1981-07,635.50,
1981-08,635.00,
1981-09,635.75,
1981-10,636.75,
1981-11,636.50,
1981-12,646.00,
1982-01,648.75,
1982-02,651.75,
1982-03,653.75,
1982-04,653.75,
1982-05,656.00,
1982-06,659.25,
1982-07,661.75,
1982-08,667.00,
1982-09,673.25,
1982-10,683.00,
1982-11,686.00,
1982-12,694.50,
1983-01,698.25,
1983-02,702.50,
1983-03,972.00,
1983-04,970.00,
1983-05,971.00,
1983-06,976.00,
1983-07,983.00,
1983-08,986.00,
1983-09,984.00,
1983-10,986.00,
1983-11,993.00,
1983-12,996.00,
1984-01,997.00,
1984-02,995.00,
1984-03,1002.00,
1984-04,1007.00,
1984-05,1011.00,
1984-06,1017.00,
1984-07,1029.00,
1984-08,1050.00,
1984-09,1061.00,
1984-10,1061.00,
1984-11,1068.50,
1984-12,1076.00,
1985-01,1084.00,
1985-02,1094.00,
1985-03,1103.00,
1985-04,1111.00,
1985-05,1119.00,
1985-06,1120.00,
1985-07,1118.00,
1985-08,1121.00,
1985-09,1123.00,
1985-10,1125.00,
1985-11,1124.00,
1985-12,1127.00,
1986-01,1129.00,
1986-02,1130.00,
1986-03,1127.00,
1986-04,1126.00,
1986-05,1132.00,
1986-06,1133.00,
1986-07,1133.00,
1986-08,1134.00,
1986-09,1636.00,
1986-10,1643.00,
1986-11,1653.00,
1986-12,1644.00,
1987-01,1636.00,
1987-02,1647.00,
1987-03,1647.00,
1987-04,1644.00,
1987-05,1652.00,
1987-06,1651.00,
1987-07,1643.00,
1987-08,1643.00,
1987-09,1653.00,
1987-10,1651.00,
1987-11,1653.00,
1987-12,1653.00,
1988-01,1665.00,
1988-02,1663.00,
1988-03,1663.00,
1988-04,1672.00,
1988-05,1676.00,
1988-06,1691.00,
1988-07,1696.00,
1988-08,1702.00,
1988-09,1709.00,
1988-10,1718.00,
1988-11,1724.00,
1988-12,1732.00,
1989-01,1743.00,
1989-02,1748.00,
1989-03,1758.00,
1989-04,1762.00,
1989-05,1774.00,
1989-06,1776.00,
1989-07,1777.00,
1989-08,1788.00,
1989-09,1786.00,
1989-10,1794.00,
1989-11,1797.00,
1989-12,1803.00,
1990-01,1811.00,
1990-02,1818.00,
1990-03,1826.00,
1990-04,1832.00,
1990-05,1839.00,
1990-06,1847.00,
1990-07,1852.00,
1990-08,1861.00,
1990-09,1867.00,
1990-10,1875.00,
1990-11,1887.00,
1990-12,1904.00,
1991-01,1915.00,
1991-02,1923.00,
1991-03,1935.00,
1991-04,1942.00,
1991-05,1950.00,
1991-06,1957.00,
1991-07,1962.00,
1991-08,1968.00,
1991-09,1971.00,
1991-10,1980.00,
1991-11,1988.00,
1991-12,1995.00,
1992-01,2007.00,
1992-02,2013.00,
1992-03,2020.00,
1992-04,2025.00,
1992-05,2030.00,
1992-06,2036.00,
1992-07,2038.00,
1992-08,2037.00,
1992-09,2043.00,
1992-10,2055.00,
1992-11,2064.00,
1992-12,2067.00,
1993-01,2070.00,
1993-02,2072.00,
1993-03,2076.00,
1993-04,2079.00,
1993-05,2084.00,
1993-06,2093.00,
1993-07,2101.00,
1993-08,2107.00,
1993-09,2113.00,
1993-10,2110.00,
1993-11,2111.00,
1993-12,2120.00,
1994-01,2132.00,
1994-02,2146.00,
1994-03,2154.00,
1994-04,2159.00,
1994-05,2165.00,
1994-06,2170.00,
1994-07,2179.00,
1994-08,2185.00,
1994-09,2196.00,
1994-10,2201.00,
1994-11,2208.00,
1994-12,2215.00,
1995-01,2222.00,
1995-02,2227.00,
1995-03,2234.00,
1995-04,2242.00,
1995-05,2251.00,
1995-06,2268.00,
1995-07,2278.00,
1995-08,2288.00,
1995-09,2298.00,
1995-10,2307.00,
1995-11,2318.00,
1995-12,2330.00,
1996-01,2333.00,
1996-02,2344.00,
1996-03,2360.00,
1996-04,2364.00,
1996-05,2376.00,
1996-06,2365.00,
1996-07,2376.00,
1996-08,2386.00,
1996-09,2364.00,
1996-10,2376.00,
1996-11,2392.00,
1996-12,2407.00,
1997-01,2420.00,
1997-02,2430.00,
1997-03,2443.00,
1997-04,2457.00,
1997-05,2464.00,
1997-06,2474.00,
1997-07,2623.00,
1997-08,3065.00,
1997-09,3308.00,
1997-10,3707.00,
1997-11,3666.00,
1997-12,5326.00,
1998-01,10427.00,
1998-02,8794.00,
1998-03,8367.00,
1998-04,8010.00,
1998-05,10578.00,
1998-06,14975.00,
1998-07,13065.00,
1998-08,11130.00,
1998-09,10754.00,
1998-10,7588.00,
1998-11,7337.00,
1998-12,8065.00,
1999-01,8995.00,
1999-02,8774.00,
1999-03,8728.00,
1999-04,8301.00,
1999-05,8146.00,
1999-06,6760.00,
1999-07,6909.00,
1999-08,7603.00,
1999-09,8428.00,
1999-10,6935.00,
1999-11,7462.00,
1999-12,7136.00,
2000-01,7462.00,
2000-02,7543.00,
2000-03,7628.00,
2000-04,7985.00,
2000-05,8663.00,
2000-06,8779.00,
2000-07,9048.00,
2000-08,8331.00,
2000-09,8824.00,
2000-10,9442.00,
2000-11,9578.00,
2000-12,9643.00,
2001-01,9497.00,
2001-02,9884.00,
2001-03,10452.00,
2001-04,11733.00,
2001-05,11113.00,
2001-06,11497.00,
2001-07,9573.00,
2001-08,8909.00,
2001-09,9723.00,
2001-10,10487.00,
2001-11,10482.00,
2001-12,10452.00,
2002-01,10372.00,
2002-02,10240.00,
2002-03,9703.00,
2002-04,9363.00,
2002-05,8829.00,
2002-06,8774.00,
2002-07,9154.00,
2002-08,8911.00,
2002-09,9060.00,
2002-10,9279.00,
2002-11,9021.00,
2002-12,8985.00,
2003-01,8920.00,
2003-02,8950.00,
2003-03,8953.00,
2003-04,8718.00,
2003-05,8320.00,
2003-06,8326.00,
2003-07,8548.00,
2003-08,8578.00,
2003-09,8431.00,
2003-10,8537.00,
2003-11,8580.00,
2003-12,8507.00,
2004-01,8483.00,
2004-02,8489.00,
2004-03,8630.00,
2004-04,8704.00,
2004-05,9261.00,
2004-06,9462.00,
2004-07,9214.00,
2004-08,9375.00,
2004-09,9216.00,
2004-10,9135.00,
2004-11,9063.00,
2004-12,9336.00,
2005-01,9211.00,
2005-02,9306.00,
2005-03,9527.00,
2005-04,9618.00,
2005-05,9542.00,
2005-06,9762.00,
2005-07,9868.00,
2005-08,10291.00,
2005-09,10362.00,
2005-10,10140.00,
2005-11,10085.00,
2005-12,9879.00,
2006-01,9442.00,
2006-02,9276.00,
2006-03,9120.00,
2006-04,8819.00,
2006-05,9266.00,
2006-06,9347.00,
2006-07,9115.00,
2006-08,9146.00,
2006-09,9281.00,
2006-10,9156.00,
2006-11,9211.00,
2006-12,9065.00,
2007-01,9135.00,
2007-02,9206.00,
2007-03,9164.00,
2007-04,9128.00,
2007-05,8872.00,
2007-06,9099.00,
2007-07,9232.00,
2007-08,9457.00,
2007-09,9183.00,
2007-10,9149.00,
2007-11,9423.00,
2007-12,9466.00,
2008-01,9337.00,
2008-02,9096.00,
2008-03,9263.00,
2008-04,9280.00,
2008-05,9365.00,
2008-06,9271.00,
2008-07,9164.00,
2008-08,9199.00,
2008-09,9425.00,
2008-10,11050.00,
2008-11,12212.00,
2008-12,11005.00,
2009-01,11412.00,
2009-02,12040.00,
2009-03,11633.00,
2009-04,10767.00,
2009-05,10392.00,
2009-06,10276.00,
2009-07,9970.00,
2009-08,10110.00,
2009-09,9729.00,
2009-10,9593.00,
2009-11,9527.00,
2009-12,9447.00,
2010-01,9412.00,
2010-02,9382.00,
2010-03,9161.00,
2010-04,9057.00,
2010-05,9226.00,
2010-06,9128.00,
2010-07,8997.00,
2010-08,9086.00,
2010-09,8969.00,
2010-10,8973.00,
2010-11,9058.00,
2010-12,9036.00,
2011-01,9102.00,
2011-02,8867.00,
2011-03,8753.00,
2011-04,8617.00,
2011-05,8580.00,
2011-06,8640.00,
2011-07,8551.00,
2011-08,8621.00,
2011-09,8867.00,
2011-10,8879.00,
2011-11,9216.00,
2011-12,9113.00,
2012-01,9045.00,
2012-02,9130.00,
2012-03,9226.00,
2012-04,9236.00,
2012-05,9613.00,
2012-06,9527.00,
2012-07,9532.00,
2012-08,9608.00,
2012-09,9636.00,
2012-10,9663.00,
2012-11,9653.00,
2012-12,9718.00,
2013-01,9746.00,
2013-02,9715.00,
2013-03,9768.00,
2013-04,9771.00,
2013-05,9851.00,
2013-06,9979.00,
2013-07,10329.00,
2013-08,10979.00,
2013-09,11671.00,
2013-10,11290.00,
2013-11,12037.00,
2013-12,12250.00,
2014-01,12287.00,
2014-02,11692.00,
2014-03,11461.00,
2014-04,11590.00,
2014-05,11669.00,
2014-06,12029.00,
2014-07,11649.00,
2014-08,11776.00,
2014-09,12273.00,
2014-10,12142.00,
2014-11,12257.00,
2014-12,12502.00,
2015-01,12688.00,
"","Source: Bank Indonesia, Jakarta.",
