"",BBEE1.D.I7.AAA.XZE01B.A.AABAN.M00,BBEE1.D.I7.AAA.XZE01B.A.AABAN.M00_FLAGS
1998-05-24,.,No value available
1998-05-25,.,No value available
1998-05-26,100.0129,
1998-05-27,100.3901,
1998-05-28,99.7889,
1998-05-29,99.8055,
1998-05-30,.,No value available
1998-05-31,.,No value available
1998-06-01,.,No value available
1998-06-02,99.8718,
1998-06-03,100.0580,
1998-06-04,100.0803,
1998-06-05,100.2536,
1998-06-06,.,No value available
1998-06-07,.,No value available
1998-06-08,100.3028,
1998-06-09,100.1019,
1998-06-10,99.9860,
1998-06-11,99.4536,
1998-06-12,99.4462,
1998-06-13,.,No value available
1998-06-14,.,No value available
1998-06-15,99.3975,
1998-06-16,99.7647,
1998-06-17,99.6274,
1998-06-18,99.0580,
1998-06-19,98.6758,
1998-06-20,.,No value available
1998-06-21,.,No value available
1998-06-22,.,No value available
1998-06-23,98.7345,
1998-06-24,98.6056,
1998-06-25,98.9355,
1998-06-26,99.0042,
1998-06-27,.,No value available
1998-06-28,.,No value available
1998-06-29,98.6666,
1998-06-30,98.5589,
1998-07-01,98.1598,
1998-07-02,98.0152,
1998-07-03,98.2038,
1998-07-04,.,No value available
1998-07-05,.,No value available
1998-07-06,98.6948,
1998-07-07,98.5357,
1998-07-08,98.3275,
1998-07-09,98.0284,
1998-07-10,98.4993,
1998-07-11,.,No value available
1998-07-12,.,No value available
1998-07-13,98.8636,
1998-07-14,99.0091,
1998-07-15,98.9490,
1998-07-16,99.3036,
1998-07-17,99.3731,
1998-07-18,.,No value available
1998-07-19,.,No value available
1998-07-20,99.4855,
1998-07-21,99.2719,
1998-07-22,99.3925,
1998-07-23,99.2592,
1998-07-24,99.3577,
1998-07-25,.,No value available
1998-07-26,.,No value available
1998-07-27,99.4530,
1998-07-28,99.4984,
1998-07-29,100.0089,
1998-07-30,100.2882,
1998-07-31,99.9938,
1998-08-01,.,No value available
1998-08-02,.,No value available
1998-08-03,100.0736,
1998-08-04,100.0557,
1998-08-05,.,No value available
1998-08-06,100.8207,
1998-08-07,100.8260,
1998-08-08,.,No value available
1998-08-09,.,No value available
1998-08-10,100.6550,
1998-08-11,100.6653,
1998-08-12,101.0103,
1998-08-13,100.5260,
1998-08-14,100.2623,
1998-08-15,.,No value available
1998-08-16,.,No value available
1998-08-17,100.3668,
1998-08-18,100.2599,
1998-08-19,99.9476,
1998-08-20,100.0470,
1998-08-21,100.1636,
1998-08-22,.,No value available
1998-08-23,.,No value available
1998-08-24,100.1722,
1998-08-25,100.2389,
1998-08-26,100.0012,
1998-08-27,99.7722,
1998-08-28,100.6157,
1998-08-29,.,No value available
1998-08-30,.,No value available
1998-08-31,100.9133,
1998-09-01,101.1584,
1998-09-02,100.9319,
1998-09-03,101.9948,
1998-09-04,101.4823,
1998-09-05,.,No value available
1998-09-06,.,No value available
1998-09-07,.,No value available
1998-09-08,101.7681,
1998-09-09,101.9089,
1998-09-10,103.1313,
1998-09-11,103.3745,
1998-09-12,.,No value available
1998-09-13,.,No value available
1998-09-14,102.8656,
1998-09-15,103.5986,
1998-09-16,103.3910,
1998-09-17,103.8564,
1998-09-18,103.2786,
1998-09-19,.,No value available
1998-09-20,.,No value available
1998-09-21,104.0921,
1998-09-22,103.8521,
1998-09-23,103.8403,
1998-09-24,104.3542,
1998-09-25,104.3844,
1998-09-26,.,No value available
1998-09-27,.,No value available
1998-09-28,103.8810,
1998-09-29,103.8370,
1998-09-30,104.2227,
1998-10-01,105.4702,
1998-10-02,106.1750,
1998-10-03,.,No value available
1998-10-04,.,No value available
1998-10-05,106.5321,
1998-10-06,106.1364,
1998-10-07,106.2783,
1998-10-08,105.1421,
1998-10-09,104.4085,
1998-10-10,.,No value available
1998-10-11,.,No value available
1998-10-12,.,No value available
1998-10-13,104.0522,
1998-10-14,104.2184,
1998-10-15,104.5572,
1998-10-16,104.8998,
1998-10-17,.,No value available
1998-10-18,.,No value available
1998-10-19,104.3947,
1998-10-20,104.0288,
1998-10-21,103.5522,
1998-10-22,103.5756,
1998-10-23,103.9432,
1998-10-24,.,No value available
1998-10-25,.,No value available
1998-10-26,103.5781,
1998-10-27,103.4757,
1998-10-28,103.6099,
1998-10-29,103.4966,
1998-10-30,103.3527,
1998-10-31,.,No value available
1998-11-01,.,No value available
1998-11-02,103.3797,
1998-11-03,102.9370,
1998-11-04,102.8549,
1998-11-05,103.3661,
1998-11-06,103.2754,
1998-11-07,.,No value available
1998-11-08,.,No value available
1998-11-09,102.5784,
1998-11-10,102.7259,
1998-11-11,.,No value available
1998-11-12,102.8271,
1998-11-13,102.5319,
1998-11-14,.,No value available
1998-11-15,.,No value available
1998-11-16,103.3810,
1998-11-17,103.1809,
1998-11-18,103.2777,
1998-11-19,102.7196,
1998-11-20,102.3553,
1998-11-21,.,No value available
1998-11-22,.,No value available
1998-11-23,101.5600,
1998-11-24,101.4388,
1998-11-25,101.7627,
1998-11-26,.,No value available
1998-11-27,101.8553,
1998-11-28,.,No value available
1998-11-29,.,No value available
1998-11-30,102.2002,
1998-12-01,102.8697,
1998-12-02,102.9990,
1998-12-03,102.6264,
1998-12-04,102.6708,
1998-12-05,.,No value available
1998-12-06,.,No value available
1998-12-07,102.8985,
1998-12-08,103.2750,
1998-12-09,103.1104,
1998-12-10,103.3325,
1998-12-11,103.5103,
1998-12-12,.,No value available
1998-12-13,.,No value available
1998-12-14,103.3420,
1998-12-15,103.1367,
1998-12-16,102.7977,
1998-12-17,102.8543,
1998-12-18,102.7945,
1998-12-19,.,No value available
1998-12-20,.,No value available
1998-12-21,102.4344,
1998-12-22,102.3751,
1998-12-23,102.3204,
1998-12-24,102.0701,
1998-12-25,.,No value available
1998-12-26,.,No value available
1998-12-27,.,No value available
1998-12-28,102.1894,
1998-12-29,102.3256,
1998-12-30,102.5838,
1998-12-31,102.5401,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,103.1259,
1999-01-05,102.7305,
1999-01-06,.,No value available
1999-01-07,101.6218,
1999-01-08,101.9460,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,101.0820,
1999-01-12,101.2623,
1999-01-13,102.6465,
1999-01-14,102.1992,
1999-01-15,102.0581,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,.,No value available
1999-01-19,101.6914,
1999-01-20,101.4584,
1999-01-21,101.4417,
1999-01-22,101.6010,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,101.5877,
1999-01-26,101.5739,
1999-01-27,101.3291,
1999-01-28,100.7947,
1999-01-29,100.6793,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,100.4401,
1999-02-02,100.1033,
1999-02-03,100.1390,
1999-02-04,99.8035,
1999-02-05,99.8998,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,99.7705,
1999-02-09,100.4904,
1999-02-10,100.7178,
1999-02-11,100.5148,
1999-02-12,100.0405,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,.,No value available
1999-02-16,99.8795,
1999-02-17,100.4150,
1999-02-18,100.4541,
1999-02-19,100.0683,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,99.2792,
1999-02-23,99.1487,
1999-02-24,99.8566,
1999-02-25,99.8574,
1999-02-26,99.7031,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,99.3731,
1999-03-02,98.8398,
1999-03-03,98.8823,
1999-03-04,99.0018,
1999-03-05,98.6531,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,98.9877,
1999-03-09,98.7707,
1999-03-10,99.1004,
1999-03-11,98.5836,
1999-03-12,98.7298,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,98.8286,
1999-03-16,98.6323,
1999-03-17,99.2350,
1999-03-18,99.3804,
1999-03-19,98.5354,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,98.2790,
1999-03-23,98.5840,
1999-03-24,98.5649,
1999-03-25,98.5058,
1999-03-26,98.0771,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,97.5397,
1999-03-30,97.7153,
1999-03-31,97.7896,
1999-04-01,98.0754,
1999-04-02,98.2514,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,.,No value available
1999-04-06,98.1689,
1999-04-07,98.6415,
1999-04-08,98.4712,
1999-04-09,98.2940,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,98.6733,
1999-04-13,98.0221,
1999-04-14,97.9419,
1999-04-15,97.9048,
1999-04-16,97.1143,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,96.7173,
1999-04-20,96.7782,
1999-04-21,96.5510,
1999-04-22,96.5951,
1999-04-23,96.7954,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,96.5351,
1999-04-27,96.7682,
1999-04-28,96.8835,
1999-04-29,96.5214,
1999-04-30,96.5154,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,96.4603,
1999-05-04,96.4247,
1999-05-05,96.8868,
1999-05-06,97.7282,
1999-05-07,97.6734,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,97.3927,
1999-05-11,97.4128,
1999-05-12,96.8665,
1999-05-13,96.7966,
1999-05-14,97.2433,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,97.3786,
1999-05-18,97.3776,
1999-05-19,97.1843,
1999-05-20,97.2678,
1999-05-21,96.8530,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,96.9867,
1999-05-25,97.1714,
1999-05-26,96.5288,
1999-05-27,96.1162,
1999-05-28,96.0181,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,.,No value available
1999-06-01,95.6572,
1999-06-02,95.1954,
1999-06-03,95.2364,
1999-06-04,94.7443,
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,94.6436,
1999-06-08,95.2537,
1999-06-09,95.5352,
1999-06-10,95.5983,
1999-06-11,95.4350,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,95.2650,
1999-06-15,95.1539,
1999-06-16,94.8620,
1999-06-17,94.7080,
1999-06-18,95.0026,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,94.9274,
1999-06-22,.,No value available
1999-06-23,94.6360,
1999-06-24,94.9136,
1999-06-25,95.6424,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,95.3057,
1999-06-29,95.0916,
1999-06-30,94.9438,
1999-07-01,94.3767,
1999-07-02,94.2667,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,.,No value available
1999-07-06,94.2991,
1999-07-07,94.4547,
1999-07-08,94.2347,
1999-07-09,94.4824,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,93.9578,
1999-07-13,94.2297,
1999-07-14,94.1032,
1999-07-15,94.2368,
1999-07-16,94.2111,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,93.8594,
1999-07-20,95.3945,
1999-07-21,95.9205,
1999-07-22,96.0641,
1999-07-23,95.8170,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,97.1373,
1999-07-27,96.6802,
1999-07-28,96.5109,
1999-07-29,96.7590,
1999-07-30,96.6087,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,96.3512,
1999-08-03,96.3780,
1999-08-04,96.9903,
1999-08-05,.,No value available
1999-08-06,97.0042,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,96.8998,
1999-08-10,97.0112,
1999-08-11,96.5911,
1999-08-12,96.4447,
1999-08-13,96.5208,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,95.8171,
1999-08-17,95.6261,
1999-08-18,95.3909,
1999-08-19,95.2475,
1999-08-20,96.0722,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,95.7907,
1999-08-24,95.3384,
1999-08-25,94.8281,
1999-08-26,95.0318,
1999-08-27,95.0534,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,95.0196,
1999-08-31,95.4157,
1999-09-01,95.6727,
1999-09-02,96.0680,
1999-09-03,96.2786,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,.,No value available
1999-09-07,95.6311,
1999-09-08,95.7006,
1999-09-09,95.2844,
1999-09-10,94.7659,
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,93.4193,
1999-09-14,93.7822,
1999-09-15,93.6307,
1999-09-16,93.5343,
1999-09-17,93.8769,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,93.9622,
1999-09-21,93.4990,
1999-09-22,94.2193,
1999-09-23,93.6809,
1999-09-24,93.8943,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,93.4993,
1999-09-28,94.0909,
1999-09-29,94.7727,
1999-09-30,95.3437,
1999-10-01,95.6917,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,95.5984,
1999-10-05,95.4207,
1999-10-06,95.8650,
1999-10-07,95.8419,
1999-10-08,95.3934,
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,.,No value available
1999-10-12,95.3216,
1999-10-13,96.2781,
1999-10-14,96.0523,
1999-10-15,96.5757,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,96.5338,
1999-10-19,96.2388,
1999-10-20,95.9946,
1999-10-21,96.0472,
1999-10-22,95.7024,
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,95.3017,
1999-10-26,94.9371,
1999-10-27,94.3986,
1999-10-28,94.4301,
1999-10-29,94.0427,
1999-10-30,.,No value available
1999-10-31,.,No value available
1999-11-01,.,No value available
1999-11-02,94.2913,
1999-11-03,94.0736,
1999-11-04,94.3742,
1999-11-05,93.9867,
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,93.9699,
1999-11-09,93.9645,
1999-11-10,93.8933,
1999-11-11,.,No value available
1999-11-12,93.2632,
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,93.1734,
1999-11-16,93.4365,
1999-11-17,93.8378,
1999-11-18,93.6567,
1999-11-19,93.0967,
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,93.1448,
1999-11-23,93.0518,
1999-11-24,92.4307,
1999-11-25,.,No value available
1999-11-26,91.7283,
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,91.5005,
1999-11-30,91.6618,
1999-12-01,91.5987,
1999-12-02,91.3990,
1999-12-03,91.0271,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,92.0490,
1999-12-07,92.2767,
1999-12-08,92.2011,
1999-12-09,91.7129,
1999-12-10,91.4688,
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,91.4165,
1999-12-14,91.0465,
1999-12-15,91.0468,
1999-12-16,91.7482,
1999-12-17,91.7086,
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,91.4118,
1999-12-21,91.2952,
1999-12-22,91.0673,
1999-12-23,91.1851,
1999-12-24,91.5998,
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,91.5223,
1999-12-28,91.2675,
1999-12-29,91.0863,
1999-12-30,90.8817,
1999-12-31,.,No value available
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,91.1217,
2000-01-04,92.4831,
2000-01-05,93.0101,
2000-01-06,.,No value available
2000-01-07,92.5254,
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,92.1577,
2000-01-11,92.4977,
2000-01-12,92.7108,
2000-01-13,92.5401,
2000-01-14,92.1169,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,91.2241,
2000-01-18,91.2542,
2000-01-19,91.3941,
2000-01-20,91.1185,
2000-01-21,90.9982,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,90.5595,
2000-01-25,90.5643,
2000-01-26,90.6865,
2000-01-27,90.4169,
2000-01-28,89.6629,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,89.6001,
2000-02-01,89.1940,
2000-02-02,89.3983,
2000-02-03,89.5766,
2000-02-04,90.2894,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,89.8029,
2000-02-08,90.6710,
2000-02-09,90.7547,
2000-02-10,90.2683,
2000-02-11,90.0115,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,90.4929,
2000-02-15,89.9885,
2000-02-16,90.0608,
2000-02-17,90.8552,
2000-02-18,90.5252,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,90.6647,
2000-02-22,91.6964,
2000-02-23,92.0667,
2000-02-24,90.9846,
2000-02-25,90.4133,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,89.0634,
2000-02-29,89.7108,
2000-03-01,89.2774,
2000-03-02,89.5161,
2000-03-03,89.1817,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,88.9988,
2000-03-07,88.7266,
2000-03-08,88.2715,
2000-03-09,88.7320,
2000-03-10,88.6901,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,89.2842,
2000-03-14,88.6940,
2000-03-15,88.9566,
2000-03-16,89.0805,
2000-03-17,89.1413,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,89.6145,
2000-03-21,89.4275,
2000-03-22,88.7763,
2000-03-23,88.9676,
2000-03-24,89.2420,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,89.0726,
2000-03-28,88.6716,
2000-03-29,88.0064,
2000-03-30,87.8728,
2000-03-31,87.6905,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,87.9448,
2000-04-04,87.8339,
2000-04-05,88.8512,
2000-04-06,88.5065,
2000-04-07,88.1230,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,88.3736,
2000-04-11,88.4580,
2000-04-12,88.1774,
2000-04-13,87.9184,
2000-04-14,88.0002,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,88.1431,
2000-04-18,87.6749,
2000-04-19,87.4463,
2000-04-20,86.8700,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,86.4130,
2000-04-26,85.6827,
2000-04-27,85.5886,
2000-04-28,85.2085,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,85.5523,
2000-05-03,84.0839,
2000-05-04,84.6821,
2000-05-05,84.9522,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,84.8236,
2000-05-09,85.0230,
2000-05-10,86.0999,
2000-05-11,86.2285,
2000-05-12,85.6476,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,86.6198,
2000-05-16,86.1106,
2000-05-17,85.2322,
2000-05-18,85.4915,
2000-05-19,84.8583,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,85.7466,
2000-05-23,86.6756,
2000-05-24,86.7194,
2000-05-25,85.9352,
2000-05-26,87.1215,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,87.8186,
2000-05-30,88.2447,
2000-05-31,87.9428,
2000-06-01,88.2229,
2000-06-02,88.3407,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,88.4846,
2000-06-06,88.8240,
2000-06-07,89.0835,
2000-06-08,89.9649,
2000-06-09,89.0424,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,89.1035,
2000-06-13,89.4463,
2000-06-14,89.8834,
2000-06-15,89.0274,
2000-06-16,89.3289,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,89.8190,
2000-06-20,89.0684,
2000-06-21,88.6437,
2000-06-22,88.1148,
2000-06-23,88.1039,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,87.6711,
2000-06-27,88.2609,
2000-06-28,88.2567,
2000-06-29,88.6825,
2000-06-30,89.1885,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,88.7478,
2000-07-04,88.6974,
2000-07-05,89.1526,
2000-07-06,89.2566,
2000-07-07,88.8360,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,88.9781,
2000-07-11,89.0446,
2000-07-12,88.8707,
2000-07-13,87.9123,
2000-07-14,87.9638,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,88.2144,
2000-07-18,88.0828,
2000-07-19,87.1245,
2000-07-20,87.2088,
2000-07-21,87.9723,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,87.7923,
2000-07-25,88.3573,
2000-07-26,88.2003,
2000-07-27,88.2209,
2000-07-28,87.5372,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,87.5157,
2000-08-01,87.6185,
2000-08-02,86.8277,
2000-08-03,85.9425,
2000-08-04,85.7783,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,86.1353,
2000-08-08,85.7598,
2000-08-09,85.2322,
2000-08-10,85.7146,
2000-08-11,86.4327,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,85.6116,
2000-08-15,86.4567,
2000-08-16,86.1226,
2000-08-17,86.6001,
2000-08-18,86.5715,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,85.8254,
2000-08-22,85.5299,
2000-08-23,85.1102,
2000-08-24,85.7940,
2000-08-25,85.9377,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,85.8125,
2000-08-29,85.6606,
2000-08-30,85.4230,
2000-08-31,85.3317,
2000-09-01,85.2958,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,85.8108,
2000-09-05,85.1218,
2000-09-06,84.6717,
2000-09-07,83.7545,
2000-09-08,84.3596,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,83.5128,
2000-09-12,83.7664,
2000-09-13,84.1578,
2000-09-14,84.3487,
2000-09-15,83.9351,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,83.3949,
2000-09-19,83.4357,
2000-09-20,82.7088,
2000-09-21,83.0200,
2000-09-22,85.3624,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,84.5728,
2000-09-26,84.4630,
2000-09-27,85.1388,
2000-09-28,84.9174,
2000-09-29,84.4697,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,84.7567,
2000-10-03,84.6219,
2000-10-04,84.4927,
2000-10-05,84.8774,
2000-10-06,84.3613,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,84.2996,
2000-10-10,84.3510,
2000-10-11,84.2736,
2000-10-12,83.7297,
2000-10-13,83.4846,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,82.9533,
2000-10-17,82.9361,
2000-10-18,83.0261,
2000-10-19,82.1716,
2000-10-20,82.4665,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,81.8084,
2000-10-24,81.8179,
2000-10-25,81.4209,
2000-10-26,81.2921,
2000-10-27,81.7273,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,82.6360,
2000-10-31,82.3172,
2000-11-01,83.2671,
2000-11-02,83.8792,
2000-11-03,84.3971,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,83.9911,
2000-11-07,83.6649,
2000-11-08,83.5180,
2000-11-09,83.3827,
2000-11-10,84.3400,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,83.9626,
2000-11-14,83.7133,
2000-11-15,83.9345,
2000-11-16,83.8365,
2000-11-17,83.6113,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,83.2978,
2000-11-21,83.3578,
2000-11-22,83.0292,
2000-11-23,83.2133,
2000-11-24,83.3112,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,83.0174,
2000-11-28,83.9332,
2000-11-29,84.5505,
2000-11-30,85.0430,
2000-12-01,85.2524,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,86.2290,
2000-12-05,85.4933,
2000-12-06,85.7092,
2000-12-07,86.4474,
2000-12-08,86.0153,
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,85.1894,
2000-12-12,85.1336,
2000-12-13,85.0141,
2000-12-14,85.4947,
2000-12-15,86.4022,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,86.2321,
2000-12-19,85.9724,
2000-12-20,87.1598,
2000-12-21,87.6410,
2000-12-22,88.3888,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,88.9918,
2000-12-28,88.8823,
2000-12-29,89.0101,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,89.8774,
2001-01-03,90.4595,
2001-01-04,90.0437,
2001-01-05,90.7451,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,90.4273,
2001-01-09,89.8919,
2001-01-10,89.9391,
2001-01-11,90.7817,
2001-01-12,91.0896,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,90.5294,
2001-01-16,90.4647,
2001-01-17,90.2329,
2001-01-18,90.3521,
2001-01-19,90.1995,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,89.6439,
2001-01-23,90.2835,
2001-01-24,89.5857,
2001-01-25,88.6253,
2001-01-26,89.0528,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,88.7451,
2001-01-30,88.7258,
2001-01-31,89.3798,
2001-02-01,89.9788,
2001-02-02,89.9242,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,90.1474,
2001-02-06,89.5123,
2001-02-07,89.7010,
2001-02-08,89.0063,
2001-02-09,89.2626,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,89.6759,
2001-02-13,89.5146,
2001-02-14,88.7425,
2001-02-15,88.1759,
2001-02-16,88.2139,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,89.0266,
2001-02-20,88.1128,
2001-02-21,88.7313,
2001-02-22,88.0879,
2001-02-23,88.1389,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,88.3487,
2001-02-27,88.8219,
2001-02-28,89.4819,
2001-03-01,89.6276,
2001-03-02,90.1429,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,89.8294,
2001-03-06,89.5509,
2001-03-07,89.9171,
2001-03-08,89.9359,
2001-03-09,90.2321,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,89.7810,
2001-03-13,89.4755,
2001-03-14,89.2720,
2001-03-15,88.7457,
2001-03-16,88.1104,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,88.4423,
2001-03-20,88.6535,
2001-03-21,88.5563,
2001-03-22,88.0018,
2001-03-23,88.0348,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,88.0106,
2001-03-27,88.1120,
2001-03-28,87.3798,
2001-03-29,87.2901,
2001-03-30,87.5316,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,87.2729,
2001-04-03,87.7512,
2001-04-04,89.0596,
2001-04-05,88.7972,
2001-04-06,88.2843,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,88.6272,
2001-04-10,88.0464,
2001-04-11,87.3191,
2001-04-12,87.1849,
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,86.8561,
2001-04-18,86.8091,
2001-04-19,86.9773,
2001-04-20,88.1689,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,88.2874,
2001-04-24,88.0802,
2001-04-25,87.9851,
2001-04-26,88.4006,
2001-04-27,88.5803,
2001-04-28,.,No value available
