"",BBFB1.M.Y.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
2006-03,1.97,
2006-04,2.04,
2006-05,2.24,
2006-06,2.77,
2006-07,2.18,
2006-08,2.07,
2006-09,2.14,
2006-10,2.16,
2006-11,2.19,
2006-12,2.23,
2007-01,2.14,
2007-02,2.15,
2007-03,2.16,
2007-04,2.21,
2007-05,2.21,
2007-06,2.17,
2007-07,2.20,
2007-08,2.22,
2007-09,2.23,
2007-10,2.23,
2007-11,2.18,
2007-12,2.18,
2008-01,2.17,
2008-02,2.24,
2008-03,2.25,
2008-04,2.23,
2008-05,2.30,
2008-06,2.25,
2008-07,2.21,
2008-08,2.26,
2008-09,2.25,
2008-10,2.33,
2008-11,2.31,
2008-12,2.29,
2009-01,2.11,
2009-02,2.02,
2009-03,2.00,
2009-04,2.04,
2009-05,2.06,
2009-06,2.11,
2009-07,2.04,
2009-08,2.14,
2009-09,2.08,
2009-10,2.06,
2009-11,2.03,
2009-12,2.09,
2010-01,1.99,
2010-02,2.08,
2010-03,2.13,
2010-04,2.11,
2010-05,2.13,
2010-06,2.20,
2010-07,2.20,
2010-08,2.22,
2010-09,2.33,
2010-10,2.21,
2010-11,2.26,
2010-12,2.17,
2011-01,2.20,
2011-02,2.23,
2011-03,2.23,
2011-04,2.25,
2011-05,2.24,
2011-06,2.31,
2011-07,2.32,
2011-08,2.39,
2011-09,2.41,
2011-10,2.40,
2011-11,2.40,
2011-12,2.44,
2012-01,2.42,
2012-02,2.45,
2012-03,2.47,
2012-04,2.34,
2012-05,2.53,
2012-06,2.47,
2012-07,2.53,
2012-08,2.46,
2012-09,2.54,
2012-10,2.42,
2012-11,2.50,
2012-12,2.56,
2013-01,2.63,
2013-02,2.56,
2013-03,2.59,
2013-04,2.58,
2013-05,2.55,
2013-06,2.52,
2013-07,2.62,
2013-08,2.57,
2013-09,2.54,
2013-10,2.64,
2013-11,2.64,
2013-12,2.63,
2014-01,2.69,
2014-02,2.61,Provisional value
2014-03,2.64,Provisional value
2014-04,2.67,Provisional value
2014-05,2.69,Provisional value
2014-06,2.68,Provisional value
2014-07,2.67,Provisional value
2014-08,2.80,Provisional value
2014-09,2.69,
2014-10,2.69,
2014-11,2.74,
2014-12,2.78,Provisional value
