"",BBFN1.M.DE.N.1.A.FI.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FI.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1998-12,0.214,
1999-01,0.207,
1999-02,0.198,
1999-03,0.438,
1999-04,0.386,
1999-05,0.370,
1999-06,0.285,
1999-07,0.276,
1999-08,0.335,
1999-09,0.353,
1999-10,0.382,
1999-11,0.420,
1999-12,0.350,
2000-01,0.307,
2000-02,0.294,
2000-03,0.298,
2000-04,0.305,
2000-05,0.306,
2000-06,0.289,
2000-07,0.344,
2000-08,0.338,
2000-09,0.364,
2000-10,0.508,
2000-11,0.411,
2000-12,0.390,
2001-01,0.366,
2001-02,0.379,
2001-03,0.409,
2001-04,0.408,
2001-05,0.373,
2001-06,0.374,
2001-07,0.310,
2001-08,0.319,
2001-09,0.318,
2001-10,0.381,
2001-11,0.390,
2001-12,0.381,
2002-01,0.352,
2002-02,0.412,
2002-03,1.055,
2002-04,1.039,
2002-05,1.063,
2002-06,1.030,
2002-07,0.922,
2002-08,1.005,
2002-09,1.144,
2002-10,1.148,
2002-11,0.932,
2002-12,0.978,
2003-01,0.970,
2003-02,1.127,
2003-03,1.108,
2003-04,1.176,
2003-05,1.190,
2003-06,1.125,
2003-07,1.008,
2003-08,0.982,
2003-09,1.035,
2003-10,1.084,
2003-11,1.164,
2003-12,1.108,
2004-01,1.312,
2004-02,1.179,
2004-03,1.257,
2004-04,1.319,
2004-05,1.329,
2004-06,1.245,
2004-07,1.216,
2004-08,1.201,
2004-09,1.178,
2004-10,1.228,
2004-11,1.159,
2004-12,1.243,
2005-01,1.198,
2005-02,1.291,
2005-03,1.216,
2005-04,1.218,
2005-05,1.252,
2005-06,1.238,
2005-07,1.351,
2005-08,1.308,
2005-09,1.288,
2005-10,1.275,
2005-11,1.293,
2005-12,1.265,
2006-01,1.271,
2006-02,1.426,
2006-03,1.441,
2006-04,1.528,
2006-05,1.671,
2006-06,1.590,
2006-07,1.542,
2006-08,1.612,
2006-09,1.687,
2006-10,1.716,
2006-11,1.783,
2006-12,1.682,
2007-01,1.777,
2007-02,1.815,
2007-03,1.908,
2007-04,1.922,
2007-05,2.042,
2007-06,1.948,
2007-07,1.962,
2007-08,1.857,
2007-09,1.881,
2007-10,1.671,
2007-11,1.796,
2007-12,1.901,
2008-01,1.757,
2008-02,1.744,
2008-03,1.745,
2008-04,1.845,
2008-05,2.131,
2008-06,2.128,
2008-07,2.117,
2008-08,2.202,
2008-09,2.328,
2008-10,2.290,
2008-11,2.234,
2008-12,2.217,
2009-01,2.171,
2009-02,2.090,
2009-03,2.447,
2009-04,2.344,
2009-05,2.563,
2009-06,2.490,
2009-07,2.770,
2009-08,2.721,
2009-09,3.275,
2009-10,3.363,
2009-11,3.638,
2009-12,3.550,
2010-01,3.853,
2010-02,4.221,
2010-03,3.990,
2010-04,4.511,
2010-05,4.327,
2010-06,4.279,
2010-07,4.356,
2010-08,4.342,
2010-09,4.348,
2010-10,4.672,
2010-11,4.418,
2010-12,4.605,
2011-01,4.370,
2011-02,4.378,
2011-03,4.524,
2011-04,5.088,
2011-05,6.132,
2011-06,6.303,
2011-07,5.467,
2011-08,4.996,
2011-09,5.589,
2011-10,5.455,
2011-11,5.973,
2011-12,5.573,
2012-01,5.708,
2012-02,7.165,
2012-03,7.655,
2012-04,7.780,
2012-05,8.671,
2012-06,9.124,
2012-07,10.053,
2012-08,9.786,
2012-09,11.477,
2012-10,11.522,
2012-11,12.328,
2012-12,13.106,
2013-01,15.637,
2013-02,15.743,
2013-03,15.430,
2013-04,15.902,
2013-05,15.423,
2013-06,16.090,
2013-07,16.488,
2013-08,16.820,
2013-09,17.921,
2013-10,19.609,
2013-11,19.603,
2013-12,18.527,
2014-01,21.419,
2014-02,21.716,
2014-03,20.765,
2014-04,20.753,
2014-05,21.418,
2014-06,21.522,
2014-07,19.162,
2014-08,19.008,
2014-09,20.263,
2014-10,21.438,
2014-11,20.643,
2014-12,19.601,
