"",BBFN1.M.DE.N.1.L.JP.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1986-06,0.015,
1986-07,0.024,
1986-08,0.012,
1986-09,.,No value available
1986-10,0.016,
1986-11,0.016,
1986-12,0.014,
1987-01,0.011,
1987-02,0.008,
1987-03,0.009,
1987-04,0.009,
1987-05,0.009,
1987-06,0.009,
1987-07,0.006,
1987-08,0.007,
1987-09,0.012,
1987-10,0.024,
1987-11,0.026,
1987-12,0.028,
1988-01,0.054,
1988-02,0.053,
1988-03,0.066,
1988-04,0.070,
1988-05,0.070,
1988-06,0.056,
1988-07,0.042,
1988-08,0.059,
1988-09,0.041,
1988-10,0.025,
1988-11,0.025,
1988-12,0.016,
1989-01,0.015,
1989-02,0.015,
1989-03,0.020,
1989-04,0.019,
1989-05,0.027,
1989-06,0.027,
1989-07,0.029,
1989-08,0.028,
1989-09,0.034,
1989-10,0.041,
1989-11,0.043,
1989-12,0.043,
1990-01,0.042,
1990-02,0.043,
1990-03,0.043,
1990-04,0.037,
1990-05,0.042,
1990-06,0.049,
1990-07,0.044,
1990-08,0.044,
1990-09,0.042,
1990-10,0.029,
1990-11,0.026,
1990-12,0.022,
1991-01,0.025,
1991-02,0.031,
1991-03,0.032,
1991-04,0.042,
1991-05,0.041,
1991-06,0.051,
1991-07,0.037,
1991-08,0.042,
1991-09,0.056,
1991-10,0.049,
1991-11,0.054,
1991-12,0.055,
1992-01,0.069,
1992-02,0.073,
1992-03,0.082,
1992-04,0.089,
1992-05,0.085,
1992-06,0.110,
1992-07,0.097,
1992-08,0.106,
1992-09,0.085,
1992-10,0.083,
1992-11,0.085,
1992-12,0.087,
1993-01,0.081,
1993-02,0.107,
1993-03,0.124,
1993-04,0.133,
1993-05,0.141,
1993-06,0.150,
1993-07,0.157,
1993-08,0.153,
1993-09,0.142,
1993-10,0.148,
1993-11,0.147,
1993-12,0.143,
1994-01,0.139,
1994-02,0.145,
1994-03,0.161,
1994-04,0.173,
1994-05,0.169,
1994-06,0.168,
1994-07,0.145,
1994-08,0.150,
1994-09,0.150,
1994-10,0.155,
1994-11,0.165,
1994-12,0.169,
1995-01,0.202,
1995-02,0.199,
1995-03,0.154,
1995-04,0.155,
1995-05,0.159,
1995-06,0.159,
1995-07,0.159,
1995-08,0.155,
1995-09,0.154,
1995-10,0.133,
1995-11,0.116,
1995-12,0.098,
1996-01,0.081,
1996-02,0.085,
1996-03,0.094,
1996-04,0.114,
1996-05,0.087,
1996-06,0.104,
1996-07,0.116,
1996-08,0.084,
1996-09,0.095,
1996-10,0.162,
1996-11,0.079,
1996-12,0.116,
1997-01,0.079,
1997-02,0.087,
1997-03,0.098,
1997-04,0.070,
1997-05,0.067,
1997-06,0.077,
1997-07,0.073,
1997-08,0.070,
1997-09,0.070,
1997-10,0.075,
1997-11,0.069,
1997-12,0.115,
1998-01,0.091,
1998-02,0.073,
1998-03,0.067,
1998-04,0.063,
1998-05,0.063,
1998-06,0.072,
1998-07,0.052,
1998-08,0.062,
1998-09,0.067,
1998-10,0.065,
1998-11,0.083,
1998-12,0.085,
1999-01,0.066,
1999-02,0.082,
1999-03,0.072,
1999-04,0.071,
1999-05,0.083,
1999-06,0.073,
1999-07,0.074,
1999-08,0.081,
1999-09,0.101,
1999-10,0.112,
1999-11,0.119,
1999-12,0.145,
2000-01,0.138,
2000-02,0.139,
2000-03,0.150,
2000-04,0.156,
2000-05,0.151,
2000-06,0.169,
2000-07,0.157,
2000-08,0.158,
2000-09,0.148,
2000-10,0.150,
2000-11,0.120,
2000-12,0.114,
2001-01,0.121,
2001-02,0.117,
2001-03,0.175,
2001-04,0.128,
2001-05,0.133,
2001-06,0.129,
2001-07,0.128,
2001-08,0.130,
2001-09,0.132,
2001-10,0.131,
2001-11,0.132,
2001-12,0.124,
2002-01,0.139,
2002-02,0.130,
2002-03,0.099,
2002-04,0.110,
2002-05,0.130,
2002-06,0.110,
2002-07,0.113,
2002-08,0.110,
2002-09,0.110,
2002-10,0.107,
2002-11,0.118,
2002-12,0.099,
2003-01,0.104,
2003-02,0.101,
2003-03,0.101,
2003-04,0.112,
2003-05,0.088,
2003-06,0.091,
2003-07,0.086,
2003-08,0.088,
2003-09,0.088,
2003-10,0.088,
2003-11,0.082,
2003-12,0.071,
2004-01,0.069,
2004-02,0.061,
2004-03,0.064,
2004-04,0.073,
2004-05,0.043,
2004-06,0.049,
2004-07,0.026,
2004-08,0.026,
2004-09,0.025,
2004-10,0.013,
2004-11,0.013,
2004-12,0.037,
2005-01,0.013,
2005-02,0.026,
2005-03,0.023,
2005-04,0.031,
2005-05,0.023,
2005-06,0.023,
2005-07,0.023,
2005-08,0.023,
2005-09,0.023,
2005-10,0.022,
2005-11,0.022,
2005-12,0.022,
2006-01,0.022,
2006-02,0.022,
2006-03,0.022,
2006-04,0.022,
2006-05,0.022,
2006-06,0.022,
2006-07,0.022,
2006-08,0.024,
2006-09,0.029,
2006-10,0.027,
2006-11,0.027,
2006-12,0.027,
2007-01,0.034,
2007-02,0.035,
2007-03,0.033,
2007-04,0.026,
2007-05,0.023,
2007-06,0.023,
2007-07,0.023,
2007-08,0.023,
2007-09,0.027,
2007-10,0.045,
2007-11,0.023,
2007-12,0.120,
2008-01,0.114,
2008-02,0.126,
2008-03,0.120,
2008-04,0.123,
2008-05,0.124,
2008-06,0.069,
2008-07,.,No value available
2008-08,0.064,
2008-09,0.027,
2008-10,0.033,
2008-11,0.025,
2008-12,0.024,
2009-01,0.034,
2009-02,0.035,
2009-03,0.042,
2009-04,0.027,
2009-05,0.335,
2009-06,0.353,
2009-07,0.336,
2009-08,0.339,
2009-09,0.326,
2009-10,0.338,
2009-11,0.341,
2009-12,0.026,
2010-01,0.027,
2010-02,0.075,
2010-03,0.034,
2010-04,0.041,
2010-05,0.025,
2010-06,0.036,
2010-07,0.029,
2010-08,0.026,
2010-09,0.027,
2010-10,0.027,
2010-11,0.049,
2010-12,0.032,
2011-01,0.031,
2011-02,0.027,
2011-03,0.026,
2011-04,0.027,
2011-05,0.058,
2011-06,0.027,
2011-07,0.029,
2011-08,0.034,
2011-09,0.029,
2011-10,0.028,
2011-11,0.038,
2011-12,0.031,
2012-01,0.032,
2012-02,0.028,
2012-03,0.027,
2012-04,0.026,
2012-05,0.028,
2012-06,0.027,
2012-07,0.027,
2012-08,0.026,
2012-09,0.026,
2012-10,0.030,
2012-11,0.039,
2012-12,0.025,
2013-01,0.021,
2013-02,0.023,
2013-03,0.016,
2013-04,0.002,
2013-05,0.000,
2013-06,.,No value available
2013-07,0.001,
2013-08,0.009,
2013-09,0.001,
2013-10,0.001,
2013-11,0.022,
2013-12,0.052,
2014-01,0.011,
2014-02,0.001,
2014-03,0.001,
2014-04,0.000,
2014-05,0.001,
2014-06,0.002,
2014-07,0.004,
2014-08,0.015,
2014-09,0.022,
2014-10,0.009,
2014-11,0.008,
2014-12,0.006,
