"",BBFN1.M.DE.N.1.L.IT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1993-06,0.066,
1993-07,0.094,
1993-08,0.092,
1993-09,0.094,
1993-10,0.103,
1993-11,0.122,
1993-12,0.105,
1994-01,0.118,
1994-02,0.086,
1994-03,0.124,
1994-04,0.137,
1994-05,0.124,
1994-06,0.110,
1994-07,0.085,
1994-08,0.076,
1994-09,0.067,
1994-10,0.164,
1994-11,0.109,
1994-12,0.119,
1995-01,0.102,
1995-02,0.104,
1995-03,0.151,
1995-04,0.120,
1995-05,0.105,
1995-06,0.101,
1995-07,0.101,
1995-08,0.104,
1995-09,0.114,
1995-10,0.102,
1995-11,0.100,
1995-12,0.165,
1996-01,0.126,
1996-02,0.149,
1996-03,0.144,
1996-04,0.158,
1996-05,0.133,
1996-06,0.227,
1996-07,0.270,
1996-08,0.188,
1996-09,0.192,
1996-10,0.117,
1996-11,0.174,
1996-12,0.139,
1997-01,0.148,
1997-02,0.163,
1997-03,0.150,
1997-04,0.149,
1997-05,0.140,
1997-06,0.270,
1997-07,0.135,
1997-08,0.151,
1997-09,0.102,
1997-10,0.150,
1997-11,0.184,
1997-12,0.214,
1998-01,0.212,
1998-02,0.280,
1998-03,0.218,
1998-04,0.187,
1998-05,0.262,
1998-06,0.286,
1998-07,0.304,
1998-08,0.223,
1998-09,0.272,
1998-10,0.264,
1998-11,0.313,
1998-12,0.276,
1999-01,0.271,
1999-02,0.205,
1999-03,0.266,
1999-04,0.140,
1999-05,0.128,
1999-06,0.748,
1999-07,0.101,
1999-08,0.119,
1999-09,0.139,
1999-10,0.156,
1999-11,0.160,
1999-12,0.099,
2000-01,0.181,
2000-02,0.192,
2000-03,0.140,
2000-04,0.193,
2000-05,0.132,
2000-06,0.195,
2000-07,0.094,
2000-08,0.194,
2000-09,0.083,
2000-10,0.160,
2000-11,0.185,
2000-12,0.174,
2001-01,0.093,
2001-02,0.228,
2001-03,0.142,
2001-04,0.221,
2001-05,0.141,
2001-06,0.338,
2001-07,0.200,
2001-08,0.437,
2001-09,0.453,
2001-10,0.344,
2001-11,0.348,
2001-12,0.341,
2002-01,0.247,
2002-02,0.262,
2002-03,0.252,
2002-04,0.308,
2002-05,0.290,
2002-06,0.247,
2002-07,0.324,
2002-08,0.473,
2002-09,0.476,
2002-10,0.494,
2002-11,0.440,
2002-12,0.427,
2003-01,0.417,
2003-02,0.412,
2003-03,0.387,
2003-04,0.299,
2003-05,0.261,
2003-06,0.272,
2003-07,0.279,
2003-08,0.262,
2003-09,0.259,
2003-10,0.146,
2003-11,0.141,
2003-12,0.159,
2004-01,0.130,
2004-02,0.129,
2004-03,0.158,
2004-04,0.095,
2004-05,0.109,
2004-06,0.114,
2004-07,0.115,
2004-08,0.094,
2004-09,0.088,
2004-10,0.085,
2004-11,0.085,
2004-12,0.094,
2005-01,0.152,
2005-02,0.070,
2005-03,0.038,
2005-04,0.047,
2005-05,0.043,
2005-06,0.053,
2005-07,0.027,
2005-08,0.049,
2005-09,0.035,
2005-10,0.036,
2005-11,0.045,
2005-12,0.030,
2006-01,0.037,
2006-02,0.029,
2006-03,0.040,
2006-04,0.055,
2006-05,0.050,
2006-06,0.089,
2006-07,0.078,
2006-08,0.113,
2006-09,0.077,
2006-10,0.058,
2006-11,0.066,
2006-12,0.081,
2007-01,0.051,
2007-02,0.058,
2007-03,0.104,
2007-04,0.141,
2007-05,1.535,
2007-06,1.527,
2007-07,1.536,
2007-08,0.155,
2007-09,0.114,
2007-10,0.084,
2007-11,0.489,
2007-12,0.651,
2008-01,0.731,
2008-02,0.732,
2008-03,0.405,
2008-04,0.341,
2008-05,0.387,
2008-06,0.164,
2008-07,0.117,
2008-08,0.127,
2008-09,0.176,
2008-10,0.335,
2008-11,0.460,
2008-12,0.390,
2009-01,0.388,
2009-02,0.402,
2009-03,0.631,
2009-04,0.602,
2009-05,0.593,
2009-06,0.610,
2009-07,0.515,
2009-08,0.478,
2009-09,0.490,
2009-10,0.510,
2009-11,0.471,
2009-12,0.077,
2010-01,0.157,
2010-02,0.128,
2010-03,0.130,
2010-04,0.139,
2010-05,0.186,
2010-06,0.115,
2010-07,0.228,
2010-08,0.244,
2010-09,0.230,
2010-10,0.234,
2010-11,0.358,
2010-12,0.251,
2011-01,0.302,
2011-02,0.276,
2011-03,0.259,
2011-04,0.224,
2011-05,0.255,
2011-06,0.240,
2011-07,0.116,
2011-08,0.209,
2011-09,0.265,
2011-10,0.141,
2011-11,0.992,
2011-12,0.757,
2012-01,0.732,
2012-02,0.686,
2012-03,0.321,
2012-04,0.386,
2012-05,0.400,
2012-06,0.345,
2012-07,0.352,
2012-08,0.324,
2012-09,0.306,
2012-10,0.318,
2012-11,0.397,
2012-12,0.375,
2013-01,0.359,
2013-02,0.369,
2013-03,0.328,
2013-04,0.310,
2013-05,0.304,
2013-06,0.343,
2013-07,0.298,
2013-08,0.091,
2013-09,0.096,
2013-10,0.079,
2013-11,0.084,
2013-12,0.027,
2014-01,0.031,
2014-02,0.031,
2014-03,0.028,
2014-04,0.027,
2014-05,0.031,
2014-06,0.029,
2014-07,0.029,
2014-08,0.032,
2014-09,0.033,
2014-10,0.028,
2014-11,0.039,
2014-12,0.031,
