"",BBEX3.M.VND.USD.CA.AA.A01,BBEX3.M.VND.USD.CA.AA.A01_FLAGS
1999-05,13911.00,
1999-06,13929.00,
1999-07,13947.00,
1999-08,13961.00,
1999-09,13991.00,
1999-10,14005.00,
1999-11,14011.00,
1999-12,14025.00,
2000-01,14052.00,
2000-02,14057.00,
2000-03,14061.00,
2000-04,14069.00,
2000-05,14084.00,
2000-06,14083.00,
2000-07,14092.00,
2000-08,14120.00,
2000-09,14214.00,
2000-10,14377.00,
2000-11,14498.00,
2000-12,14513.00,
2001-01,14545.00,
2001-02,14564.00,
2001-03,14544.00,
2001-04,14566.00,
2001-05,14661.00,
2001-06,14844.00,
2001-07,14943.00,
2001-08,14993.00,
2001-09,15003.00,
2001-10,15032.00,
2001-11,15067.00,
2001-12,15083.00,
2002-01,15121.00,
2002-02,15141.00,
2002-03,15189.00,
2002-04,15218.00,
2002-05,15250.00,
2002-06,15273.00,
2002-07,15320.00,
2002-08,15330.00,
2002-09,15345.00,
2002-10,15362.00,
2002-11,15383.00,
2002-12,15402.00,
2003-01,15432.00,
2003-02,15427.00,
2003-03,15453.00,
2003-04,15465.00,
2003-05,15474.00,
2003-06,15497.00,
2003-07,15514.00,
2003-08,15519.00,
2003-09,15554.00,
2003-10,15642.00,
2003-11,15629.00,
2003-12,15645.00,
2004-01,15695.00,
2004-02,15757.00,
2004-03,15723.00,
2004-04,15720.00,
2004-05,15747.00,
2004-06,15722.00,
2004-07,15751.00,
2004-08,15763.00,
2004-09,15754.00,
2004-10,15751.00,
2004-11,15772.00,
2004-12,15776.00,
2005-01,15788.00,
2005-02,15802.00,
2005-03,15822.00,
2005-04,15831.00,
2005-05,15850.00,
2005-06,15854.00,
2005-07,15881.00,
2005-08,15875.00,
2005-09,15892.00,
2005-10,15899.00,
2005-11,15907.00,
2005-12,15913.00,
2006-01,15913.00,
2006-02,15909.00,
2006-03,15922.00,
2006-04,15930.00,
2006-05,15958.00,
2006-06,15995.00,
2006-07,16006.00,
2006-08,16013.00,
2006-09,16049.00,
2006-10,16082.00,
2006-11,16075.00,
2006-12,16040.00,
2007-01,16034.00,
2007-02,15989.00,
2007-03,16020.00,
2007-04,16043.00,
2007-05,16083.00,
2007-06,16126.00,
2007-07,16138.00,
2007-08,16239.00,
2007-09,16083.00,
2007-10,16080.00,
2007-11,16044.00,
2007-12,16010.00,
2008-01,15970.00,
2008-02,15930.00,
2008-03,16120.00,
2008-04,16120.00,
2008-05,16247.00,
2008-06,16842.00,
2008-07,16750.00,
2008-08,16500.00,
2008-09,16570.00,
2008-10,16805.00,
2008-11,16975.00,
2008-12,17400.00,
2009-01,17475.00,
2009-02,17480.00,
2009-03,17720.00,
2009-04,17784.00,
2009-05,17783.00,
2009-06,17801.00,
2009-07,17815.00,
2009-08,17823.00,
2009-09,17841.00,
2009-10,17862.00,
2009-11,18485.00,
2009-12,18465.00,
2010-01,18469.00,
2010-02,18800.00,
2010-03,19070.00,
2010-04,18930.00,
2010-05,18960.00,
2010-06,19000.00,
2010-07,19098.00,
2010-08,19480.00,
2010-09,19490.00,
2010-10,19495.00,
2010-11,19495.00,
2010-12,19495.00,
2011-01,19495.00,
2011-02,20870.00,
2011-03,20900.00,
2011-04,20570.00,
2011-05,20510.00,
2011-06,20520.00,
2011-07,20560.00,
2011-08,20830.00,
2011-09,20830.00,
2011-10,21005.00,
2011-11,21005.00,
2011-12,21030.00,
2012-01,20986.00,
2012-02,20810.00,
2012-03,20800.00,
2012-04,20850.00,
2012-05,20840.00,
2012-06,20840.00,
2012-07,20850.00,
2012-08,20840.00,
2012-09,20860.00,
2012-10,20825.00,
2012-11,20825.00,
2012-12,20820.00,
2013-01,20825.00,
2013-02,20880.00,
2013-03,20920.00,
2013-04,20900.00,
2013-05,20980.00,
2013-06,21160.00,
2013-07,21140.00,
2013-08,21110.00,
2013-09,21080.00,
2013-10,21080.00,
2013-11,21080.00,
2013-12,21085.00,
2014-01,21035.00,
2014-02,21080.00,
2014-03,21085.00,
2014-04,21075.00,
2014-05,21140.00,
2014-06,21300.00,
2014-07,21195.00,
2014-08,21160.00,
2014-09,21185.00,
2014-10,21245.00,
2014-11,21390.00,
2014-12,21380.00,
2015-01,21315.00,
"","Source: Since 1997 Vietcombank (Bank for Foreign Trade), Hanoi  1991 - 1996 Standard Chartered Bank, Ho Chi Minh City and Hanoi  1990 Vietcombank (Bank for Foreign Trade), Hanoi",
"",Comment on 1990-12: Exchange rate as of 2 January 1991.,
"",Comment on 1996-04: Exchange rate as of 26 April 1996.,
