"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
2003-12,470578,
2004-01,475976,
2004-02,482910,
2004-03,483273,
2004-04,480748,
2004-05,476590,
2004-06,481976,
2004-07,481441,
2004-08,483319,
2004-09,486169,
2004-10,489602,
2004-11,493472,
2004-12,496169,
2005-01,502248,
2005-02,503211,
2005-03,502055,
2005-04,503397,
2005-05,515717,
2005-06,524242,
2005-07,530755,
2005-08,531731,
2005-09,537149,
2005-10,529421,
2005-11,533163,
2005-12,534426,
2006-01,534653,
2006-02,541748,
2006-03,540099,
2006-04,535153,
2006-05,524081,
2006-06,519077,
2006-07,528549,
2006-08,533025,
2006-09,542140,
2006-10,547639,
2006-11,548444,
2006-12,549138,
2007-01,551183,
2007-02,553376,
2007-03,557590,
2007-04,566301,
2007-05,569660,
2007-06,564374,
2007-07,563243,
2007-08,559947,
2007-09,556631,
2007-10,563301,
2007-11,546145,
2007-12,548754,
2008-01,528131,
2008-02,527359,
2008-03,515147,
2008-04,525561,
2008-05,524126,
2008-06,506384,
2008-07,496745,
2008-08,505049,
2008-09,484727,
2008-10,455892,
2008-11,456275,
2008-12,450965,
2009-01,455596,
2009-02,449245,
2009-03,454859,
2009-04,455099,
2009-05,442182,
2009-06,446750,
2009-07,463562,
2009-08,.,No value available
2009-09,615663,
2009-10,618056,
2009-11,627459,
2009-12,640264,
2010-01,650525,
2010-02,656040,
2010-03,675629,
2010-04,676234,
2010-05,675756,
2010-06,677042,
2010-07,685268,
2010-08,706248,
2010-09,710985,
2010-10,721173,
2010-11,717809,
2010-12,722472,
2011-01,718840,
2011-02,730065,
2011-03,726071,
2011-04,729911,
2011-05,735742,
2011-06,731636,
2011-07,736981,
2011-08,720952,
2011-09,714170,
2011-10,725346,
2011-11,716269,
2011-12,737750,
2012-01,752104,
2012-02,777911,
2012-03,784555,
2012-04,789891,
2012-05,793426,
2012-06,797201,
2012-07,830716,
2012-08,838089,
2012-09,843897,
2012-10,853708,
2012-11,866538,
2012-12,884424,
2013-01,886237,
2013-02,900429,
2013-03,916457,
2013-04,935565,
2013-05,933703,
2013-06,908103,
2013-07,928385,
2013-08,925594,
2013-09,938679,
2013-10,953347,
2013-11,964525,
2013-12,958551,
2014-01,967779,
2014-02,982011,
2014-03,996034,
2014-04,1005629,
2014-05,1026509,
2014-06,1036585,
2014-07,1048365,
2014-08,1069558,
2014-09,1074177,
2014-10,1081798,
2014-11,1103358,
