"",BBDE1.M.DE.Y.AEB5.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2P310000.F.C.I10.A_FLAGS
2003-07,76.9,
2003-08,76.6,
2003-09,79.0,
2003-10,78.7,
2003-11,79.5,
2003-12,84.6,
2004-01,81.8,
2004-02,83.5,
2004-03,81.7,
2004-04,84.0,
2004-05,85.5,
2004-06,83.1,
2004-07,83.9,
2004-08,84.4,
2004-09,85.6,
2004-10,82.4,
2004-11,82.0,
2004-12,84.1,
2005-01,84.9,
2005-02,84.1,
2005-03,84.3,
2005-04,85.5,
2005-05,86.3,
2005-06,87.9,
2005-07,92.8,
2005-08,90.0,
2005-09,91.1,
2005-10,92.7,
2005-11,94.2,
2005-12,95.2,
2006-01,93.9,
2006-02,97.1,
2006-03,96.1,
2006-04,98.8,
2006-05,98.8,
2006-06,101.2,
2006-07,100.9,
2006-08,101.7,
2006-09,101.4,
2006-10,104.2,
2006-11,104.8,
2006-12,102.7,
2007-01,102.8,
2007-02,105.0,
2007-03,110.4,
2007-04,104.6,
2007-05,107.0,
2007-06,110.8,
2007-07,106.4,
2007-08,107.5,
2007-09,111.7,
2007-10,111.6,
2007-11,114.6,
2007-12,112.3,
2008-01,110.3,
2008-02,108.0,
2008-03,109.3,
2008-04,108.2,
2008-05,110.1,
2008-06,105.8,
2008-07,106.1,
2008-08,107.4,
2008-09,100.6,
2008-10,100.3,
2008-11,91.9,
2008-12,82.8,
2009-01,76.1,
2009-02,73.1,
2009-03,73.8,
2009-04,77.8,
2009-05,80.6,
2009-06,84.4,
2009-07,85.9,
2009-08,89.1,
2009-09,90.6,
2009-10,90.0,
2009-11,90.8,
2009-12,87.1,
2010-01,94.0,
2010-02,95.9,
2010-03,97.2,
2010-04,99.6,
2010-05,98.5,
2010-06,98.9,
2010-07,101.3,
2010-08,101.0,
2010-09,100.0,
2010-10,101.3,
2010-11,103.1,
2010-12,105.8,
2011-01,108.9,
2011-02,106.7,
2011-03,108.8,
2011-04,105.2,
2011-05,102.9,
2011-06,105.2,
2011-07,104.7,
2011-08,105.9,
2011-09,101.9,
2011-10,100.1,
2011-11,97.8,
2011-12,105.0,
2012-01,103.0,
2012-02,105.0,
2012-03,99.4,
2012-04,100.0,
2012-05,102.2,
2012-06,100.1,
2012-07,100.2,
2012-08,102.0,
2012-09,95.7,
2012-10,101.4,
2012-11,98.7,
2012-12,99.7,
2013-01,97.4,
2013-02,97.8,
2013-03,102.2,
2013-04,100.2,
2013-05,100.2,
2013-06,99.6,
2013-07,99.4,
2013-08,100.0,
2013-09,100.8,
2013-10,109.0,
2013-11,103.9,
2013-12,100.9,
2014-01,103.2,
2014-02,104.9,
2014-03,105.1,
2014-04,104.6,
2014-05,100.4,
2014-06,104.2,
2014-07,104.3,
2014-08,101.2,
2014-09,106.6,
2014-10,109.0,
2014-11,106.6,
2014-12,107.7,Provisional value
