"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA._Z.F._Z._T._X.N_FLAGS
1997-05,4850.226,
1997-06,4012.867,
1997-07,17896.575,
1997-08,-3168.129,
1997-09,8442.727,
1997-10,8933.207,
1997-11,4086.389,
1997-12,-6051.099,
1998-01,26281.555,
1998-02,30528.690,
1998-03,24741.026,
1998-04,24939.501,
1998-05,21128.575,
1998-06,-5739.674,
1998-07,10691.743,
1998-08,-10080.417,
1998-09,21673.539,
1998-10,16987.345,
1998-11,41260.419,
1998-12,-24190.911,
1999-01,17055.060,
1999-02,26254.908,
1999-03,27822.717,
1999-04,23886.436,
1999-05,21711.551,
1999-06,5473.191,
1999-07,7769.931,
1999-08,14087.640,
1999-09,2569.412,
1999-10,24738.736,
1999-11,23840.635,
1999-12,31690.696,
2000-01,36816.905,
2000-02,67191.773,
2000-03,34284.042,
2000-04,14866.457,
2000-05,31354.255,
2000-06,12003.385,
2000-07,21552.013,
2000-08,32297.905,
2000-09,5152.386,
2000-10,28363.450,
2000-11,17338.288,
2000-12,-54707.999,
2001-01,46439.233,
2001-02,28988.323,
2001-03,-1560.343,
2001-04,17572.051,
2001-05,53151.382,
2001-06,-10609.445,
2001-07,8712.210,
2001-08,-10085.850,
2001-09,3363.876,
2001-10,20568.085,
2001-11,3839.143,
2001-12,17000.077,
2002-01,9577.168,
2002-02,10625.938,
2002-03,7292.567,
2002-04,17826.734,
2002-05,7771.193,
2002-06,-620.336,
2002-07,13609.053,
2002-08,-1318.997,
2002-09,13386.921,
2002-10,8750.757,
2002-11,-6184.441,
2002-12,-12002.731,
2003-01,21855.355,
2003-02,13383.592,
2003-03,10498.455,
2003-04,11096.233,
2003-05,13479.842,
2003-06,-3183.039,
2003-07,12847.827,
2003-08,-1736.467,
2003-09,4346.309,
2003-10,8052.387,
2003-11,-997.766,
2003-12,-14326.102,
2004-01,20641.878,
2004-02,-14337.502,
2004-03,17705.787,
2004-04,-2219.634,
2004-05,951.812,
2004-06,16089.925,
2004-07,15920.200,
2004-08,2123.227,
2004-09,16744.953,
2004-10,2846.778,
2004-11,2314.926,
2004-12,-8202.305,
2005-01,13946.161,
2005-02,25098.681,
2005-03,28784.482,
2005-04,4401.004,
2005-05,14375.414,
2005-06,21900.554,
2005-07,7886.944,
2005-08,2717.445,
2005-09,30690.709,
2005-10,17582.721,
2005-11,24978.056,
2005-12,-2263.868,
2006-01,28212.871,
2006-02,33538.389,
2006-03,17904.819,
2006-04,10064.880,
2006-05,4319.448,
2006-06,6964.187,
2006-07,-3017.284,
2006-08,171.557,
2006-09,29274.894,
2006-10,15198.198,
2006-11,21043.618,
2006-12,-2205.139,
2007-01,31482.907,
2007-02,23967.843,
2007-03,19819.038,
2007-04,14901.119,
2007-05,27845.625,
2007-06,17590.480,
2007-07,17227.317,
2007-08,13177.393,
2007-09,15994.168,
2007-10,43647.076,
2007-11,4797.862,
2007-12,-14975.806,
2008-01,41600.546,
2008-02,30639.700,
2008-03,31984.119,
2008-04,14587.829,
2008-05,20127.762,
2008-06,7023.623,
2008-07,20123.108,
2008-08,2176.901,
2008-09,9544.521,
2008-10,-9798.010,
2008-11,9143.948,
2008-12,-32610.228,
2009-01,19892.906,
2009-02,9382.153,
2009-03,31432.053,
2009-04,1159.801,
2009-05,20333.118,
2009-06,22030.394,
2009-07,17400.886,
2009-08,5834.231,
2009-09,24807.373,
2009-10,25840.236,
2009-11,13909.388,
2009-12,6134.410,
2010-01,8403.424,
2010-02,20062.571,
2010-03,35624.565,
2010-04,14762.938,
2010-05,34262.490,
2010-06,12893.121,
2010-07,33973.914,
2010-08,21244.558,
2010-09,30901.281,
2010-10,98905.350,
2010-11,26347.083,
2010-12,-14396.763,
2011-01,35594.743,
2011-02,31485.213,
2011-03,19180.894,
2011-04,13241.012,
2011-05,27349.718,
2011-06,-3445.231,
2011-07,16321.425,
2011-08,13798.832,
2011-09,15228.519,
2011-10,4268.358,
2011-11,-1571.201,
2011-12,-30090.448,
2012-01,42289.261,
2012-02,19462.056,
2012-03,20615.541,
2012-04,-3656.674,
2012-05,26448.606,
2012-06,21740.791,
2012-07,23247.505,
2012-08,-7700.757,
2012-09,30607.188,
2012-10,10728.978,
2012-11,35423.402,
2012-12,465.562,
2013-01,36865.083,
2013-02,25049.769,
2013-03,33126.210,
2013-04,25541.472,
2013-05,13769.471,
2013-06,23786.101,
2013-07,-6748.046,
2013-08,19312.270,
2013-09,26442.298,
2013-10,13665.752,
2013-11,16820.173,
2013-12,-4148.028,
2014-01,12354.837,
2014-02,27236.768,Provisional value
2014-03,53972.507,Provisional value
2014-04,27359.171,Provisional value
2014-05,27281.961,Provisional value
2014-06,10820.180,Provisional value
2014-07,2278.619,Provisional value
2014-08,13428.184,Provisional value
2014-09,30563.400,
2014-10,5986.255,
2014-11,24297.410,
2014-12,-14918.030,Provisional value
