"",BBDE1.M.DE.Y.GUB1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.GUB1.A2P310000.F.V.I10.A_FLAGS
2012-03,110.8,
2012-04,111.0,
2012-05,111.1,
2012-06,109.9,
2012-07,110.2,
2012-08,109.0,
2012-09,109.3,
2012-10,107.4,
2012-11,106.8,
2012-12,104.9,
2013-01,106.5,
2013-02,105.9,
2013-03,105.6,
2013-04,106.5,
2013-05,107.1,
2013-06,106.5,
2013-07,107.1,
2013-08,107.1,
2013-09,107.1,
2013-10,107.4,
2013-11,108.2,
2013-12,107.5,
2014-01,109.1,
2014-02,109.3,
2014-03,108.4,
2014-04,108.1,
2014-05,105.8,
2014-06,106.8,
2014-07,107.1,
2014-08,105.2,
2014-09,104.9,
2014-10,105.2,
2014-11,104.4,
2014-12,107.2,Provisional value
