"",BBEX3.M.HRK.USD.CA.AB.A01,BBEX3.M.HRK.USD.CA.AB.A01_FLAGS
2003-12,6.229778,
2004-01,6.300720,
2004-02,6.262112,
2004-03,6.200000,
2004-04,6.498225,
2004-05,6.148036,
2004-06,6.190237,
2004-07,6.280000,
2004-08,6.268420,
2004-09,6.257468,
2004-10,6.001000,
2004-11,5.862927,
2004-12,5.766353,
2005-01,5.919000,
2005-02,5.835200,
2005-03,5.878000,
2005-04,5.731986,
2005-05,5.899277,
2005-06,6.120138,
2005-07,6.086639,
2005-08,6.133107,
2005-09,6.225367,
2005-10,6.128743,
2005-11,6.316376,
2005-12,6.285826,
2006-01,6.142094,
2006-02,6.214198,
2006-03,6.082647,
2006-04,5.846439,
2006-05,5.685325,
2006-06,5.822908,
2006-07,5.808360,
2006-08,5.796535,
2006-09,5.924201,
2006-10,5.886035,
2006-11,5.630747,
2006-12,5.678024,
2007-01,5.791139,
2007-02,5.649271,
2007-03,5.665790,
2007-04,5.492679,
2007-05,5.540541,
2007-06,5.519758,
2007-07,5.425501,
2007-08,5.444893,
2007-09,5.234243,
2007-10,5.188254,
2007-11,5.054433,
2007-12,5.077918,
2008-01,4.978591,
2008-02,4.888211,
2008-03,4.689521,
2008-04,4.760011,
2008-05,4.755699,
2008-06,4.681287,
2008-07,4.737977,
2008-08,4.948324,
2008-09,5.033737,
2008-10,5.641145,
2008-11,5.768042,
2008-12,5.336378,
2009-01,5.904941,
2009-02,6.019891,
2009-03,5.833333,
2009-04,5.772846,
2009-05,5.382818,
2009-06,5.324484,
2009-07,5.388780,
2009-08,5.257934,
2009-09,5.205453,
2009-10,5.016504,
2009-11,5.041046,
2009-12,5.225000,
2010-01,5.371917,
2010-02,5.481008,
2010-03,5.519339,
2010-04,5.544230,
2010-05,5.998976,
2010-06,6.016953,
2010-07,5.651020,
2010-08,5.852076,
2010-09,5.514875,
2010-10,5.327320,
2010-11,5.640459,
2010-12,5.584957,
2011-01,5.409513,
2011-02,5.393085,
2011-03,5.259949,
2011-04,4.966611,
2011-05,5.218925,
2011-06,5.142587,
2011-07,5.231628,
2011-08,5.199327,
2011-09,5.510376,
2011-10,5.298367,
2011-11,5.605636,
2011-12,5.837400,
2012-01,5.782270,
2012-02,5.650553,
2012-03,5.640451,
2012-04,5.712799,
2012-05,6.090647,
2012-06,6.069159,
2012-07,6.142764,
2012-08,5.976195,
2012-09,5.774416,
2012-10,5.833641,
2012-11,5.831458,
2012-12,5.743974,
2013-01,5.611077,
2013-02,5.813278,
2013-03,5.936563,
2013-04,5.829240,
2013-05,5.878761,
2013-06,5.723463,
2013-07,5.662151,
2013-08,5.725066,
2013-09,5.659324,
2013-10,5.554705,
2013-11,5.624831,
2013-12,5.565647,
2014-01,5.636054,
2014-02,5.626048,
2014-03,5.592551,
2014-04,5.501699,
2014-05,5.591494,
2014-06,5.578964,
2014-07,5.715127,
2014-08,5.804260,
2014-09,6.033401,
2014-10,6.106476,
2014-11,6.182141,
2014-12,6.321013,
2015-01,6.798050,
"","General: With effect from 30 May 1994, the kuna (HRK) was introduced as Croatia's new legal tender. The Croatian dinar (CRD) was converted to kuna at a rate of CRD 1,000 = HRK 1; the Croatian dinar could be exchanged for kuna at this rate until 31 December 1994.",
"","Source: Since October 2010: Croatian National Bank, Zagreb. May 1994 - September 2010: Zagrebacka Banka, Zagreb.",
