"",BBSF2.M.1.S.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
2008-04,2110,
2008-05,2664,
2008-06,-1960,
2008-07,1375,
2008-08,2468,
2008-09,3467,
2008-10,-4633,
2008-11,7246,
2008-12,-2276,
2009-01,5465,
2009-02,-2064,
2009-03,2462,
2009-04,-183,
2009-05,-1478,
2009-06,-3089,
2009-07,3397,
2009-08,735,
2009-09,8186,
2009-10,6731,
2009-11,2254,
2009-12,10364,
2010-01,7303,
2010-02,2814,
2010-03,3820,
2010-04,7193,
2010-05,3526,
2010-06,3123,
2010-07,5066,
2010-08,8394,
2010-09,6741,
2010-10,7674,
2010-11,6213,
2010-12,9478,
2011-01,5405,
2011-02,6463,
2011-03,2284,
2011-04,2658,
2011-05,-1162,
2011-06,2718,
2011-07,3615,
2011-08,1169,
2011-09,830,
2011-10,4823,
2011-11,6753,
2011-12,11006,
2012-01,3345,
2012-02,13984,
2012-03,4263,
2012-04,3650,
2012-05,1526,
2012-06,10575,
2012-07,13893,
2012-08,3959,
2012-09,3280,
2012-10,6138,
2012-11,4808,
2012-12,18437,
2013-01,10519,
2013-02,5606,
2013-03,8399,
2013-04,6993,
2013-05,1676,
2013-06,4282,
2013-07,8983,
2013-08,2885,
2013-09,3708,
2013-10,4025,
2013-11,11666,
2013-12,13410,
2014-01,3863,
2014-02,6282,
2014-03,10761,
2014-04,2573,
2014-05,5243,
2014-06,3849,
2014-07,7179,
2014-08,7124,
2014-09,6411,
2014-10,8452,
2014-11,13145,
2014-12,9746,Provisional value
