"",BBFN1.M.DE.N.1.A.KY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2000-02,0.611,
2000-03,2.061,
2000-04,3.107,
2000-05,4.432,
2000-06,4.151,
2000-07,4.559,
2000-08,5.780,
2000-09,6.289,
2000-10,6.341,
2000-11,5.530,
2000-12,5.003,
2001-01,5.592,
2001-02,5.518,
2001-03,6.477,
2001-04,6.689,
2001-05,7.099,
2001-06,6.932,
2001-07,6.732,
2001-08,6.427,
2001-09,6.562,
2001-10,6.372,
2001-11,2.229,
2001-12,1.246,
2002-01,1.251,
2002-02,1.244,
2002-03,1.465,
2002-04,2.213,
2002-05,0.504,
2002-06,0.447,
2002-07,0.280,
2002-08,0.249,
2002-09,0.241,
2002-10,0.318,
2002-11,0.239,
2002-12,0.173,
2003-01,0.157,
2003-02,0.249,
2003-03,0.379,
2003-04,0.300,
2003-05,0.396,
2003-06,0.651,
2003-07,0.632,
2003-08,0.610,
2003-09,0.621,
2003-10,0.745,
2003-11,0.697,
2003-12,0.581,
2004-01,0.712,
2004-02,0.739,
2004-03,0.754,
2004-04,0.685,
2004-05,0.698,
2004-06,0.694,
2004-07,0.691,
2004-08,0.711,
2004-09,0.695,
2004-10,0.756,
2004-11,0.593,
2004-12,0.556,
2005-01,0.754,
2005-02,0.722,
2005-03,0.721,
2005-04,0.820,
2005-05,0.695,
2005-06,0.661,
2005-07,0.672,
2005-08,0.709,
2005-09,0.710,
2005-10,0.711,
2005-11,0.696,
2005-12,0.123,
2006-01,0.210,
2006-02,0.266,
2006-03,0.177,
2006-04,0.180,
2006-05,0.216,
2006-06,0.565,
2006-07,0.536,
2006-08,0.566,
2006-09,0.545,
2006-10,0.631,
2006-11,0.612,
2006-12,0.613,
2007-01,0.652,
2007-02,0.678,
2007-03,0.642,
2007-04,0.803,
2007-05,0.813,
2007-06,0.675,
2007-07,0.378,
2007-08,0.340,
2007-09,0.333,
2007-10,0.365,
2007-11,0.351,
2007-12,0.294,
2008-01,0.208,
2008-02,0.211,
2008-03,0.200,
2008-04,0.203,
2008-05,0.206,
2008-06,0.246,
2008-07,0.353,
2008-08,0.313,
2008-09,0.328,
2008-10,0.339,
2008-11,0.339,
2008-12,0.302,
2009-01,0.292,
2009-02,0.281,
2009-03,0.322,
2009-04,0.324,
2009-05,0.297,
2009-06,0.395,
2009-07,0.270,
2009-08,0.243,
2009-09,0.481,
2009-10,0.219,
2009-11,0.221,
2009-12,0.184,
2010-01,0.185,
2010-02,0.160,
2010-03,0.169,
2010-04,0.167,
2010-05,0.167,
2010-06,0.119,
2010-07,0.219,
2010-08,0.166,
2010-09,0.112,
2010-10,0.214,
2010-11,0.115,
2010-12,0.089,
2011-01,0.136,
2011-02,0.153,
2011-03,0.141,
2011-04,0.214,
2011-05,0.230,
2011-06,0.161,
2011-07,0.163,
2011-08,0.163,
2011-09,0.155,
2011-10,0.108,
2011-11,0.354,
2011-12,0.147,
2012-01,0.216,
2012-02,0.223,
2012-03,0.185,
2012-04,0.195,
2012-05,0.195,
2012-06,0.340,
2012-07,0.377,
2012-08,0.310,
2012-09,0.238,
2012-10,0.283,
2012-11,0.259,
2012-12,0.199,
2013-01,0.218,
2013-02,0.241,
2013-03,0.238,
2013-04,0.224,
2013-05,0.192,
2013-06,0.189,
2013-07,0.237,
2013-08,0.267,
2013-09,0.151,
2013-10,0.145,
2013-11,0.143,
2013-12,0.147,
2014-01,0.148,
2014-02,0.146,
2014-03,0.147,
2014-04,0.165,
2014-05,0.164,
2014-06,0.167,
2014-07,0.204,
2014-08,0.205,
2014-09,0.197,
2014-10,0.206,
2014-11,0.196,
2014-12,0.196,
