"",BBFN1.M.DE.N.1.L.HK.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1998-09,0.645,
1998-10,0.711,
1998-11,0.713,
1998-12,0.696,
1999-01,0.822,
1999-02,0.988,
1999-03,0.940,
1999-04,1.035,
1999-05,0.994,
1999-06,1.039,
1999-07,0.946,
1999-08,0.956,
1999-09,1.118,
1999-10,0.938,
1999-11,0.880,
1999-12,0.911,
2000-01,0.874,
2000-02,0.845,
2000-03,0.837,
2000-04,0.825,
2000-05,0.765,
2000-06,0.769,
2000-07,0.793,
2000-08,0.788,
2000-09,0.785,
2000-10,0.798,
2000-11,0.844,
2000-12,0.866,
2001-01,0.844,
2001-02,0.989,
2001-03,0.987,
2001-04,0.900,
2001-05,0.786,
2001-06,0.420,
2001-07,0.376,
2001-08,0.374,
2001-09,0.370,
2001-10,0.371,
2001-11,0.326,
2001-12,0.325,
2002-01,0.323,
2002-02,0.332,
2002-03,0.333,
2002-04,0.299,
2002-05,0.287,
2002-06,0.288,
2002-07,0.287,
2002-08,0.286,
2002-09,0.202,
2002-10,0.202,
2002-11,0.202,
2002-12,0.203,
2003-01,0.200,
2003-02,0.186,
2003-03,0.183,
2003-04,0.183,
2003-05,0.183,
2003-06,0.181,
2003-07,0.161,
2003-08,0.165,
2003-09,0.169,
2003-10,0.172,
2003-11,0.177,
2003-12,0.175,
2004-01,0.173,
2004-02,0.175,
2004-03,0.176,
2004-04,0.170,
2004-05,0.168,
2004-06,0.168,
2004-07,0.168,
2004-08,0.220,
2004-09,0.217,
2004-10,0.217,
2004-11,0.146,
2004-12,0.145,
2005-01,0.146,
2005-02,0.146,
2005-03,0.131,
2005-04,0.132,
2005-05,0.132,
2005-06,0.143,
2005-07,0.138,
2005-08,0.126,
2005-09,0.127,
2005-10,0.115,
2005-11,0.115,
2005-12,0.113,
2006-01,0.111,
2006-02,0.111,
2006-03,0.105,
2006-04,0.102,
2006-05,0.102,
2006-06,0.102,
2006-07,0.102,
2006-08,0.102,
2006-09,0.102,
2006-10,0.102,
2006-11,0.087,
2006-12,0.088,
2007-01,0.088,
2007-02,0.088,
2007-03,0.088,
2007-04,0.173,
2007-05,0.088,
2007-06,0.089,
2007-07,0.089,
2007-08,0.089,
2007-09,0.083,
2007-10,0.092,
2007-11,0.062,
2007-12,0.061,
2008-01,0.060,
2008-02,0.060,
2008-03,0.060,
2008-04,0.061,
2008-05,0.061,
2008-06,0.017,
2008-07,0.016,
2008-08,0.017,
2008-09,0.016,
2008-10,0.016,
2008-11,0.065,
2008-12,0.065,
2009-01,0.065,
2009-02,0.065,
2009-03,0.065,
2009-04,0.016,
2009-05,0.016,
2009-06,0.017,
2009-07,0.017,
2009-08,0.007,
2009-09,0.010,
2009-10,0.008,
2009-11,0.008,
2009-12,0.008,
2010-01,0.008,
2010-02,0.008,
2010-03,0.008,
2010-04,0.007,
2010-05,0.007,
2010-06,0.018,
2010-07,0.039,
2010-08,0.039,
2010-09,0.053,
2010-10,0.170,
2010-11,0.174,
2010-12,0.179,
2011-01,0.180,
2011-02,0.181,
2011-03,0.167,
2011-04,0.186,
2011-05,0.184,
2011-06,0.182,
2011-07,0.180,
2011-08,0.188,
2011-09,0.185,
2011-10,0.183,
2011-11,0.183,
2011-12,0.190,
2012-01,0.190,
2012-02,0.190,
2012-03,0.197,
2012-04,0.197,
2012-05,0.197,
2012-06,0.192,
2012-07,0.197,
2012-08,0.202,
2012-09,0.207,
2012-10,0.208,
2012-11,0.201,
2012-12,0.297,
2013-01,0.297,
2013-02,0.304,
2013-03,0.313,
2013-04,0.316,
2013-05,0.324,
2013-06,0.322,
2013-07,0.327,
2013-08,0.480,
2013-09,0.498,
2013-10,0.455,
2013-11,0.305,
2013-12,0.297,
2014-01,0.295,
2014-02,0.293,
2014-03,0.301,
2014-04,0.406,
2014-05,0.406,
2014-06,0.425,
2014-07,0.431,
2014-08,0.436,
2014-09,0.466,
2014-10,0.478,
2014-11,0.480,
2014-12,0.485,
