"",BBFN1.M.DE.N.1.A.PT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1990-08,0.054,
1990-09,0.053,
1990-10,0.055,
1990-11,0.055,
1990-12,0.058,
1991-01,0.057,
1991-02,0.061,
1991-03,0.065,
1991-04,0.057,
1991-05,0.057,
1991-06,0.055,
1991-07,0.062,
1991-08,0.063,
1991-09,0.067,
1991-10,0.068,
1991-11,0.067,
1991-12,0.073,
1992-01,0.074,
1992-02,0.082,
1992-03,0.362,
1992-04,0.509,
1992-05,0.824,
1992-06,1.335,
1992-07,1.613,
1992-08,1.724,
1992-09,1.838,
1992-10,1.978,
1992-11,2.259,
1992-12,1.357,
1993-01,1.185,
1993-02,1.262,
1993-03,1.504,
1993-04,1.357,
1993-05,1.295,
1993-06,1.129,
1993-07,1.126,
1993-08,1.138,
1993-09,1.174,
1993-10,1.565,
1993-11,1.807,
1993-12,1.580,
1994-01,1.344,
1994-02,1.755,
1994-03,1.765,
1994-04,1.795,
1994-05,1.884,
1994-06,1.755,
1994-07,1.473,
1994-08,1.496,
1994-09,1.506,
1994-10,1.512,
1994-11,1.546,
1994-12,1.047,
1995-01,1.622,
1995-02,1.893,
1995-03,2.132,
1995-04,2.077,
1995-05,2.230,
1995-06,2.038,
1995-07,2.145,
1995-08,2.141,
1995-09,2.399,
1995-10,2.663,
1995-11,2.902,
1995-12,1.312,
1996-01,2.646,
1996-02,2.823,
1996-03,2.938,
1996-04,2.653,
1996-05,2.673,
1996-06,2.760,
1996-07,2.843,
1996-08,2.713,
1996-09,2.619,
1996-10,2.633,
1996-11,2.469,
1996-12,0.898,
1997-01,1.625,
1997-02,1.760,
1997-03,1.622,
1997-04,1.724,
1997-05,1.850,
1997-06,1.719,
1997-07,2.070,
1997-08,2.229,
1997-09,2.404,
1997-10,3.065,
1997-11,3.085,
1997-12,1.828,
1998-01,2.772,
1998-02,2.876,
1998-03,3.311,
1998-04,3.347,
1998-05,2.945,
1998-06,2.645,
1998-07,2.945,
1998-08,2.705,
1998-09,2.873,
1998-10,3.318,
1998-11,3.045,
1998-12,1.206,
1999-01,1.718,
1999-02,2.004,
1999-03,2.557,
1999-04,3.012,
1999-05,3.376,
1999-06,3.190,
1999-07,3.015,
1999-08,2.878,
1999-09,2.780,
1999-10,2.822,
1999-11,2.763,
1999-12,1.328,
2000-01,1.368,
2000-02,1.916,
2000-03,2.011,
2000-04,2.391,
2000-05,2.489,
2000-06,2.393,
2000-07,1.957,
2000-08,2.094,
2000-09,1.817,
2000-10,2.392,
2000-11,2.724,
2000-12,1.746,
2001-01,2.448,
2001-02,4.112,
2001-03,5.631,
2001-04,3.659,
2001-05,4.356,
2001-06,4.574,
2001-07,5.701,
2001-08,4.699,
2001-09,4.138,
2001-10,4.447,
2001-11,4.496,
2001-12,3.090,
2002-01,4.276,
2002-02,7.358,
2002-03,7.328,
2002-04,7.715,
2002-05,10.473,
2002-06,10.197,
2002-07,9.110,
2002-08,9.291,
2002-09,8.884,
2002-10,8.429,
2002-11,6.664,
2002-12,3.618,
2003-01,5.767,
2003-02,5.271,
2003-03,5.267,
2003-04,5.483,
2003-05,6.338,
2003-06,7.491,
2003-07,7.544,
2003-08,7.448,
2003-09,7.236,
2003-10,7.008,
2003-11,7.688,
2003-12,6.449,
2004-01,7.478,
2004-02,7.257,
2004-03,6.866,
2004-04,7.053,
2004-05,6.745,
2004-06,6.974,
2004-07,7.746,
2004-08,7.115,
2004-09,7.762,
2004-10,7.172,
2004-11,7.865,
2004-12,8.723,
2005-01,8.374,
2005-02,8.463,
2005-03,8.947,
2005-04,8.507,
2005-05,8.617,
2005-06,6.972,
2005-07,8.155,
2005-08,9.573,
2005-09,10.188,
2005-10,9.801,
2005-11,9.392,
2005-12,6.864,
2006-01,8.938,
2006-02,9.671,
2006-03,10.266,
2006-04,8.379,
2006-05,10.933,
2006-06,5.806,
2006-07,5.690,
2006-08,6.725,
2006-09,5.016,
2006-10,6.213,
2006-11,6.646,
2006-12,6.071,
2007-01,6.779,
2007-02,8.071,
2007-03,7.487,
2007-04,8.373,
2007-05,8.728,
2007-06,9.224,
2007-07,9.785,
2007-08,10.353,
2007-09,8.982,
2007-10,9.767,
2007-11,9.318,
2007-12,9.859,
2008-01,9.406,
2008-02,9.959,
2008-03,9.687,
2008-04,7.533,
2008-05,7.791,
2008-06,7.620,
2008-07,7.355,
2008-08,7.651,
2008-09,7.011,
2008-10,5.052,
2008-11,5.021,
2008-12,3.998,
2009-01,3.368,
2009-02,3.451,
2009-03,2.993,
2009-04,2.830,
2009-05,3.005,
2009-06,3.270,
2009-07,3.182,
2009-08,3.009,
2009-09,3.811,
2009-10,3.369,
2009-11,3.167,
2009-12,3.107,
2010-01,3.118,
2010-02,2.697,
2010-03,3.264,
2010-04,3.235,
2010-05,2.587,
2010-06,1.938,
2010-07,1.351,
2010-08,1.136,
2010-09,1.177,
2010-10,1.151,
2010-11,1.172,
2010-12,1.106,
2011-01,1.105,
2011-02,1.040,
2011-03,0.970,
2011-04,0.886,
2011-05,0.909,
2011-06,0.889,
2011-07,0.804,
2011-08,0.782,
2011-09,0.852,
2011-10,0.764,
2011-11,0.786,
2011-12,0.541,
2012-01,0.543,
2012-02,0.491,
2012-03,0.474,
2012-04,0.519,
2012-05,0.566,
2012-06,0.640,
2012-07,0.612,
2012-08,0.569,
2012-09,0.577,
2012-10,0.580,
2012-11,0.500,
2012-12,0.518,
2013-01,0.609,
2013-02,0.717,
2013-03,0.748,
2013-04,0.708,
2013-05,0.743,
2013-06,0.825,
2013-07,0.797,
2013-08,0.754,
2013-09,0.710,
2013-10,0.706,
2013-11,0.827,
2013-12,0.690,
2014-01,0.543,
2014-02,0.508,
2014-03,0.538,
2014-04,0.518,
2014-05,0.568,
2014-06,0.564,
2014-07,0.546,
2014-08,0.459,
2014-09,0.463,
2014-10,0.469,
2014-11,0.427,
2014-12,0.342,
