"",BBFN1.M.DE.N.1.A.CA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1993-07,0.993,
1993-08,0.880,
1993-09,0.921,
1993-10,0.856,
1993-11,0.969,
1993-12,0.793,
1994-01,0.799,
1994-02,0.672,
1994-03,0.667,
1994-04,0.685,
1994-05,0.710,
1994-06,0.695,
1994-07,0.733,
1994-08,0.785,
1994-09,0.779,
1994-10,0.758,
1994-11,0.803,
1994-12,0.729,
1995-01,0.741,
1995-02,0.737,
1995-03,0.677,
1995-04,0.662,
1995-05,0.723,
1995-06,0.768,
1995-07,0.825,
1995-08,0.773,
1995-09,0.728,
1995-10,0.794,
1995-11,0.756,
1995-12,0.556,
1996-01,0.650,
1996-02,0.604,
1996-03,0.632,
1996-04,0.631,
1996-05,0.618,
1996-06,0.620,
1996-07,0.567,
1996-08,0.573,
1996-09,0.663,
1996-10,0.601,
1996-11,0.578,
1996-12,0.504,
1997-01,0.512,
1997-02,0.530,
1997-03,0.479,
1997-04,0.489,
1997-05,0.534,
1997-06,0.596,
1997-07,0.588,
1997-08,0.594,
1997-09,0.626,
1997-10,0.568,
1997-11,0.474,
1997-12,0.456,
1998-01,0.483,
1998-02,0.481,
1998-03,0.463,
1998-04,0.482,
1998-05,0.506,
1998-06,0.526,
1998-07,0.740,
1998-08,0.729,
1998-09,0.809,
1998-10,0.841,
1998-11,0.793,
1998-12,0.733,
1999-01,0.564,
1999-02,0.964,
1999-03,0.846,
1999-04,0.798,
1999-05,0.776,
1999-06,0.852,
1999-07,0.999,
1999-08,1.200,
1999-09,1.108,
1999-10,1.035,
1999-11,0.873,
1999-12,1.014,
2000-01,0.969,
2000-02,1.229,
2000-03,1.155,
2000-04,1.287,
2000-05,1.279,
2000-06,1.232,
2000-07,1.236,
2000-08,1.255,
2000-09,1.266,
2000-10,1.154,
2000-11,1.537,
2000-12,1.095,
2001-01,0.973,
2001-02,0.975,
2001-03,1.401,
2001-04,1.363,
2001-05,1.464,
2001-06,1.358,
2001-07,1.062,
2001-08,0.990,
2001-09,0.737,
2001-10,0.887,
2001-11,0.936,
2001-12,1.056,
2002-01,0.940,
2002-02,1.040,
2002-03,1.205,
2002-04,1.125,
2002-05,1.110,
2002-06,1.082,
2002-07,1.283,
2002-08,1.188,
2002-09,0.970,
2002-10,1.529,
2002-11,1.600,
2002-12,1.320,
2003-01,1.450,
2003-02,1.388,
2003-03,1.459,
2003-04,1.616,
2003-05,1.702,
2003-06,1.903,
2003-07,1.551,
2003-08,1.694,
2003-09,1.736,
2003-10,1.799,
2003-11,1.897,
2003-12,1.527,
2004-01,1.875,
2004-02,1.896,
2004-03,2.058,
2004-04,2.208,
2004-05,1.799,
2004-06,2.097,
2004-07,2.092,
2004-08,1.910,
2004-09,1.829,
2004-10,1.766,
2004-11,1.749,
2004-12,2.050,
2005-01,1.638,
2005-02,1.332,
2005-03,1.570,
2005-04,1.721,
2005-05,1.976,
2005-06,2.076,
2005-07,1.816,
2005-08,1.815,
2005-09,1.748,
2005-10,2.127,
2005-11,1.872,
2005-12,1.962,
2006-01,1.726,
2006-02,1.695,
2006-03,1.850,
2006-04,1.825,
2006-05,1.941,
2006-06,1.999,
2006-07,1.815,
2006-08,1.904,
2006-09,1.703,
2006-10,2.124,
2006-11,1.945,
2006-12,1.904,
2007-01,1.854,
2007-02,1.763,
2007-03,1.878,
2007-04,1.949,
2007-05,2.108,
2007-06,1.962,
2007-07,2.415,
2007-08,2.343,
2007-09,2.012,
2007-10,2.107,
2007-11,1.840,
2007-12,1.990,
2008-01,2.234,
2008-02,2.403,
2008-03,2.202,
2008-04,2.542,
2008-05,2.522,
2008-06,2.170,
2008-07,2.072,
2008-08,2.058,
2008-09,2.072,
2008-10,2.181,
2008-11,2.780,
2008-12,2.209,
2009-01,3.095,
2009-02,2.794,
2009-03,2.725,
2009-04,2.703,
2009-05,2.383,
2009-06,2.327,
2009-07,2.104,
2009-08,2.362,
2009-09,2.089,
2009-10,1.794,
2009-11,1.739,
2009-12,1.603,
2010-01,2.102,
2010-02,1.877,
2010-03,2.180,
2010-04,2.514,
2010-05,2.293,
2010-06,2.417,
2010-07,2.366,
2010-08,2.511,
2010-09,1.952,
2010-10,2.232,
2010-11,2.248,
2010-12,2.422,
2011-01,2.665,
2011-02,2.685,
2011-03,2.800,
2011-04,2.562,
2011-05,2.513,
2011-06,2.335,
2011-07,2.389,
2011-08,2.375,
2011-09,2.340,
2011-10,2.268,
2011-11,2.378,
2011-12,2.456,
2012-01,2.715,
2012-02,2.569,
2012-03,2.325,
2012-04,2.600,
2012-05,2.328,
2012-06,2.206,
2012-07,2.381,
2012-08,2.171,
2012-09,2.040,
2012-10,2.160,
2012-11,2.188,
2012-12,2.197,
2013-01,2.323,
2013-02,2.297,
2013-03,2.388,
2013-04,2.559,
2013-05,2.553,
2013-06,2.490,
2013-07,2.717,
2013-08,2.649,
2013-09,2.673,
2013-10,2.575,
2013-11,2.206,
2013-12,2.164,
2014-01,2.356,
2014-02,2.332,
2014-03,2.420,
2014-04,2.569,
2014-05,2.747,
2014-06,2.745,
2014-07,2.783,
2014-08,2.717,
2014-09,2.793,
2014-10,3.054,
2014-11,2.922,
2014-12,2.879,
