"",BBFN1.M.DE.N.1.A.AT.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2008-05,12.840,
2008-06,13.204,
2008-07,13.292,
2008-08,13.356,
2008-09,13.579,
2008-10,13.587,
2008-11,13.628,
2008-12,13.868,
2009-01,14.054,
2009-02,14.129,
2009-03,14.146,
2009-04,14.163,
2009-05,14.247,
2009-06,14.286,
2009-07,14.112,
2009-08,14.257,
2009-09,14.241,
2009-10,14.263,
2009-11,13.911,
2009-12,13.964,
2010-01,14.041,
2010-02,14.293,
2010-03,14.260,
2010-04,14.278,
2010-05,14.324,
2010-06,14.415,
2010-07,14.640,
2010-08,14.755,
2010-09,14.857,
2010-10,14.720,
2010-11,14.815,
2010-12,14.959,
2011-01,15.061,
2011-02,15.277,
2011-03,15.279,
2011-04,15.550,
2011-05,15.705,
2011-06,15.813,
2011-07,15.902,
2011-08,16.097,
2011-09,16.557,
2011-10,16.600,
2011-11,16.720,
2011-12,16.823,
2012-01,16.863,
2012-02,16.969,
2012-03,17.747,
2012-04,17.227,
2012-05,17.310,
2012-06,17.396,
2012-07,17.453,
2012-08,17.689,
2012-09,17.734,
2012-10,17.861,
2012-11,18.011,
2012-12,18.280,
2013-01,18.271,
2013-02,18.464,
2013-03,18.520,
2013-04,18.720,
2013-05,19.197,
2013-06,19.472,
2013-07,19.684,
2013-08,19.844,
2013-09,19.987,
2013-10,20.085,
2013-11,20.399,
2013-12,20.618,
2014-01,20.595,
2014-02,20.599,
2014-03,20.533,
2014-04,20.513,
2014-05,20.709,
2014-06,21.029,
2014-07,20.802,
2014-08,20.961,
2014-09,20.862,
2014-10,20.909,
2014-11,20.790,
2014-12,20.108,
