"",BBEX3.M.TRL.USD.CA.AC.A01,BBEX3.M.TRL.USD.CA.AC.A01_FLAGS
1989-02,1929.560,
1989-03,2027.470,
1989-04,2076.920,
1989-05,2096.700,
1989-06,2140.220,
1989-07,2152.845,
1989-08,2214.785,
1989-09,2238.760,
1989-10,2298.700,
1989-11,2307.690,
1989-12,2313.685,
1990-01,2349.650,
1990-02,2410.585,
1990-03,2486.510,
1990-04,2524.475,
1990-05,2593.405,
1990-06,2657.340,
1990-07,2672.325,
1990-08,2692.305,
1990-09,2736.260,
1990-10,2778.220,
1990-11,2814.185,
1990-12,2930.065,
1991-01,3044.950,
1991-02,3333.665,
1991-03,3704.290,
1991-04,3957.040,
1991-05,4054.940,
1991-06,4334.660,
1991-07,4399.595,
1991-08,4596.400,
1991-09,4723.270,
1991-10,4929.065,
1991-11,5067.925,
1991-12,5079.915,
1992-01,5491.505,
1992-02,5873.120,
1992-03,6247.745,
1992-04,6600.395,
1992-05,6827.165,
1992-06,6875.120,
1992-07,7065.925,
1992-08,7057.935,
1992-09,7324.670,
1992-10,7879.115,
1992-11,8289.700,
1992-12,8564.425,
1993-01,8823.170,
1993-02,9194.795,
1993-03,9460.530,
1993-04,9659.330,
1993-05,10133.855,
1993-06,10871.120,
1993-07,11543.445,
1993-08,11758.230,
1993-09,12093.895,
1993-10,12980.005,
1993-11,13737.250,
1993-12,14472.515,
1994-01,17220.760,comment
1994-02,18278.705,
1994-03,22159.820,
1994-04,33441.525,comment
1994-05,31762.205,
1994-06,31194.775,
1994-07,30986.980,
1994-08,32983.985,
1994-09,34050.915,
1994-10,35736.000,
1994-11,36455.500,
1994-12,38726.000,
1995-01,40489.500,
1995-02,41373.500,
1995-03,41831.000,
1995-04,42374.000,
1995-05,42695.000,
1995-06,43913.000,
1995-07,44993.000,
1995-08,47963.000,
1995-09,49006.000,
1995-10,51113.000,
1995-11,54599.000,
1995-12,59650.500,
1996-01,62543.500,
1996-02,65678.500,
1996-03,70700.000,
1996-04,74421.500,
1996-05,77965.500,
1996-06,81428.000,
1996-07,83209.500,
1996-08,85999.500,
1996-09,91155.500,
1996-10,95554.500,
1996-11,101601.500,
1996-12,107775.000,
1997-01,115610.000,
1997-02,121785.000,
1997-03,126575.000,
1997-04,134955.000,
1997-05,139915.000,
1997-06,147025.000,
1997-07,159185.000,
1997-08,166060.000,
1997-09,173225.000,
1997-10,180675.000,
1997-11,194005.000,
1997-12,205245.000,
1998-01,214705.000,
1998-02,229010.000,
1998-03,241290.000,
1998-04,249020.000,
1998-05,256425.000,
1998-06,265690.000,
1998-07,268915.000,
1998-08,277225.000,
1998-09,276555.000,
1998-10,285165.000,
1998-11,301935.000,
1998-12,313475.000,
1999-01,330689.500,
1999-02,350878.000,
1999-03,366460.500,
1999-04,388685.000,
1999-05,403522.000,
1999-06,419197.500,
1999-07,426907.000,
1999-08,444270.000,
1999-09,460889.000,
1999-10,478470.000,
1999-11,513974.500,
1999-12,541400.500,
2000-01,557101.000,
2000-02,574417.500,
2000-03,589736.500,
2000-04,607764.000,
2000-05,615144.500,
2000-06,620477.500,
2000-07,635736.000,
2000-08,652898.500,
2000-09,665033.500,
2000-10,683697.500,
2000-11,684529.500,
2000-12,673384.500,
2001-01,680799.500,
2001-02,908349.500,comment
2001-03,1059092.000,
2001-04,1163365.000,
2001-05,1159319.000,
2001-06,1270471.500,
2001-07,1323064.000,
2001-08,1371848.500,
2001-09,1536666.000,
2001-10,1593560.500,
2001-11,1488125.000,
2001-12,1443038.500,
2002-01,1324024.500,
2002-02,1402690.500,
2002-03,1335702.500,
2002-04,1334673.000,
2002-05,1416300.500,
2002-06,1606598.000,
2002-07,1685923.000,
2002-08,1629739.000,
2002-09,1652645.000,
2002-10,1674187.500,
2002-11,1547196.000,
2002-12,1638442.500,
2003-01,1646178.500,
2003-02,1606661.500,
2003-03,1712332.500,
2003-04,1586226.000,
2003-05,1438123.000,
2003-06,1425145.500,
2003-07,1425273.000,
2003-08,1404376.500,
2003-09,1380027.000,
2003-10,1494995.500,
2003-11,1468295.500,
2003-12,1399201.000,
2004-01,1336404.000,
2004-02,1327104.500,
2004-03,1314448.500,
2004-04,1443601.000,
2004-05,1488920.000,
2004-06,1489494.500,
2004-07,1471862.000,
2004-08,1500802.500,
2004-09,1501308.000,
2004-10,1479390.000,
2004-11,1422822.000,
2004-12,1345350.000,
"","General: In addition to the official exchange rates published by the central bank, from 1994, the commercial banks set their own rates for a time. These rates could deviate significantly from the central bank rate over the course of a day. Currency conversion effective from 1 January 2005: 1,000,000 Turkish lira (TRL) = 1 New Turkish lira (TRL), designatedas Turkish lira (TRL) since 1 January 2009.",
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Turkey, Ankara.",
"","Comment on 1994-01: On 27 January 1994, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling).  26 January 1994: USD 1 = TRL 15,155.63 / 15,186.00  27 January 1994: USD 1 = TRL 17,215.50 / 17,250.00  Calculated devaluation: 12.0%.",
"","Comment on 1994-04: From 5 to 9 April 1994, Turkey experienced sharp exchange rate fluctuations. After depreciating sharply on both 6 and 7 April 1994, the Turkish pound recovered to some extent over the following two days. For 5 to 9 April 1994, we recorded the following exchange rates (buying/selling): 5 April 1994: USD 1 = TRL 23,031.84 / 23,078.00  6 April 1994: USD 1 = TRL 31,988.89 / 32,053.00  7 April 1994: USD 1 = TRL 39,853.13 / 39,933.00  8 April 1994: USD 1 = TRL 36,871.11 / 36,945.00  9 April 1994: USD 1 = TRL 33,560.74 / 33,628.00  Calculated using the exchange rates from 5 and 9 April 1994 the Turkish lira was devalued by 31.4%.",
"","Comment on 2001-02: On 22 February 2001, the exchange rate arrangements for the Turkish lira were changed; since this date, Turkey has used an independent floating exchange rate system. This measure led to sharp exchange rate fluctuations. The following exchange rates (buying/selling) were reported to us by the Turkish central bank at the start of trading:  22 February 2001: USD 1 = TRL 685,391 / 688,696  23 February 2001: USD 1 = TRL 957,879 / 962,499  26 February 2001: USD 1 = TRL 1,072,988 / 1,078,163  27 February 2001: USD 1 = TRL 946,306 / 950,870",
