"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1980-12,0.364,
1981-01,0.363,
1981-02,0.366,
1981-03,0.361,
1981-04,0.347,
1981-05,0.388,
1981-06,0.387,
1981-07,0.398,
1981-08,0.402,
1981-09,0.391,
1981-10,0.391,
1981-11,0.401,
1981-12,0.412,
1982-01,0.403,
1982-02,0.386,
1982-03,0.390,
1982-04,0.398,
1982-05,0.397,
1982-06,0.399,
1982-07,0.402,
1982-08,0.412,
1982-09,0.400,
1982-10,0.411,
1982-11,0.411,
1982-12,0.444,
1983-01,0.419,
1983-02,0.429,
1983-03,0.544,
1983-04,0.537,
1983-05,0.531,
1983-06,0.542,
1983-07,0.556,
1983-08,0.558,
1983-09,0.558,
1983-10,0.569,
1983-11,0.598,
1983-12,0.596,
1984-01,0.617,
1984-02,0.631,
1984-03,0.676,
1984-04,0.710,
1984-05,0.716,
1984-06,0.733,
1984-07,0.731,
1984-08,0.783,
1984-09,0.789,
1984-10,0.818,
1984-11,0.872,
1984-12,0.878,
1985-01,0.937,
1985-02,0.935,
1985-03,0.843,
1985-04,0.834,
1985-05,0.818,
1985-06,0.805,
1985-07,0.822,
1985-08,0.822,
1985-09,0.785,
1985-10,0.759,
1985-11,0.761,
1985-12,0.769,
1986-01,0.767,
1986-02,0.782,
1986-03,0.758,
1986-04,0.889,
1986-05,0.890,
1986-06,0.900,
1986-07,0.984,
1986-08,0.984,
1986-09,0.975,
1986-10,0.969,
1986-11,0.971,
1986-12,0.938,
1987-01,0.925,
1987-02,0.903,
1987-03,0.903,
1987-04,0.835,
1987-05,0.841,
1987-06,0.788,
1987-07,0.762,
1987-08,0.766,
1987-09,0.794,
1987-10,0.906,
1987-11,0.948,
1987-12,0.890,
1988-01,0.919,
1988-02,1.056,
1988-03,1.111,
1988-04,1.195,
1988-05,1.285,
1988-06,1.274,
1988-07,1.156,
1988-08,1.152,
1988-09,1.105,
1988-10,0.999,
1988-11,0.989,
1988-12,0.952,
1989-01,0.949,
1989-02,0.950,
1989-03,0.995,
1989-04,0.995,
1989-05,1.034,
1989-06,1.039,
1989-07,1.015,
1989-08,0.992,
1989-09,1.008,
1989-10,1.052,
1989-11,1.097,
1989-12,1.132,
1990-01,1.209,
1990-02,1.204,
1990-03,1.198,
1990-04,1.222,
1990-05,1.306,
1990-06,1.387,
1990-07,1.562,
1990-08,1.577,
1990-09,1.591,
1990-10,1.553,
1990-11,1.556,
1990-12,1.400,
1991-01,1.451,
1991-02,1.451,
1991-03,1.499,
1991-04,1.647,
1991-05,1.668,
1991-06,1.586,
1991-07,1.697,
1991-08,1.703,
1991-09,1.588,
1991-10,1.534,
1991-11,1.545,
1991-12,1.547,
1992-01,1.564,
1992-02,1.424,
1992-03,1.361,
1992-04,1.355,
1992-05,1.341,
1992-06,1.310,
1992-07,1.251,
1992-08,1.260,
1992-09,1.250,
1992-10,1.205,
1992-11,1.327,
1992-12,1.345,
1993-01,1.215,
1993-02,1.193,
1993-03,1.122,
1993-04,1.124,
1993-05,1.093,
1993-06,1.098,
1993-07,1.100,
1993-08,1.351,
1993-09,1.361,
1993-10,1.382,
1993-11,1.488,
1993-12,1.497,
1994-01,1.421,
1994-02,1.409,
1994-03,1.418,
1994-04,1.329,
1994-05,1.090,
1994-06,1.095,
1994-07,1.235,
1994-08,1.218,
1994-09,1.312,
1994-10,1.268,
1994-11,1.302,
1994-12,1.269,
1995-01,1.048,
1995-02,1.242,
1995-03,1.211,
1995-04,1.223,
1995-05,1.211,
1995-06,1.474,
1995-07,1.595,
1995-08,1.806,
1995-09,2.700,
1995-10,2.724,
1995-11,2.706,
1995-12,2.388,
1996-01,2.366,
1996-02,2.234,
1996-03,2.193,
1996-04,2.183,
1996-05,2.162,
1996-06,2.090,
1996-07,2.106,
1996-08,2.115,
1996-09,2.096,
1996-10,2.093,
1996-11,3.586,
1996-12,3.505,
1997-01,3.538,
1997-02,3.583,
1997-03,3.609,
1997-04,3.627,
1997-05,3.636,
1997-06,3.597,
1997-07,3.672,
1997-08,3.644,
1997-09,3.660,
1997-10,3.706,
1997-11,3.720,
1997-12,3.631,
1998-01,3.745,
1998-02,3.748,
1998-03,3.815,
1998-04,3.851,
1998-05,3.158,
1998-06,3.161,
1998-07,3.310,
1998-08,3.331,
1998-09,3.347,
1998-10,3.553,
1998-11,2.624,
1998-12,3.145,
1999-01,3.324,
1999-02,3.562,
1999-03,3.623,
1999-04,3.869,
1999-05,3.805,
1999-06,5.260,
1999-07,5.288,
1999-08,5.295,
1999-09,4.513,
1999-10,4.582,
1999-11,4.451,
1999-12,4.523,
2000-01,4.572,
2000-02,4.709,
2000-03,4.982,
2000-04,5.229,
2000-05,5.278,
2000-06,4.630,
2000-07,4.560,
2000-08,4.755,
2000-09,4.791,
2000-10,4.829,
2000-11,4.925,
2000-12,3.652,
2001-01,3.665,
2001-02,3.667,
2001-03,3.690,
2001-04,3.731,
2001-05,3.987,
2001-06,3.977,
2001-07,3.994,
2001-08,4.127,
2001-09,4.162,
2001-10,4.773,
2001-11,4.835,
2001-12,4.909,
2002-01,5.033,
2002-02,4.965,
2002-03,5.102,
2002-04,5.128,
2002-05,5.215,
2002-06,5.231,
2002-07,5.251,
2002-08,5.247,
2002-09,5.116,
2002-10,5.184,
2002-11,5.093,
2002-12,5.151,
2003-01,5.515,
2003-02,5.731,
2003-03,5.833,
2003-04,6.405,
2003-05,6.566,
2003-06,6.986,
2003-07,7.187,
2003-08,7.004,
2003-09,7.119,
2003-10,7.541,
2003-11,7.423,
2003-12,7.910,
2004-01,8.204,
2004-02,8.335,
2004-03,8.777,
2004-04,9.213,
2004-05,9.593,
2004-06,9.564,
2004-07,10.065,
2004-08,10.298,
2004-09,10.933,
2004-10,11.287,
2004-11,11.620,
2004-12,11.934,
2005-01,12.198,
2005-02,12.826,
2005-03,13.148,
2005-04,13.657,
2005-05,13.763,
2005-06,14.765,
2005-07,14.669,
2005-08,14.563,
2005-09,14.864,
2005-10,15.110,
2005-11,15.620,
2005-12,16.104,
2006-01,17.206,
2006-02,18.797,
2006-03,20.031,
2006-04,21.216,
2006-05,21.781,
2006-06,25.249,
2006-07,26.486,
2006-08,29.171,
2006-09,30.277,
2006-10,32.358,
2006-11,34.289,
2006-12,37.090,
2007-01,39.642,
2007-02,41.457,
2007-03,45.662,
2007-04,49.434,
2007-05,53.200,
2007-06,56.076,
2007-07,56.467,
2007-08,60.169,
2007-09,64.086,
2007-10,70.958,
2007-11,78.610,
2007-12,79.730,
2008-01,81.995,
2008-02,85.614,
2008-03,84.082,
2008-04,86.817,
2008-05,89.483,
2008-06,88.708,
2008-07,92.899,
2008-08,93.694,
2008-09,95.888,
2008-10,100.549,
2008-11,102.287,
2008-12,94.721,
2009-01,93.848,
2009-02,94.469,
2009-03,94.905,
2009-04,97.796,
2009-05,99.017,
2009-06,91.666,
2009-07,97.814,
2009-08,103.598,
2009-09,103.500,
2009-10,108.866,
2009-11,113.443,
2009-12,107.979,
2010-01,111.423,
2010-02,117.078,
2010-03,116.652,
2010-04,124.395,
2010-05,125.426,
2010-06,124.183,
2010-07,130.493,
2010-08,137.089,
2010-09,137.140,
2010-10,141.956,
2010-11,146.846,
2010-12,145.302,
2011-01,151.933,
2011-02,146.555,
2011-03,144.401,
2011-04,145.668,
2011-05,151.818,
2011-06,145.337,
2011-07,148.282,
2011-08,147.345,
2011-09,143.802,
2011-10,131.343,
2011-11,128.663,
2011-12,120.970,
2012-01,121.707,
2012-02,122.665,
2012-03,121.370,
2012-04,122.282,
2012-05,123.002,
2012-06,118.730,
2012-07,120.331,
2012-08,121.865,
2012-09,121.362,
2012-10,122.441,
2012-11,123.397,
2012-12,122.522,
2013-01,120.522,
2013-02,121.588,
2013-03,122.579,
2013-04,123.008,
2013-05,124.597,
2013-06,122.971,
2013-07,123.969,
2013-08,125.436,
2013-09,128.866,
2013-10,129.766,
2013-11,130.918,
2013-12,132.763,
2014-01,131.859,
2014-02,132.532,
2014-03,133.442,
2014-04,135.072,
2014-05,138.231,
2014-06,138.971,
2014-07,138.418,
2014-08,139.533,
2014-09,139.700,
2014-10,139.487,
2014-11,139.568,
2014-12,139.457,
