"",BBFN1.M.DE.N.1.A.KW.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KW.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2005-03,0.021,
2005-04,0.025,
2005-05,0.020,
2005-06,0.022,
2005-07,0.017,
2005-08,0.013,
2005-09,0.040,
2005-10,0.041,
2005-11,0.049,
2005-12,0.047,
2006-01,0.048,
2006-02,0.050,
2006-03,0.051,
2006-04,0.059,
2006-05,0.049,
2006-06,0.052,
2006-07,0.055,
2006-08,0.046,
2006-09,0.019,
2006-10,0.020,
2006-11,0.021,
2006-12,0.021,
2007-01,0.025,
2007-02,0.020,
2007-03,0.074,
2007-04,0.076,
2007-05,0.072,
2007-06,0.077,
2007-07,0.035,
2007-08,0.033,
2007-09,0.034,
2007-10,0.024,
2007-11,0.030,
2007-12,0.034,
2008-01,0.030,
2008-02,0.027,
2008-03,0.097,
2008-04,0.097,
2008-05,0.047,
2008-06,0.024,
2008-07,0.030,
2008-08,0.026,
2008-09,0.034,
2008-10,0.028,
2008-11,0.029,
2008-12,0.030,
2009-01,0.031,
2009-02,0.032,
2009-03,0.034,
2009-04,0.029,
2009-05,0.026,
2009-06,.,No value available
2009-07,0.052,
2009-08,0.026,
2009-09,0.022,
2009-10,0.028,
2009-11,0.038,
2009-12,0.044,
2010-01,0.043,
2010-02,0.046,
2010-03,0.042,
2010-04,0.043,
2010-05,0.047,
2010-06,0.039,
2010-07,0.037,
2010-08,0.039,
2010-09,0.044,
2010-10,0.034,
2010-11,0.041,
2010-12,0.032,
2011-01,0.033,
2011-02,0.031,
2011-03,0.038,
2011-04,.,No value available
2011-05,.,No value available
2011-06,.,No value available
2011-07,.,No value available
2011-08,.,No value available
2011-09,.,No value available
2011-10,.,No value available
2011-11,.,No value available
2011-12,0.027,
2012-01,.,No value available
2012-02,.,No value available
2012-03,.,No value available
2012-04,.,No value available
2012-05,.,No value available
2012-06,0.020,
2012-07,.,No value available
2012-08,.,No value available
2012-09,.,No value available
2012-10,.,No value available
2012-11,.,No value available
2012-12,0.023,
2013-01,0.026,
2013-02,0.029,
2013-03,0.031,
2013-04,0.040,
2013-05,0.035,
2013-06,0.045,
2013-07,0.028,
2013-08,0.038,
2013-09,0.044,
2013-10,0.024,
2013-11,0.019,
2013-12,0.026,
2014-01,0.029,
2014-02,0.027,
2014-03,0.028,
2014-04,0.036,
2014-05,0.029,
2014-06,0.029,
2014-07,0.032,
2014-08,.,No value available
2014-09,.,No value available
2014-10,.,No value available
2014-11,.,No value available
2014-12,.,No value available
