"",BBDE1.M.DE.Y.AEA1.A2R130050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R130050.F.C.I10.A_FLAGS
2000-08,158.8,
2000-09,158.0,
2000-10,150.7,
2000-11,151.5,
2000-12,154.5,
2001-01,156.4,
2001-02,155.7,
2001-03,152.3,
2001-04,148.4,
2001-05,155.7,
2001-06,161.3,
2001-07,152.2,
2001-08,152.9,
2001-09,148.7,
2001-10,148.7,
2001-11,156.9,
2001-12,158.2,
2002-01,136.8,
2002-02,140.0,
2002-03,141.3,
2002-04,139.0,
2002-05,135.0,
2002-06,135.1,
2002-07,133.0,
2002-08,133.9,
2002-09,134.1,
2002-10,141.3,
2002-11,132.1,
2002-12,131.0,
2003-01,140.0,
2003-02,134.9,
2003-03,131.6,
2003-04,134.1,
2003-05,127.5,
2003-06,131.3,
2003-07,127.5,
2003-08,129.7,
2003-09,127.6,
2003-10,129.4,
2003-11,128.0,
2003-12,129.6,
2004-01,127.8,
2004-02,127.5,
2004-03,130.4,
2004-04,128.3,
2004-05,124.0,
2004-06,126.4,
2004-07,129.2,
2004-08,127.0,
2004-09,125.8,
2004-10,121.5,
2004-11,119.1,
2004-12,121.4,
2005-01,129.5,
2005-02,127.5,
2005-03,131.2,
2005-04,129.3,
2005-05,122.8,
2005-06,124.0,
2005-07,126.4,
2005-08,126.0,
2005-09,121.9,
2005-10,125.3,
2005-11,124.6,
2005-12,126.2,
2006-01,121.0,
2006-02,127.7,
2006-03,126.9,
2006-04,126.7,
2006-05,133.8,
2006-06,122.9,
2006-07,127.9,
2006-08,131.5,
2006-09,126.9,
2006-10,126.9,
2006-11,127.3,
2006-12,127.7,
2007-01,129.9,
2007-02,129.9,
2007-03,127.5,
2007-04,128.7,
2007-05,131.0,
2007-06,132.3,
2007-07,132.9,
2007-08,130.0,
2007-09,125.9,
2007-10,125.6,
2007-11,124.9,
2007-12,131.3,
2008-01,131.0,
2008-02,129.3,
2008-03,119.1,
2008-04,121.3,
2008-05,125.9,
2008-06,123.2,
2008-07,124.6,
2008-08,119.8,
2008-09,113.4,
2008-10,111.9,
2008-11,123.0,
2008-12,107.5,
2009-01,95.2,
2009-02,90.1,
2009-03,89.9,
2009-04,90.5,
2009-05,91.4,
2009-06,96.0,
2009-07,98.3,
2009-08,95.3,
2009-09,95.6,
2009-10,95.2,
2009-11,96.3,
2009-12,97.6,
2010-01,95.9,
2010-02,95.9,
2010-03,100.2,
2010-04,97.5,
2010-05,99.0,
2010-06,100.3,
2010-07,100.3,
2010-08,97.9,
2010-09,99.2,
2010-10,101.7,
2010-11,107.0,
2010-12,103.3,
2011-01,101.0,
2011-02,102.0,
2011-03,100.2,
2011-04,102.2,
2011-05,101.2,
2011-06,98.3,
2011-07,101.7,
2011-08,98.1,
2011-09,95.3,
2011-10,100.3,
2011-11,97.4,
2011-12,91.6,
2012-01,94.9,
2012-02,93.4,
2012-03,91.8,
2012-04,92.4,
2012-05,98.7,
2012-06,97.4,
2012-07,91.6,
2012-08,93.4,
2012-09,92.1,
2012-10,97.6,
2012-11,91.6,
2012-12,91.3,
2013-01,93.1,
2013-02,91.4,
2013-03,89.1,
2013-04,93.4,
2013-05,92.7,
2013-06,91.8,
2013-07,97.2,
2013-08,92.5,
2013-09,92.2,
2013-10,96.2,
2013-11,93.7,
2013-12,93.5,
2014-01,98.9,
2014-02,98.0,
2014-03,95.1,
2014-04,101.4,
2014-05,97.6,
2014-06,105.4,
2014-07,96.0,
2014-08,97.6,
2014-09,96.7,
2014-10,95.5,
2014-11,94.3,
2014-12,98.0,Provisional value
