"",BBEX3.M.MAD.USD.CA.AB.A01,BBEX3.M.MAD.USD.CA.AB.A01_FLAGS
1975-05,3.8484,
1975-06,3.8754,
1975-07,4.1157,
1975-08,4.1315,
1975-09,4.2344,
1975-10,4.1148,
1975-11,4.1976,
1975-12,4.1945,
1976-01,4.2150,
1976-02,4.2777,
1976-03,4.3881,
1976-04,4.4121,
1976-05,4.4461,
1976-06,4.4468,
1976-07,4.5089,
1976-08,4.5029,
1976-09,4.4974,
1976-10,4.5299,
1976-11,4.5222,
1976-12,4.4955,
1977-01,4.5288,
1977-02,4.5327,
1977-03,4.5202,
1977-04,4.5066,
1977-05,4.5027,
1977-06,4.4933,
1977-07,4.5605,
1977-08,4.5743,
1977-09,4.5659,
1977-10,4.4899,
1977-11,4.4835,
1977-12,4.3390,
1978-01,4.3350,
1978-02,4.2994,
1978-03,4.2415,
1978-04,4.2909,
1978-05,4.2930,
1978-06,4.2215,
1978-07,4.1200,
1978-08,4.0559,
1978-09,4.0001,
1978-10,3.7604,
1978-11,4.0619,
1978-12,3.8979,
1979-01,3.9655,
1979-02,3.9475,
1979-03,3.9549,
1979-04,3.9792,
1979-05,4.0110,
1979-06,3.9150,
1979-07,3.8908,
1979-08,3.8846,
1979-09,3.7829,
1979-10,3.8899,
1979-11,3.7853,
1979-12,3.7496,
1980-01,3.7749,
1980-02,3.8395,
1980-03,4.1034,
1980-04,3.8959,
1980-05,3.8594,
1980-06,3.8093,
1980-07,3.8583,
1980-08,3.8720,
1980-09,3.9816,
1980-10,4.1243,
1980-11,4.2439,
1980-12,4.3459,
1981-01,4.6793,
1981-02,4.8015,
1981-03,4.7674,
1981-04,5.0391,
1981-05,5.3033,
1981-06,5.4675,
1981-07,5.5960,
1981-08,5.5782,
1981-09,5.3364,
1981-10,5.4108,
1981-11,5.2683,
1981-12,5.3465,
1982-01,5.5267,
1982-02,5.7938,
1982-03,5.9198,
1982-04,5.8478,
1982-05,5.8357,
1982-06,6.1908,
1982-07,6.1896,
1982-08,6.2082,
1982-09,6.2621,
1982-10,6.3529,
1982-11,6.3785,
1982-12,6.2821,
1983-01,6.4064,
1983-02,6.3946,
1983-03,6.5986,
1983-04,6.6492,
1983-05,6.7791,
1983-06,6.8745,
1983-07,7.0725,
1983-08,7.9555,
1983-09,7.8786,
1983-10,7.8736,
1983-11,7.9991,
1983-12,8.0784,
1984-01,8.2344,
1984-02,8.0412,
1984-03,8.2788,
1984-04,8.6339,
1984-05,8.7190,
1984-06,8.8398,
1984-07,9.0759,
1984-08,9.0700,
1984-09,9.3489,
1984-10,9.3704,
1984-11,9.4984,
1984-12,9.5710,
1985-01,9.6704,
1985-02,10.0146,
1985-03,9.7225,
1985-04,10.1970,
1985-05,10.5310,
1985-06,10.4610,
1985-07,10.2340,
1985-08,10.2550,
1985-09,10.0730,
1985-10,9.9446,
1985-11,9.7119,
1985-12,9.6459,
1986-01,9.5173,
1986-02,9.0968,
1986-03,9.3773,
1986-04,9.1047,
1986-05,9.4154,
1986-06,9.1385,
1986-07,8.9771,
1986-08,8.9274,
1986-09,8.8755,
1986-10,9.0215,
1986-11,8.8210,
1986-12,8.7357,
1987-01,8.4872,
1987-02,8.5144,
1987-03,8.4312,
1987-04,8.3635,
1987-05,8.4547,
1987-06,8.4764,
1987-07,8.5152,
1987-08,8.3976,
1987-09,8.4308,
1987-10,8.2094,
1987-11,7.9499,
1987-12,7.8222,
1988-01,8.0584,
1988-02,8.0859,
1988-03,7.9736,
1988-04,7.9925,
1988-05,8.1161,
1988-06,8.3990,
1988-07,8.5170,
1988-08,8.5423,
1988-09,8.5540,
1988-10,8.2719,
1988-11,8.1585,
1988-12,8.2311,
1989-01,8.4090,
1989-02,8.3525,
1989-03,8.4994,
1989-04,8.4624,
1989-05,8.7953,
1989-06,8.7228,
1989-07,8.4479,
1989-08,8.6920,
1989-09,8.4956,
1989-10,8.4454,
1989-11,8.3667,
1989-12,8.1424,
1990-01,8.0706,
1990-02,8.0738,
1990-03,8.0787,
1990-04,8.0613,
1990-05,8.8529,comment
1990-06,8.7241,
1990-07,8.3797,
1990-08,8.2617,
1990-09,8.2838,
1990-10,8.0842,
1990-11,8.0626,
1990-12,8.0644,
1991-01,7.9940,
1991-02,8.1505,
1991-03,8.9458,
1991-04,9.0028,
1991-05,8.9878,
1991-06,9.3638,
1991-07,9.1020,
1991-08,9.0753,
1991-09,8.7756,
1991-10,8.8267,
1991-11,8.6728,
1991-12,8.1838,
1992-01,8.6653,
1992-02,8.8074,
1992-03,8.8723,
1992-04,8.8989,
1992-05,8.6798,
1992-06,8.3294,
1992-07,8.1518,
1992-08,7.8862,
1992-09,8.0833,
1992-10,8.5866,
1992-11,8.8941,
1992-12,9.0849,
1993-01,9.0121,
1993-02,9.2791,
1993-03,9.1318,
1993-04,8.9146,
1993-05,9.0116,
1993-06,9.3803,
1993-07,9.7208,
1993-08,9.5037,
1993-09,9.3147,
1993-10,9.5609,
1993-11,9.6634,
1993-12,9.6898,
1994-01,9.6830,
1994-02,9.5966,
1994-03,9.4336,
1994-04,9.3954,
1994-05,9.3089,
1994-06,9.1322,
1994-07,9.1341,
1994-08,9.0953,
1994-09,8.9093,
1994-10,8.7600,
1994-11,9.0431,
1994-12,8.9954,
1995-01,8.8354,
1995-02,8.7420,
1995-03,8.4198,
1995-04,8.4325,
1995-05,8.4234,
1995-06,8.3940,
1995-07,8.3168,
1995-08,8.6687,
1995-09,8.4866,
1995-10,8.4753,
1995-11,8.5795,
1995-12,8.5028,
1996-01,8.7750,
1996-02,8.6489,
1996-03,8.6726,
1996-04,8.8626,
1996-05,8.8627,
1996-06,8.8018,
1996-07,8.6032,
1996-08,8.6753,
1996-09,8.8024,
1996-10,8.7101,
1996-11,8.7861,
1996-12,8.8259,
1997-01,9.2078,
1997-02,9.4186,
1997-03,9.3477,
1997-04,9.5666,
1997-05,9.4567,
1997-06,9.5829,
1997-07,9.9314,
1997-08,9.8158,
1997-09,9.6897,
1997-10,9.4874,
1997-11,9.6207,
1997-12,9.7432,
1998-01,9.8284,
1998-02,9.8282,
1998-03,9.9445,
1998-04,9.7529,
1998-05,9.7463,
1998-06,9.8095,
1998-07,9.7243,
1998-08,9.6523,
1998-09,9.2752,
1998-10,9.2294,
1998-11,9.4005,
1998-12,9.2975,
1999-01,9.4858,
1999-02,9.7025,
1999-03,9.7789,
1999-04,9.9215,
1999-05,9.9996,
1999-06,10.0648,
1999-07,9.8208,
1999-08,9.8578,
1999-09,9.7995,
1999-10,9.8565,
1999-11,10.1060,
1999-12,10.1170,
2000-01,10.3020,
2000-02,10.3840,
2000-03,10.3850,
2000-04,10.7100,
2000-05,10.6020,
2000-06,10.4250,
2000-07,10.6430,
2000-08,10.8660,
2000-09,10.9130,
2000-10,11.1570,
2000-11,11.0450,
2000-12,10.6410,
2001-01,10.6630,
2001-02,10.7490,
2001-03,11.0180,
2001-04,11.5600,
2001-05,11.9890,
2001-06,11.9740,
2001-07,11.6890,
2001-08,11.3040,
2001-09,11.3430,
2001-10,11.4470,
2001-11,11.5530,
2001-12,11.5350,
2002-01,11.8290,
2002-02,11.8060,
2002-03,11.7270,
2002-04,11.4320,
2002-05,11.1280,
2002-06,10.6100,
2002-07,10.7370,
2002-08,10.6970,
2002-09,10.6670,
2002-10,10.6710,
2002-11,10.6180,
2002-12,10.1970,
2003-01,9.9687,
2003-02,9.9589,
2003-03,9.8733,
2003-04,9.6880,
2003-05,9.2875,
2003-06,9.5086,
2003-07,9.6083,
2003-08,9.8289,
2003-09,9.3434,
2003-10,9.3778,
2003-11,9.1467,
2003-12,8.7762,
2004-01,8.8939,
2004-02,8.8944,
2004-03,8.9598,
2004-04,9.1592,
2004-05,9.0160,
2004-06,9.0542,
2004-07,9.1335,
2004-08,9.0804,
2004-09,8.8942,
2004-10,8.7173,
2004-11,8.4215,
2004-12,8.2541,
2005-01,8.5568,
2005-02,8.4410,
2005-03,8.5842,
2005-04,8.6156,
2005-05,8.9428,
2005-06,9.1016,
2005-07,9.0765,
2005-08,8.9701,
2005-09,9.1216,
2005-10,9.1253,
2005-11,9.2964,
2005-12,9.2771,
2006-01,9.0998,
2006-02,9.2239,
2006-03,9.0831,
2006-04,8.8016,
2006-05,8.6527,
2006-06,8.7054,
2006-07,8.7001,
2006-08,8.6874,
2006-09,8.7700,
2006-10,8.7349,
2006-11,8.4674,
2006-12,8.4819,
2007-01,8.6002,
2007-02,8.4567,
2007-03,8.4127,
2007-04,8.2391,
2007-05,8.3405,
2007-06,8.3075,
2007-07,8.2171,
2007-08,8.2466,
2007-09,7.9746,
2007-10,7.8599,
2007-11,7.7208,
2007-12,7.7585,
2008-01,7.6843,
2008-02,7.5388,
2008-03,7.2743,
2008-04,7.3846,
2008-05,7.3926,
2008-06,7.3021,
2008-07,7.3423,
2008-08,7.7374,
2008-09,7.9200,
2008-10,8.7335,
2008-11,8.7109,
2008-12,8.1225,
2009-01,8.6571,
2009-02,8.7900,
2009-03,8.4163,
2009-04,8.4504,
2009-05,8.0235,
2009-06,8.0216,
2009-07,8.0132,
2009-08,7.9393,
2009-09,7.7950,
2009-10,7.7056,
2009-11,7.6107,
2009-12,7.8837,
2010-01,8.0944,
2010-02,8.2758,
2010-03,8.3070,
2010-04,8.4116,
2010-05,8.9589,
2010-06,9.0008,
2010-07,8.5301,
2010-08,8.7475,
2010-09,8.2456,
2010-10,8.1102,
2010-11,8.5772,
2010-12,8.3819,
2011-01,8.2106,
2011-02,8.1499,
2011-03,7.9820,
2011-04,7.6809,
2011-05,7.8896,
2011-06,7.8472,
2011-07,7.9088,
2011-08,7.8744,
2011-09,8.3502,
2011-10,8.0733,
2011-11,8.3085,
2011-12,8.6029,
2012-01,8.4832,
2012-02,8.3433,
2012-03,8.3930,
2012-04,8.4543,
2012-05,8.9092,
2012-06,8.7514,
2012-07,8.9807,
2012-08,8.7891,
2012-09,8.6086,
2012-10,8.5804,
2012-11,8.5850,
2012-12,8.4588,
2013-01,8.2813,
2013-02,8.5115,
2013-03,8.6758,
2013-04,8.5338,
2013-05,8.5786,
2013-06,8.5282,
2013-07,8.4301,
2013-08,8.4582,
2013-09,8.2921,
2013-10,8.2493,
2013-11,8.2620,
2013-12,8.1750,
2014-01,8.3065,
2014-02,8.1601,
2014-03,8.1740,
2014-04,8.1332,
2014-05,8.2551,
2014-06,8.2371,
2014-07,8.3724,
2014-08,8.4779,
2014-09,8.7985,
2014-10,8.8475,
2014-11,8.8630,
2014-12,9.0695,
2015-01,9.5870,
"",General: We do not have any data on exchange rates of May 1969.,
"","Source: Since 1987: Bank Al-Maghrib, Rabat January 1967 - December 1986: Banque du Maroc",
"","Comment on 1990-05: On 2 May 1990, the dirham was devalued. We recorded the following exchange rates (buying/selling rate): 2 May 1990: USD 1 = MAD 8.8016 / 8.8468 Calculated devaluation of 25 April 1990: 8.9%.",
