"",BBDE1.M.DE.W.BAA1.A2P310000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P310000.G.C.I10.A_FLAGS
2003-05,86.1,
2003-06,89.3,
2003-07,89.0,
2003-08,81.1,
2003-09,89.8,
2003-10,93.2,
2003-11,91.9,
2003-12,77.1,
2004-01,84.2,
2004-02,86.4,
2004-03,94.0,
2004-04,90.8,
2004-05,89.9,
2004-06,93.1,
2004-07,92.7,
2004-08,85.6,
2004-09,94.6,
2004-10,95.4,
2004-11,94.3,
2004-12,78.4,
2005-01,88.5,
2005-02,87.0,
2005-03,95.4,
2005-04,92.4,
2005-05,91.3,
2005-06,94.7,
2005-07,95.6,
2005-08,88.1,
2005-09,97.4,
2005-10,100.8,
2005-11,98.5,
2005-12,81.7,
2006-01,90.8,
2006-02,91.9,
2006-03,100.4,
2006-04,98.2,
2006-05,99.7,
2006-06,102.0,
2006-07,102.5,
2006-08,98.3,
2006-09,106.4,
2006-10,107.0,
2006-11,106.4,
2006-12,90.1,
2007-01,99.7,
2007-02,101.0,
2007-03,111.7,
2007-04,105.0,
2007-05,106.1,
2007-06,109.3,
2007-07,109.3,
2007-08,103.0,
2007-09,112.8,
2007-10,113.2,
2007-11,111.6,
2007-12,93.8,
2008-01,104.3,
2008-02,106.0,
2008-03,116.9,
2008-04,110.4,
2008-05,108.9,
2008-06,111.6,
2008-07,110.6,
2008-08,105.8,
2008-09,110.7,
2008-10,109.0,
2008-11,101.1,
2008-12,76.7,
2009-01,80.6,
2009-02,80.6,
2009-03,87.0,
2009-04,80.9,
2009-05,84.2,
2009-06,88.0,
2009-07,88.8,
2009-08,85.7,
2009-09,94.7,
2009-10,96.1,
2009-11,96.0,
2009-12,77.4,
2010-01,88.4,
2010-02,89.2,
2010-03,101.6,
2010-04,98.6,
2010-05,100.9,
2010-06,103.1,
2010-07,103.6,
2010-08,99.1,
2010-09,106.3,
2010-10,108.9,
2010-11,107.4,
2010-12,86.7,
2011-01,100.7,
2011-02,102.4,
2011-03,114.0,
2011-04,107.9,
2011-05,108.3,
2011-06,110.0,
2011-07,112.3,
2011-08,105.6,
2011-09,111.2,
2011-10,112.4,
2011-11,110.4,
2011-12,88.2,
2012-01,100.5,
2012-02,101.4,
2012-03,112.5,
2012-04,105.7,
2012-05,106.7,
2012-06,108.6,
2012-07,109.2,
2012-08,102.2,
2012-09,108.0,
2012-10,108.5,
2012-11,106.1,
2012-12,85.8,
2013-01,98.0,
2013-02,98.7,
2013-03,111.1,
2013-04,103.5,
2013-05,105.1,
2013-06,107.9,
2013-07,108.0,
2013-08,101.2,
2013-09,108.8,
2013-10,110.9,
2013-11,110.1,
2013-12,89.7,
2014-01,101.6,
2014-02,103.8,
2014-03,114.5,
2014-04,107.8,
2014-05,105.6,
2014-06,108.7,
2014-07,110.2,
2014-08,101.9,
2014-09,108.7,
2014-10,110.7,Provisional value
2014-11,109.4,Provisional value
2014-12,90.2,Provisional value
