"",BBFB1.M.Y.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N_FLAGS
2002-11,7.89,
2002-12,8.12,
2003-01,8.22,
2003-02,7.91,
2003-03,8.13,
2003-04,8.19,
2003-05,8.11,
2003-06,8.27,
2003-07,8.46,
2003-08,8.43,
2003-09,8.50,
2003-10,8.38,
2003-11,8.52,
2003-12,9.17,
2004-01,10.31,
2004-02,10.38,
2004-03,10.00,
2004-04,10.49,
2004-05,10.23,
2004-06,11.08,
2004-07,10.71,
2004-08,10.99,
2004-09,11.54,
2004-10,11.16,
2004-11,12.13,
2004-12,11.89,
2005-01,12.11,
2005-02,12.11,
2005-03,12.24,
2005-04,12.80,
2005-05,12.32,
2005-06,12.60,
2005-07,12.79,
2005-08,13.05,
2005-09,13.63,
2005-10,13.75,
2005-11,14.27,
2005-12,14.11,
2006-01,14.72,
2006-02,14.91,
2006-03,15.06,
2006-04,15.61,
2006-05,15.97,
2006-06,16.23,
2006-07,16.10,
2006-08,16.80,
2006-09,16.91,
2006-10,17.28,
2006-11,17.51,
2006-12,18.18,
2007-01,19.47,
2007-02,19.88,
2007-03,19.98,
2007-04,20.15,
2007-05,20.56,
2007-06,19.45,
2007-07,19.67,
2007-08,19.83,
2007-09,18.87,
2007-10,19.29,
2007-11,19.11,
2007-12,18.94,
2008-01,17.33,
2008-02,16.90,
2008-03,16.43,
2008-04,16.14,
2008-05,16.29,
2008-06,14.95,
2008-07,14.94,
2008-08,14.87,
2008-09,14.67,
2008-10,14.10,
2008-11,14.27,
2008-12,13.87,
2009-01,14.86,
2009-02,14.30,
2009-03,14.03,
2009-04,14.21,
2009-05,13.94,
2009-06,13.86,
2009-07,14.31,
2009-08,14.09,
2009-09,13.86,
2009-10,14.28,
2009-11,14.14,
2009-12,14.37,
2010-01,14.59,
2010-02,14.75,
2010-03,14.86,
2010-04,14.97,
2010-05,15.03,
2010-06,15.86,
2010-07,15.57,
2010-08,15.61,
2010-09,15.66,
2010-10,15.85,
2010-11,16.22,
2010-12,17.64,
2011-01,16.19,
2011-02,16.57,
2011-03,16.47,
2011-04,16.35,
2011-05,17.06,
2011-06,17.17,
2011-07,17.10,
2011-08,17.24,
2011-09,17.16,
2011-10,17.28,
2011-11,16.95,
2011-12,17.01,
2012-01,16.88,
2012-02,16.59,
2012-03,16.60,
2012-04,16.42,
2012-05,16.31,
2012-06,16.34,
2012-07,16.69,
2012-08,16.59,
2012-09,16.69,
2012-10,16.73,
2012-11,16.39,
2012-12,16.39,
2013-01,16.39,
2013-02,16.07,
2013-03,15.99,
2013-04,15.88,
2013-05,15.78,
2013-06,15.57,
2013-07,15.81,
2013-08,15.62,
2013-09,15.68,
2013-10,15.71,
2013-11,15.81,
2013-12,16.48,
2014-01,15.22,
2014-02,15.25,Provisional value
2014-03,15.50,Provisional value
2014-04,15.75,Provisional value
2014-05,15.74,Provisional value
2014-06,15.46,Provisional value
2014-07,15.25,Provisional value
2014-08,15.32,Provisional value
2014-09,16.04,
2014-10,15.62,
2014-11,15.37,
2014-12,15.00,Provisional value
