"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.Z06.BGA.X001.D_FLAGS
2001-06,18.151,
2001-07,18.452,
2001-08,18.407,
2001-09,18.151,
2001-10,18.352,
2001-11,18.193,
2001-12,20.086,
2002-01,19.972,
2002-02,27.134,
2002-03,27.086,
2002-04,26.796,
2002-05,27.761,
2002-06,27.126,
2002-07,26.838,
2002-08,27.501,
2002-09,26.657,
2002-10,27.475,
2002-11,28.027,
2002-12,21.538,
2003-01,25.528,
2003-02,25.524,
2003-03,25.321,
2003-04,24.023,
2003-05,23.275,
2003-06,23.438,
2003-07,25.347,
2003-08,25.576,
2003-09,23.278,
2003-10,24.742,
2003-11,24.515,
2003-12,23.412,
2004-01,23.684,
2004-02,22.679,
2004-03,22.998,
2004-04,23.240,
2004-05,23.495,
2004-06,24.105,
2004-07,24.180,
2004-08,23.864,
2004-09,23.907,
2004-10,23.437,
2004-11,23.101,
2004-12,22.071,
2005-01,22.155,
2005-02,21.538,
2005-03,23.465,
2005-04,23.737,
2005-05,23.988,
2005-06,25.433,
2005-07,25.408,
2005-08,24.689,
2005-09,23.840,
2005-10,22.404,
2005-11,23.778,
2005-12,22.636,
2006-01,23.203,
2006-02,23.201,
2006-03,23.500,
2006-04,23.544,
2006-05,23.615,
2006-06,23.187,
2006-07,21.181,
2006-08,20.844,
2006-09,20.634,
2006-10,20.658,
2006-11,19.357,
2006-12,20.547,
2007-01,20.486,
2007-02,20.652,
2007-03,20.614,
2007-04,20.634,
2007-05,21.557,
2007-06,21.020,
2007-07,20.932,
2007-08,20.864,
2007-09,22.152,
2007-10,20.815,
2007-11,20.607,
2007-12,17.626,
2008-01,18.114,
2008-02,17.974,
2008-03,18.116,
2008-04,18.479,
2008-05,18.939,
2008-06,16.487,
2008-07,16.115,
2008-08,16.335,
2008-09,17.123,
2008-10,17.592,
2008-11,19.134,
2008-12,18.099,
2009-01,19.279,
2009-02,19.936,
2009-03,17.520,
2009-04,18.531,
2009-05,18.964,
2009-06,18.800,
2009-07,18.779,
2009-08,19.463,
2009-09,19.513,
2009-10,19.570,
2009-11,20.649,
2009-12,20.594,
2010-01,20.914,
2010-02,21.867,
2010-03,22.858,
2010-04,23.718,
2010-05,24.604,
2010-06,26.060,
2010-07,26.153,
2010-08,26.593,
2010-09,26.541,
2010-10,26.938,
2010-11,27.526,
2010-12,26.783,
2011-01,26.375,
2011-02,25.974,
2011-03,26.479,
2011-04,25.956,
2011-05,26.201,
2011-06,25.985,
2011-07,27.307,
2011-08,27.452,
2011-09,27.753,
2011-10,27.894,
2011-11,28.187,
2011-12,28.227,
2012-01,28.414,
2012-02,28.098,
2012-03,27.950,
2012-04,28.701,
2012-05,29.788,
2012-06,28.766,
2012-07,30.051,
2012-08,29.838,
2012-09,32.370,
2012-10,32.643,
2012-11,33.329,
2012-12,36.458,
2013-01,38.358,
2013-02,38.592,
2013-03,38.954,
2013-04,42.297,
2013-05,43.151,
2013-06,43.467,
2013-07,42.602,
2013-08,43.441,
2013-09,42.867,
2013-10,40.552,
2013-11,41.931,
2013-12,41.520,
2014-01,44.513,
2014-02,44.349,
2014-03,43.307,
2014-04,44.119,
2014-05,45.261,
2014-06,44.156,
2014-07,44.399,
2014-08,44.942,
2014-09,45.506,
2014-10,46.170,
2014-11,46.261,
2014-12,46.319,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
