"",BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._Z.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._Z.N_FLAGS
2002-08,384.801,
2002-09,375.087,
2002-10,387.025,
2002-11,375.940,
2002-12,384.226,
2003-01,386.752,
2003-02,374.636,
2003-03,386.737,
2003-04,385.584,
2003-05,369.749,
2003-06,401.227,
2003-07,391.657,
2003-08,379.714,
2003-09,399.347,
2003-10,377.115,
2003-11,394.295,
2003-12,410.459,
2004-01,377.542,
2004-02,379.858,
2004-03,417.628,
2004-04,396.732,
2004-05,398.667,
2004-06,408.047,
2004-07,400.123,
2004-08,383.109,
2004-09,403.750,
2004-10,398.234,
2004-11,394.231,
2004-12,422.000,
2005-01,386.359,
2005-02,385.934,
2005-03,409.008,
2005-04,405.198,
2005-05,385.261,
2005-06,420.651,
2005-07,410.470,
2005-08,392.726,
2005-09,422.203,
2005-10,400.500,
2005-11,393.962,
2005-12,432.016,
2006-01,390.511,
2006-02,393.055,
2006-03,415.160,
2006-04,399.539,
2006-05,394.738,
2006-06,416.313,
2006-07,409.326,
2006-08,396.107,
2006-09,422.388,
2006-10,409.038,
2006-11,401.736,
2006-12,430.894,
2007-01,401.619,
2007-02,421.584,
2007-03,420.605,
2007-04,406.812,
2007-05,396.805,
2007-06,433.089,
2007-07,415.348,
2007-08,404.569,
2007-09,428.206,
2007-10,411.058,
2007-11,406.711,
2007-12,434.036,
2008-01,414.931,
2008-02,411.930,
2008-03,432.020,
2008-04,419.822,
2008-05,408.698,
2008-06,446.857,
2008-07,428.973,
2008-08,416.364,
2008-09,443.892,
2008-10,431.822,
2008-11,421.546,
2008-12,456.364,
2009-01,435.961,
2009-02,427.075,
2009-03,455.302,
2009-04,440.848,
2009-05,437.969,
2009-06,471.676,
2009-07,458.021,
2009-08,442.377,
2009-09,472.853,
2009-10,460.402,
2009-11,443.700,
2009-12,480.691,
2010-01,461.810,
2010-02,451.401,
2010-03,478.833,
2010-04,497.426,
2010-05,481.429,
2010-06,511.647,
2010-07,491.140,
2010-08,475.493,
2010-09,507.321,
2010-10,490.633,
2010-11,478.110,
2010-12,512.773,
2011-01,484.778,
2011-02,480.672,
2011-03,508.140,
2011-04,503.200,
2011-05,481.052,
2011-06,516.608,
2011-07,496.709,
2011-08,485.357,
2011-09,510.686,
2011-10,500.895,
2011-11,478.682,
2011-12,514.321,
2012-01,497.235,
2012-02,483.446,
2012-03,515.533,
2012-04,506.546,
2012-05,487.825,
2012-06,524.757,
2012-07,521.067,
2012-08,501.871,
2012-09,522.562,
2012-10,512.877,
2012-11,494.619,
2012-12,530.961,
2013-01,511.104,
2013-02,502.776,
2013-03,526.517,
2013-04,517.071,
2013-05,500.947,
2013-06,532.652,
2013-07,527.496,
2013-08,434.890,
2013-09,625.201,
2013-10,626.858,
2013-11,506.450,
2013-12,536.324,
2014-01,525.520,
2014-02,509.008,Provisional value
2014-03,532.675,Provisional value
2014-04,529.255,Provisional value
2014-05,504.685,Provisional value
2014-06,540.457,Provisional value
2014-07,542.318,Provisional value
2014-08,528.097,Provisional value
2014-09,588.920,
2014-10,575.161,
2014-11,618.171,
2014-12,613.906,Provisional value
