"",BBFN1.M.DE.N.1.A.SG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1989-09,0.284,
1989-10,0.305,
1989-11,0.265,
1989-12,0.255,
1990-01,0.312,
1990-02,0.304,
1990-03,0.305,
1990-04,0.304,
1990-05,0.345,
1990-06,0.552,
1990-07,0.370,
1990-08,0.305,
1990-09,0.237,
1990-10,0.291,
1990-11,0.391,
1990-12,0.256,
1991-01,0.211,
1991-02,0.251,
1991-03,0.355,
1991-04,0.222,
1991-05,0.231,
1991-06,0.254,
1991-07,0.304,
1991-08,0.351,
1991-09,0.285,
1991-10,0.367,
1991-11,0.253,
1991-12,0.179,
1992-01,0.390,
1992-02,0.519,
1992-03,0.357,
1992-04,0.343,
1992-05,0.321,
1992-06,0.299,
1992-07,0.453,
1992-08,0.340,
1992-09,0.346,
1992-10,0.481,
1992-11,0.488,
1992-12,0.481,
1993-01,0.429,
1993-02,0.333,
1993-03,0.387,
1993-04,0.340,
1993-05,0.458,
1993-06,0.341,
1993-07,0.270,
1993-08,0.488,
1993-09,0.319,
1993-10,0.475,
1993-11,0.620,
1993-12,0.533,
1994-01,0.422,
1994-02,0.292,
1994-03,0.400,
1994-04,0.821,
1994-05,0.727,
1994-06,0.849,
1994-07,0.905,
1994-08,0.850,
1994-09,0.525,
1994-10,0.349,
1994-11,0.351,
1994-12,0.236,
1995-01,0.128,
1995-02,0.209,
1995-03,0.221,
1995-04,0.182,
1995-05,0.177,
1995-06,0.189,
1995-07,0.225,
1995-08,0.199,
1995-09,0.170,
1995-10,0.367,
1995-11,0.446,
1995-12,0.521,
1996-01,0.783,
1996-02,0.705,
1996-03,0.419,
1996-04,0.548,
1996-05,0.518,
1996-06,0.667,
1996-07,0.782,
1996-08,0.836,
1996-09,1.045,
1996-10,0.963,
1996-11,1.199,
1996-12,1.059,
1997-01,1.408,
1997-02,0.993,
1997-03,1.030,
1997-04,1.429,
1997-05,1.218,
1997-06,1.071,
1997-07,0.919,
1997-08,0.881,
1997-09,0.777,
1997-10,0.570,
1997-11,0.647,
1997-12,0.637,
1998-01,0.584,
1998-02,0.603,
1998-03,0.522,
1998-04,0.521,
1998-05,0.529,
1998-06,0.441,
1998-07,0.402,
1998-08,0.389,
1998-09,0.310,
1998-10,0.296,
1998-11,0.270,
1998-12,0.347,
1999-01,0.344,
1999-02,0.380,
1999-03,0.468,
1999-04,0.441,
1999-05,0.483,
1999-06,0.520,
1999-07,0.641,
1999-08,0.650,
1999-09,0.521,
1999-10,0.475,
1999-11,0.530,
1999-12,0.548,
2000-01,0.621,
2000-02,0.416,
2000-03,0.558,
2000-04,0.563,
2000-05,0.666,
2000-06,0.695,
2000-07,0.756,
2000-08,0.775,
2000-09,0.823,
2000-10,0.765,
2000-11,0.745,
2000-12,0.732,
2001-01,0.647,
2001-02,0.753,
2001-03,0.832,
2001-04,0.889,
2001-05,0.912,
2001-06,0.761,
2001-07,0.831,
2001-08,0.826,
2001-09,0.803,
2001-10,0.776,
2001-11,0.797,
2001-12,0.878,
2002-01,0.738,
2002-02,0.766,
2002-03,0.682,
2002-04,0.703,
2002-05,0.752,
2002-06,0.624,
2002-07,0.740,
2002-08,0.745,
2002-09,0.735,
2002-10,0.726,
2002-11,0.709,
2002-12,0.618,
2003-01,0.773,
2003-02,0.813,
2003-03,0.804,
2003-04,0.724,
2003-05,0.777,
2003-06,0.760,
2003-07,0.689,
2003-08,0.707,
2003-09,0.697,
2003-10,0.686,
2003-11,0.698,
2003-12,0.584,
2004-01,0.533,
2004-02,0.465,
2004-03,0.495,
2004-04,0.510,
2004-05,0.539,
2004-06,0.569,
2004-07,0.585,
2004-08,0.558,
2004-09,0.582,
2004-10,0.569,
2004-11,0.609,
2004-12,0.661,
2005-01,0.644,
2005-02,0.653,
2005-03,0.629,
2005-04,0.623,
2005-05,0.663,
2005-06,0.714,
2005-07,0.739,
2005-08,0.648,
2005-09,0.728,
2005-10,0.580,
2005-11,0.489,
2005-12,0.487,
2006-01,0.456,
2006-02,0.506,
2006-03,0.488,
2006-04,0.533,
2006-05,0.608,
2006-06,0.596,
2006-07,0.584,
2006-08,0.554,
2006-09,0.532,
2006-10,0.622,
2006-11,0.586,
2006-12,0.517,
2007-01,0.487,
2007-02,0.889,
2007-03,0.483,
2007-04,0.565,
2007-05,0.802,
2007-06,0.916,
2007-07,0.635,
2007-08,0.661,
2007-09,0.713,
2007-10,0.694,
2007-11,0.612,
2007-12,0.593,
2008-01,0.715,
2008-02,0.759,
2008-03,0.782,
2008-04,1.326,
2008-05,1.367,
2008-06,1.116,
2008-07,1.199,
2008-08,1.285,
2008-09,1.303,
2008-10,1.286,
2008-11,1.153,
2008-12,1.356,
2009-01,1.110,
2009-02,1.102,
2009-03,1.188,
2009-04,1.196,
2009-05,1.162,
2009-06,1.157,
2009-07,1.173,
2009-08,1.179,
2009-09,1.253,
2009-10,1.265,
2009-11,1.215,
2009-12,1.219,
2010-01,1.361,
2010-02,1.244,
2010-03,1.286,
2010-04,1.300,
2010-05,1.366,
2010-06,1.532,
2010-07,1.560,
2010-08,1.577,
2010-09,1.649,
2010-10,1.853,
2010-11,1.925,
2010-12,2.119,
2011-01,1.936,
2011-02,1.896,
2011-03,1.908,
2011-04,1.944,
2011-05,1.802,
2011-06,1.815,
2011-07,1.977,
2011-08,1.981,
2011-09,1.963,
2011-10,1.999,
2011-11,2.390,
2011-12,2.317,
2012-01,2.258,
2012-02,2.444,
2012-03,2.345,
2012-04,2.813,
2012-05,2.806,
2012-06,2.871,
2012-07,3.639,
2012-08,3.451,
2012-09,3.274,
2012-10,3.544,
2012-11,3.394,
2012-12,2.913,
2013-01,2.536,
2013-02,2.660,
2013-03,2.794,
2013-04,2.900,
2013-05,2.902,
2013-06,3.257,
2013-07,2.747,
2013-08,2.821,
2013-09,2.980,
2013-10,3.499,
2013-11,4.093,
2013-12,2.839,
2014-01,2.892,
2014-02,2.836,
2014-03,3.663,
2014-04,3.833,
2014-05,4.054,
2014-06,4.325,
2014-07,4.600,
2014-08,4.618,
2014-09,4.145,
2014-10,3.994,
2014-11,3.898,
2014-12,3.846,
