"",BBEX3.M.ZAR.USD.CA.AA.A01,BBEX3.M.ZAR.USD.CA.AA.A01_FLAGS
2000-01,6.3025,
2000-02,6.3350,
2000-03,6.5175,
2000-04,6.7850,
2000-05,6.9625,
2000-06,6.7750,
2000-07,6.9525,
2000-08,6.9730,
2000-09,7.2300,
2000-10,7.5550,
2000-11,7.7325,
2000-12,7.5850,
2001-01,7.7425,
2001-02,7.6650,
2001-03,8.0325,
2001-04,8.0320,
2001-05,7.9950,
2001-06,8.0435,
2001-07,8.2575,
2001-08,8.4290,
2001-09,9.0275,
2001-10,9.4400,
2001-11,10.2500,
2001-12,11.9700,
2002-01,11.3830,
2002-02,11.3640,
2002-03,11.3100,
2002-04,10.6110,
2002-05,9.8070,
2002-06,10.2550,
2002-07,10.1500,
2002-08,10.5750,
2002-09,10.5080,
2002-10,9.9955,
2002-11,9.2220,
2002-12,8.5450,
2003-01,8.4820,
2003-02,8.0625,
2003-03,7.8780,
2003-04,7.2600,
2003-05,8.1000,
2003-06,7.4700,
2003-07,7.3450,
2003-08,7.3300,
2003-09,6.9300,
2003-10,6.8635,
2003-11,6.3665,
2003-12,6.6750,
2004-01,7.0700,
2004-02,6.5900,
2004-03,6.2675,
2004-04,7.0000,
2004-05,6.5300,
2004-06,6.1400,
2004-07,6.2600,
2004-08,6.6350,
2004-09,6.4265,
2004-10,6.1000,
2004-11,5.7850,
2004-12,5.6925,
2005-01,5.8038,
2005-02,5.6405,
2005-03,6.0626,
2005-04,5.9406,
2005-05,6.5516,
2005-06,6.5175,
2005-07,6.4415,
2005-08,6.3415,
2005-09,6.2021,
2005-10,6.5688,
2005-11,6.3255,
2005-12,6.1613,
2006-01,5.9437,
2006-02,6.0111,
2006-03,6.0165,
2006-04,5.8925,
2006-05,6.4785,
2006-06,6.9655,
2006-07,6.7625,
2006-08,6.9975,
2006-09,7.6225,
2006-10,7.2405,
2006-11,7.0025,
2006-12,6.8225,
2007-01,7.0525,
2007-02,7.0800,
2007-03,7.0725,
2007-04,6.8875,
2007-05,6.9495,
2007-06,6.8825,
2007-07,6.9405,
2007-08,6.9825,
2007-09,6.6985,
2007-10,6.4015,
2007-11,6.5955,
2007-12,6.6315,
2008-01,7.3725,
2008-02,7.5225,
2008-03,7.9625,
2008-04,7.3925,
2008-05,7.4325,
2008-06,7.6715,
2008-07,7.1825,
2008-08,7.5175,
2008-09,8.1635,
2008-10,9.8725,
2008-11,9.9325,
2008-12,9.2925,
2009-01,10.0025,
2009-02,9.9225,
2009-03,9.3130,
2009-04,8.3025,
2009-05,7.7975,
2009-06,7.5255,
2009-07,7.6575,
2009-08,7.6145,
2009-09,7.3395,
2009-10,7.7075,
2009-11,7.2485,
2009-12,7.2870,
2010-01,7.3666,
2010-02,7.5325,
2010-03,7.1500,
2010-04,7.1663,
2010-05,7.5140,
2010-06,7.4974,
2010-07,7.1395,
2010-08,7.1990,
2010-09,6.7944,
2010-10,6.7811,
2010-11,6.9466,
2010-12,6.4725,
2011-01,6.9983,
2011-02,6.7565,
2011-03,6.6272,
2011-04,6.4197,
2011-05,6.6804,
2011-06,6.6175,
2011-07,6.5120,
2011-08,6.8308,
2011-09,7.9249,
2011-10,7.6376,
2011-11,7.9785,
2011-12,7.9201,
2012-01,7.5948,
2012-02,7.2490,
2012-03,7.4929,
2012-04,7.5611,
2012-05,8.3610,
2012-06,8.0214,
2012-07,8.0136,
2012-08,8.2572,
2012-09,8.1060,
2012-10,8.4754,
2012-11,8.6707,
2012-12,8.2861,
2013-01,8.7596,
2013-02,8.7785,
2013-03,9.0417,
2013-04,8.8244,
2013-05,9.9425,
2013-06,9.8121,
2013-07,9.7423,
2013-08,9.9895,
2013-09,9.8575,
2013-10,9.7963,
2013-11,9.9770,
2013-12,10.3565,
2014-01,10.9918,
2014-02,10.5925,
2014-03,10.3785,
2014-04,10.3470,
2014-05,10.3280,
2014-06,10.4213,
2014-07,10.5245,
2014-08,10.4450,
2014-09,11.1215,
2014-10,10.7965,
2014-11,10.9100,
2014-12,11.3800,
2015-01,11.4485,
"","General: * Until 12 March 1995: official exchange rate. Use of exchange rates (until 12 March 1995): Official exchange rate: for all foreign exchange transactions not carried out at the financial rate. Financial rate: ""financial rand"" balances arise at the authorised banks from the sales proceeds of investments. The proceeds are obtained by foreigners not domiciled in South Africa and cannot be transferred in foreign currencies. These ""financial rand"" balances can be transferred without restriction between foreign investors not domiciled in South Africa; they can be used for reinvestment in South African securities listed on the stock exchange or for other equity investments permitted by the authorities from case to case. The multiple exchange rate system was unified on 13 March 1995.",
"","Source: 1988 - 1995 and since March 2004 Standard Bank, Johannesburg  1996 - February 2004 Standard Corporate & Merchant Bank, Johannesburg",
