"",BBEX3.M.JPY.USD.CA.AB.A01,BBEX3.M.JPY.USD.CA.AB.A01_FLAGS
2008-12,92.03,
2009-01,90.55,
2009-02,98.81,
2009-03,99.23,
2009-04,98.78,
2009-05,97.48,
2009-06,97.01,
2009-07,96.47,
2009-08,93.74,
2009-09,91.21,
2009-10,92.44,
2009-11,87.81,
2009-12,93.10,
2010-01,90.77,
2010-02,90.43,
2010-03,94.04,
2010-04,95.07,
2010-05,92.31,
2010-06,89.48,
2010-07,87.70,
2010-08,85.56,
2010-09,84.82,
2010-10,81.89,
2010-11,85.27,
2010-12,82.49,
2011-01,83.13,
2011-02,82.71,
2011-03,84.15,
2011-04,83.08,
2011-05,81.88,
2011-06,81.73,
2011-07,78.85,
2011-08,77.74,
2011-09,77.65,
2011-10,78.75,
2011-11,79.13,
2011-12,78.74,
2012-01,77.38,
2012-02,81.68,
2012-03,83.19,
2012-04,82.19,
2012-05,79.92,
2012-06,80.31,
2012-07,79.17,
2012-08,79.60,
2012-09,78.60,
2012-10,80.66,
2012-11,83.12,
2012-12,87.58,
2013-01,92.14,
2013-02,93.51,
2013-03,95.32,
2013-04,98.92,
2013-05,102.18,
2013-06,99.59,
2013-07,99.08,
2013-08,99.36,
2013-09,98.75,
2013-10,99.51,
2013-11,103.42,
2013-12,106.39,
2014-01,103.86,
2014-02,102.94,
2014-03,103.92,
2014-04,103.61,
2014-05,102.66,
2014-06,102.36,
2014-07,103.85,
2014-08,104.74,
2014-09,110.45,
2014-10,110.34,
2014-11,119.23,
2014-12,121.55,
2015-01,119.25,
"",Source: Since 2006: Bank of Tokyo-Mitsubishi UFJ April 1996 - 2005: Bank of Tokyo-Mitsubishi 1989 - March 1996: Bank of Tokyo,
