"",BBFN1.M.DE.N.1.A.NG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2007-06,0.224,
2007-07,0.140,
2007-08,0.114,
2007-09,0.101,
2007-10,0.099,
2007-11,0.096,
2007-12,0.111,
2008-01,0.116,
2008-02,0.120,
2008-03,0.112,
2008-04,0.108,
2008-05,0.109,
2008-06,0.106,
2008-07,0.107,
2008-08,0.109,
2008-09,0.113,
2008-10,0.108,
2008-11,0.102,
2008-12,0.118,
2009-01,0.113,
2009-02,0.114,
2009-03,0.111,
2009-04,0.106,
2009-05,0.097,
2009-06,0.127,
2009-07,0.125,
2009-08,0.126,
2009-09,0.125,
2009-10,0.120,
2009-11,0.120,
2009-12,0.136,
2010-01,0.131,
2010-02,0.132,
2010-03,0.137,
2010-04,0.137,
2010-05,0.134,
2010-06,0.140,
2010-07,0.136,
2010-08,0.132,
2010-09,0.115,
2010-10,0.113,
2010-11,0.111,
2010-12,0.081,
2011-01,0.069,
2011-02,0.068,
2011-03,0.066,
2011-04,0.061,
2011-05,0.062,
2011-06,0.054,
2011-07,0.059,
2011-08,0.059,
2011-09,0.058,
2011-10,0.059,
2011-11,0.058,
2011-12,0.066,
2012-01,0.058,
2012-02,0.057,
2012-03,0.061,
2012-04,0.075,
2012-05,0.067,
2012-06,0.063,
2012-07,0.061,
2012-08,0.063,
2012-09,0.058,
2012-10,0.062,
2012-11,0.059,
2012-12,0.058,
2013-01,0.061,
2013-02,0.055,
2013-03,0.051,
2013-04,0.053,
2013-05,0.052,
2013-06,0.049,
2013-07,0.047,
2013-08,0.044,
2013-09,0.050,
2013-10,0.093,
2013-11,0.090,
2013-12,0.089,
2014-01,0.089,
2014-02,0.094,
2014-03,0.087,
2014-04,0.090,
2014-05,0.090,
2014-06,0.089,
2014-07,0.082,
2014-08,0.090,
2014-09,0.093,
2014-10,0.096,
2014-11,0.097,
2014-12,0.106,
