"",BBEX3.M.KES.USD.CA.AC.A01,BBEX3.M.KES.USD.CA.AC.A01_FLAGS
1982-12,12.74565,
1983-01,12.94115,
1983-02,12.89965,
1983-03,13.03460,
1983-04,12.99880,
1983-05,13.05070,
1983-06,13.25340,
1983-07,13.65750,
1983-08,13.87835,
1983-09,13.66510,
1983-10,13.57640,
1983-11,13.84160,
1983-12,13.79590,
1984-01,13.93835,
1984-02,13.59140,
1984-03,13.61785,
1984-04,13.87335,
1984-05,14.22675,
1984-06,14.48435,
1984-07,14.75505,
1984-08,14.71160,
1984-09,14.96385,
1984-10,15.18930,
1984-11,15.38930,
1984-12,15.78130,
1985-01,16.05610,
1985-02,16.47635,
1985-03,16.10080,
1985-04,16.17630,
1985-05,16.14865,
1985-06,16.18150,
1985-07,16.57910,
1985-08,17.11080,
1985-09,16.74965,
1985-10,16.54095,
1985-11,16.28455,
1985-12,16.28425,
1986-01,16.24070,
1986-02,16.01155,
1986-03,16.48675,
1986-04,15.99900,
1986-05,16.58000,
1986-06,16.33625,
1986-07,16.06090,
1986-08,16.08875,
1986-09,16.16940,
1986-10,16.27785,
1986-11,16.21555,
1986-12,16.04220,
1987-01,16.05970,
1987-02,16.22635,
1987-03,16.04040,
1987-04,16.17650,
1987-05,16.30570,
1987-06,16.44890,
1987-07,16.62185,
1987-08,16.51560,
1987-09,16.87885,
1987-10,17.02005,
1987-11,16.98100,
1987-12,16.51490,
1988-01,17.04320,
1988-02,17.16415,
1988-03,17.02705,
1988-04,17.08445,
1988-05,17.28155,
1988-06,18.08455,
1988-07,18.13525,
1988-08,18.39810,
1988-09,18.50600,
1988-10,18.20285,
1988-11,18.23350,
1988-12,18.59940,
1989-01,18.86070,
1989-02,18.94055,
1989-03,19.38380,
1989-04,19.59680,
1989-05,20.85870,
1989-06,21.06610,
1989-07,20.84400,
1989-08,21.38580,
1989-09,21.85410,
1989-10,21.80585,
1989-11,21.86030,
1989-12,21.60095,
1990-01,21.74435,
1990-02,22.12800,
1990-03,22.97650,
1990-04,23.14125,
1990-05,23.02035,
1990-06,23.13040,
1990-07,23.10290,
1990-08,23.23215,
1990-09,23.33435,
1990-10,23.21695,
1990-11,23.40050,
1990-12,24.08405,
1991-01,24.72080,
1991-02,25.20535,
1991-03,26.59610,
1991-04,27.78200,
1991-05,27.81125,
1991-06,28.65530,
1991-07,28.60545,
1991-08,29.09295,
1991-09,28.66430,
1991-10,28.78840,
1991-11,28.36645,
1991-12,28.07405,
1992-01,28.81475,
1992-02,29.31800,
1992-03,30.02565,
1992-04,31.52880,
1992-05,31.76890,
1992-06,32.30750,
1992-07,32.63265,
1992-08,32.89135,
1992-09,33.53615,
1992-10,35.28575,
1992-11,35.79420,
1992-12,36.26785,
1993-01,35.92240,
1993-02,36.45570,comment
1993-03,45.52830,comment
1993-04,59.86640,comment
1993-05,63.17890,comment
1993-06,65.05460,comment
1993-07,65.25300,comment
1993-08,65.06320,comment
1993-09,66.95305,comment
1993-10,69.06390,
1993-11,68.74895,
1993-12,68.16305,
1994-01,67.69415,
1994-02,67.12530,
1994-03,64.85810,
1994-04,61.38315,
1994-05,56.45925,
1994-06,55.95890,
1994-07,55.91800,
1994-08,54.99455,
1994-09,48.00720,
1994-10,41.26775,
1994-11,46.15610,
1994-12,44.89500,
1995-01,44.51390,
1995-02,44.50000,
1995-03,43.95000,
1995-04,46.30000,
1995-05,54.10000,
1995-06,54.80000,
1995-07,55.48890,comment
1995-08,55.45000,
1995-09,55.57500,
1995-10,55.50000,
1995-11,55.67500,
1995-12,55.85000,
1996-01,57.55000,
1996-02,58.40000,
1996-03,58.42500,
1996-04,58.41000,
1996-05,58.26000,
1996-06,58.02500,
1996-07,57.34000,
1996-08,56.72500,
1996-09,56.25000,
1996-10,55.80000,
1996-11,55.52500,
1996-12,55.05000,
1997-01,54.70890,
1997-02,54.95000,
1997-03,54.70440,
1997-04,55.45000,
1997-05,53.44775,
1997-06,54.42500,
1997-07,58.50000,
1997-08,65.50000,
1997-09,62.00000,
1997-10,63.95000,
1997-11,63.57500,
1997-12,62.80000,
1998-01,60.70000,
1998-02,60.05000,
1998-03,59.98500,
1998-04,59.52500,
1998-05,62.95000,
1998-06,59.62500,
1998-07,59.12500,
1998-08,59.52500,
1998-09,60.00000,
1998-10,59.78500,
1998-11,59.90000,
1998-12,61.85000,
1999-01,61.70000,
1999-02,63.75000,
1999-03,64.90000,
1999-04,67.30000,
1999-05,70.20000,
1999-06,73.22500,
1999-07,74.17500,
1999-08,75.10000,
1999-09,76.60000,
1999-10,75.27000,
1999-11,74.98000,
1999-12,73.66500,
2000-01,72.65000,
2000-02,73.62500,
2000-03,75.23500,
2000-04,75.18500,
2000-05,77.24500,
2000-06,78.53500,
2000-07,74.56110,
2000-08,77.22220,
2000-09,78.98890,
2000-10,79.35560,
2000-11,79.82500,
2000-12,77.93610,
2001-01,78.62220,
2001-02,78.08055,
2001-03,77.81670,
2001-04,77.55055,
2001-05,79.13500,
2001-06,78.98475,
2001-07,78.87610,
2001-08,78.93440,
2001-09,79.61000,
2001-10,79.08110,
2001-11,78.97335,
2001-12,78.60000,
2002-01,78.59670,
2002-02,78.11000,
2002-03,78.05780,
2002-04,78.30165,
2002-05,78.32110,
2002-06,78.78610,
2002-07,78.73555,
2002-08,78.67725,
2002-09,79.02560,
2002-10,79.65890,
2002-11,80.10670,
2002-12,77.07225,
2003-01,77.74330,
2003-02,76.60330,
2003-03,76.64610,
2003-04,74.49830,
2003-05,73.11385,
2003-06,74.16665,
2003-07,75.43115,
2003-08,76.67780,
2003-09,78.41670,
2003-10,78.44670,
2003-11,76.35000,
2003-12,76.13890,
2004-01,76.47220,
2004-02,76.45000,
2004-03,77.76165,
2004-04,78.34670,
2004-05,79.75000,
2004-06,79.51275,
2004-07,80.40000,
2004-08,80.04440,
2004-09,81.11440,
2004-10,81.27220,
2004-11,81.22780,
2004-12,77.34440,
2005-01,76.80110,
2005-02,75.62220,
2005-03,75.01670,
2005-04,76.60220,
2005-05,77.05670,
2005-06,76.20560,
2005-07,76.04440,
2005-08,75.69560,
2005-09,74.07780,
2005-10,73.60555,
2005-11,74.48560,
2005-12,72.36670,
2006-01,71.98220,
2006-02,73.19780,
2006-03,71.87220,
2006-04,71.15780,
2006-05,72.27000,
2006-06,73.88000,
2006-07,73.61665,
2006-08,72.62445,
2006-09,72.67890,
2006-10,72.02000,
2006-11,69.94780,
2006-12,69.39665,
2007-01,70.53670,
2007-02,69.73335,
2007-03,68.78110,
2007-04,68.32000,
2007-05,66.96555,
2007-06,66.56445,
2007-07,67.50890,
2007-08,66.98890,
2007-09,66.97110,
2007-10,67.11445,
2007-11,64.42445,
2007-12,62.54110,comment
2008-01,70.56110,
2008-02,68.97780,
2008-03,62.84780,
2008-04,62.13555,
2008-05,62.02890,
2008-06,64.69445,
2008-07,67.31835,
2008-08,68.73335,
2008-09,73.21890,
2008-10,79.65280,
2008-11,77.88055,
2008-12,77.71110,
2009-01,79.54390,
2009-02,79.68720,
2009-03,80.43055,
2009-04,78.66170,
2009-05,78.34830,
2009-06,77.15775,
2009-07,76.60665,
2009-08,76.23335,
2009-09,74.99945,
2009-10,75.23890,
2009-11,74.90720,
2009-12,75.82000,
2010-01,75.88555,
2010-02,76.89725,
2010-03,77.33135,
2010-04,77.26600,
2010-05,79.74535,
2010-06,81.91670,
2010-07,80.22975,
2010-08,81.07110,
2010-09,80.77805,
2010-10,80.78695,
2010-11,80.97420,
2010-12,80.75195,
2011-01,81.27225,
2011-02,82.36385,
2011-03,82.98890,
2011-04,83.41945,
2011-05,85.70445,
2011-06,89.86385,
2011-07,91.10000,
2011-08,93.62225,
2011-09,99.83195,
2011-10,99.77830,
2011-11,89.72085,
2011-12,85.06805,
2012-01,84.58750,
2012-02,82.97085,
2012-03,83.05555,
2012-04,83.21635,
2012-05,86.82500,
2012-06,84.23335,
2012-07,84.21250,
2012-08,84.32085,
2012-09,85.28335,
2012-10,85.17750,
2012-11,85.93475,
2012-12,86.00085,
2013-01,87.61110,
2013-02,86.23615,
2013-03,85.63860,
2013-04,83.82080,
2013-05,85.12360,
2013-06,86.00750,
2013-07,87.27975,
2013-08,87.59670,
2013-09,86.64585,
2013-10,85.14695,
2013-11,86.99305,
2013-12,86.30975,
2014-01,86.23615,
2014-02,86.32640,
2014-03,86.44140,
2014-04,86.87110,
2014-05,87.79725,
2014-06,87.62695,
2014-07,87.80415,
2014-08,88.39445,
2014-09,89.27945,
2014-10,89.35225,
2014-11,90.17920,
2014-12,90.59775,
2015-01,91.67360,
2015-02,91.42305,
"","General: * The exchange rates have been classified as indicative exchange rates since November 1994. While the multiple exchange rate system was in place in 1993: official exchange rate. On 24 February 1993, a multiple exchange rate system was established with the introduction of legal free market rates. Official exchange rate: for the government's foreignexchange transactions. Free market rate: for all other transactions. Although the unification of the system was announced in March 1993, the free market rates continued to exist (alongside the official exchange rate); they only began to be officially confirmed again at the end of June 1993. The exchange rate system was unified on 18 October 1993.The term ""Kenya pound"" is a unit of account equivalent to 20 Kenya shillings.",
"","Source: Calculated on the basis of buying and selling rates of the Central Bank of Kenya, Nairobi.",
"","Comment on 1993-02: On 24 February 1993, a multiple exchange rate system was established with the introduction of legal free market rates. Free market rates (buying/selling) as at end-February 1993: USD 1 = KES 55.4400/58.0400.",
"","Comment on 1993-03: On 9 March 1993, the official exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling).  8 March 1993: USD 1 = KES 36.4130/36.5225  9 March 1993: USD 1 = KES 45.6313/45.7684 Calculated devaluation of the Kenya shilling for the official exchange rate: 20.2%.  Free market rates (buying/selling) on 22 March 1993: USD 1 = KES 67.6776/69.8868.",
"","Comment on 1993-04: On 20 April 1993, the official exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling).  15 April 1993: USD 1 = KES 45.5335/45.6704  20 April 1993: USD 1 = KES 59.9171/60.0972 Calculated devaluation of the Kenya shilling for the official exchange rate: 24.0%.  Free market rates as at the end of April 1993 were not available.",
"",Comment on 1993-05: Free market rates as at the end of May 1993 were not available.,
"",Comment on 1993-06: Free market rates (buying/selling) as at end-June 1993: USD 1 = KES 81.3500/82.4000.,
"",Comment on 1993-07: Free market rates (buying/selling) as at end-July 1993: USD 1 = KES 80.8500/83.1100.,
"",Comment on 1993-08: Free market rates (buying/selling) as at end-August 1993: USD 1 = KES 70.0400/74.2700.,
"",Comment on 1993-09: Free market rates (buying/selling) as at end-September 1993: USD 1 = KES 69.3100/70.3900.,
"",Comment on 1995-07: Exchange rate as of 26 July 1995.,
"",Comment on 2007-12: Exchange rate as of 20 December 2007.,
