"",BBDE1.M.DE.Y.AEA1.N2C300000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C300000.F.V.I10.A_FLAGS
2007-12,91.5,
2008-01,119.6,
2008-02,125.5,
2008-03,99.4,
2008-04,102.0,
2008-05,141.3,
2008-06,60.2,
2008-07,125.8,
2008-08,95.9,
2008-09,62.2,
2008-10,72.9,
2008-11,81.0,
2008-12,93.9,
2009-01,89.1,
2009-02,67.0,
2009-03,77.1,
2009-04,67.8,
2009-05,90.0,
2009-06,70.4,
2009-07,168.1,
2009-08,64.2,
2009-09,84.4,
2009-10,52.2,
2009-11,59.4,
2009-12,62.3,
2010-01,132.1,
2010-02,48.8,
2010-03,105.7,
2010-04,68.0,
2010-05,77.3,
2010-06,125.1,
2010-07,79.6,
2010-08,129.3,
2010-09,96.0,
2010-10,86.5,
2010-11,141.2,
2010-12,100.4,
2011-01,102.9,
2011-02,125.8,
2011-03,80.7,
2011-04,149.1,
2011-05,262.9,
2011-06,186.7,
2011-07,100.2,
2011-08,132.1,
2011-09,83.9,
2011-10,131.5,
2011-11,93.8,
2011-12,144.6,
2012-01,76.6,
2012-02,80.2,
2012-03,170.4,
2012-04,98.5,
2012-05,96.3,
2012-06,93.6,
2012-07,87.5,
2012-08,100.1,
2012-09,70.7,
2012-10,162.8,
2012-11,99.3,
2012-12,97.4,
2013-01,121.6,
2013-02,152.9,
2013-03,135.8,
2013-04,115.6,
2013-05,78.0,
2013-06,185.7,
2013-07,170.6,
2013-08,90.7,
2013-09,191.2,
2013-10,177.4,
2013-11,161.1,
2013-12,146.8,
2014-01,129.1,
2014-02,160.8,
2014-03,115.1,
2014-04,189.1,
2014-05,221.7,
2014-06,81.1,
2014-07,217.0,
2014-08,107.7,
2014-09,107.9,
2014-10,127.2,
2014-11,112.7,
2014-12,146.2,Provisional value
