"",BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.Z06.BGA.X001.D_FLAGS
2007-09,116.616,
2007-10,114.292,
2007-11,115.214,
2007-12,110.314,
2008-01,106.659,
2008-02,107.165,
2008-03,108.313,
2008-04,114.216,
2008-05,111.800,
2008-06,110.363,
2008-07,111.333,
2008-08,111.583,
2008-09,117.629,
2008-10,121.415,
2008-11,123.334,
2008-12,117.022,
2009-01,114.594,
2009-02,112.933,
2009-03,112.483,
2009-04,110.191,
2009-05,109.356,
2009-06,109.927,
2009-07,108.306,
2009-08,107.798,
2009-09,105.837,
2009-10,105.544,
2009-11,104.970,
2009-12,103.847,
2010-01,105.127,
2010-02,106.111,
2010-03,114.776,
2010-04,115.497,
2010-05,120.894,
2010-06,129.357,
2010-07,127.822,
2010-08,127.055,
2010-09,125.790,
2010-10,126.580,
2010-11,130.052,
2010-12,126.554,
2011-01,127.214,
2011-02,127.864,
2011-03,129.130,
2011-04,126.764,
2011-05,127.385,
2011-06,126.669,
2011-07,126.461,
2011-08,128.597,
2011-09,133.827,
2011-10,133.834,
2011-11,133.271,
2011-12,135.131,
2012-01,132.139,
2012-02,133.795,
2012-03,142.101,
2012-04,143.906,
2012-05,145.326,
2012-06,154.566,
2012-07,151.298,
2012-08,149.455,
2012-09,156.115,
2012-10,152.508,
2012-11,155.633,
2012-12,146.603,
2013-01,146.750,
2013-02,149.978,
2013-03,151.344,
2013-04,158.030,
2013-05,158.070,
2013-06,158.866,
2013-07,150.212,
2013-08,148.998,
2013-09,147.686,
2013-10,140.819,
2013-11,145.011,
2013-12,143.655,
2014-01,145.188,
2014-02,144.242,
2014-03,146.793,
2014-04,154.335,
2014-05,151.297,
2014-06,151.878,
2014-07,152.103,
2014-08,151.779,
2014-09,161.161,
2014-10,160.525,
2014-11,160.864,
2014-12,165.314,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
