"",BBEX3.M.SCR.USD.CA.AA.A01,BBEX3.M.SCR.USD.CA.AA.A01_FLAGS
1989-07,5.6100,
1989-08,5.7700,
1989-09,5.6400,
1989-10,5.6300,
1989-11,5.5900,
1989-12,5.4400,
1990-01,5.4200,
1990-02,5.4600,
1990-03,5.5400,
1990-04,5.5300,
1990-05,5.4400,
1990-06,5.4400,
1990-07,5.3035,
1990-08,5.2019,
1990-09,5.1728,
1990-10,5.0262,
1990-11,4.9983,
1990-12,5.0932,
1991-01,5.0209,
1991-02,5.0715,
1991-03,5.3246,
1991-04,5.3961,
1991-05,5.3504,
1991-06,5.4583,
1991-07,5.3972,
1991-08,5.4730,
1991-09,5.2992,
1991-10,5.2892,
1991-11,5.1864,
1991-12,5.0374,
1992-01,5.1445,
1992-02,5.2083,
1992-03,5.2714,
1992-04,5.2485,
1992-05,5.1945,
1992-06,5.0115,
1992-07,4.9962,
1992-08,4.8680,
1992-09,4.9142,
1992-10,5.1194,
1992-11,5.1931,
1992-12,5.2282,
1993-01,5.1858,
1993-02,5.2107,
1993-03,5.1887,
1993-04,5.0686,
1993-05,5.0392,
1993-06,5.1596,
1993-07,5.1684,
1993-08,5.1180,
1993-09,5.0714,
1993-10,5.1751,
1993-11,5.2067,
1993-12,5.2316,
1994-01,5.2083,
1994-02,5.1575,
1994-03,5.1061,
1994-04,5.0869,
1994-05,5.0866,
1994-06,4.9623,
1994-07,4.9442,
1994-08,4.9657,
1994-09,4.9094,
1994-10,4.8265,
1994-11,4.9295,
1994-12,4.9446,
1995-01,4.8830,
1995-02,4.8123,
1995-03,4.6242,
1995-04,4.5572,
1995-05,4.5687,
1995-06,4.6108,
1995-07,4.6297,
1995-08,4.8513,
1995-09,4.7788,
1995-10,4.8064,
1995-11,4.8379,
1995-12,4.8395,
1996-01,4.9500,
1996-02,4.8852,
1996-03,4.9372,
1996-04,4.9541,
1996-05,4.9513,
1996-06,4.9488,
1996-07,4.9443,
1996-08,4.9461,
1996-09,4.9560,
1996-10,4.9614,
1996-11,4.9624,
1996-12,4.9696,
1997-01,4.9669,
1997-02,4.9696,
1997-03,4.9688,
1997-04,4.9696,
1997-05,4.9713,
1997-06,4.9758,
1997-07,5.0408,
1997-08,5.0440,
1997-09,5.0239,
1997-10,4.9813,
1997-11,5.0242,
1997-12,5.0993,
1998-01,5.1666,
1998-02,5.1224,
1998-03,5.1354,
1998-04,5.1005,
1998-05,5.1483,
1998-06,5.2252,
1998-07,5.2411,
1998-08,5.2353,
1998-09,5.2992,
1998-10,5.3830,
1998-11,5.5029,
1998-12,5.4248,
1999-01,5.4233,
1999-02,5.2750,
1999-03,5.3032,
1999-04,5.2938,
1999-05,5.3594,
1999-06,5.3566,
1999-07,5.2763,
1999-08,5.3159,
1999-09,5.2518,
1999-10,5.2634,
1999-11,5.3449,
1999-12,5.3407,
2000-01,5.4161,
2000-02,5.4632,
2000-03,5.4974,
2000-04,5.6055,
2000-05,5.6524,
2000-06,5.5781,
2000-07,5.6580,
2000-08,5.7334,
2000-09,5.7828,
2000-10,5.8961,
2000-11,6.1371,
2000-12,6.2375,
2001-01,6.4007,
2001-02,6.4402,
2001-03,6.3779,
2001-04,5.8484,
2001-05,5.6151,
2001-06,5.5932,
2001-07,5.5651,
2001-08,5.4353,
2001-09,5.4604,
2001-10,5.5418,
2001-11,5.6354,
2001-12,5.7234,
2002-01,5.7711,
2002-02,5.7730,
2002-03,5.7508,
2002-04,5.6057,
2002-05,5.4737,
2002-06,5.3157,
2002-07,5.2817,
2002-08,5.3213,
2002-09,5.3447,
2002-10,5.3055,
2002-11,5.2568,
2002-12,5.0562,
2003-01,4.9304,
2003-02,5.0552,
2003-03,5.2655,
2003-04,5.4241,
2003-05,5.4889,
2003-06,5.5582,
2003-07,5.5046,
2003-08,5.6005,
2003-09,5.4725,
2003-10,5.4725,
2003-11,5.4725,
2003-12,5.4725,
2004-01,5.4725,
2004-02,5.4725,
2004-03,5.4725,
2004-04,5.4725,
2004-05,5.4725,
2004-06,5.4725,
2004-07,5.4725,
2004-08,5.4725,
2004-09,5.4725,
2004-10,5.4725,
2004-11,5.4725,
2004-12,5.4725,
2005-01,5.4725,
2005-02,5.4725,
2005-03,5.4725,
2005-04,5.4725,
2005-05,5.4725,
2005-06,5.4725,
2005-07,5.4725,
2005-08,5.4725,
2005-09,5.4725,
2005-10,5.4725,
2005-11,5.4725,
2005-12,5.4725,
2006-01,5.4725,
2006-02,5.4725,
2006-03,5.4725,
2006-04,5.4725,
2006-05,5.4725,
2006-06,5.4725,
2006-07,5.4725,
2006-08,5.4725,
2006-09,5.4725,
2006-10,5.4931,
2006-11,5.5307,
2006-12,5.7666,
2007-01,5.9880,
2007-02,6.0629,
2007-03,6.0697,
2007-04,6.0747,
2007-05,6.1005,
2007-06,6.2724,
2007-07,6.4682,
2007-08,6.7961,
2007-09,7.1519,
2007-10,7.9534,
2007-11,7.9531,
2007-12,7.9581,
2008-01,7.9573,comment
2008-02,7.9509,
2008-03,7.9428,
2008-04,7.9323,
2008-05,7.9346,
2008-06,7.9264,
2008-07,7.9330,
2008-08,7.9795,
2008-09,8.1837,
2008-10,8.8314,
2008-11,15.8407,comment
2008-12,15.5751,
2009-01,15.8946,
2009-02,16.2903,
2009-03,15.6167,
2009-04,14.2281,
2009-05,13.7328,
2009-06,13.5976,
2009-07,13.0945,
2009-08,12.5471,
2009-09,9.9466,
2009-10,10.2712,
2009-11,10.7154,
2009-12,10.9710,
2010-01,11.2085,
2010-02,11.5236,
2010-03,11.5815,
2010-04,11.6370,
2010-05,12.0766,
2010-06,12.1135,
2010-07,12.2408,
2010-08,12.2609,
2010-09,12.1377,
2010-10,12.0579,
2010-11,12.0284,
2010-12,11.8399,
2011-01,12.0043,
2011-02,12.0891,
2011-03,11.9200,
2011-04,11.8202,
2011-05,11.8131,
2011-06,11.6827,
2011-07,11.9903,
2011-08,11.9260,
2011-09,12.1377,
2011-10,12.3994,
2011-11,12.9427,
2011-12,13.3384,
2012-01,13.7912,
2012-02,13.8687,
2012-03,13.7914,
2012-04,13.7821,
2012-05,14.1465,
2012-06,14.1396,
2012-07,13.7064,
2012-08,12.7401,
2012-09,12.6751,
2012-10,12.6971,
2012-11,12.8489,
2012-12,12.8494,
2013-01,12.5323,
2013-02,11.9359,
2013-03,11.4245,
2013-04,11.5291,
2013-05,11.6506,
2013-06,11.7664,
2013-07,11.8359,
2013-08,11.6721,
2013-09,11.8296,
2013-10,11.8351,
2013-11,11.7878,
2013-12,11.8046,
2014-01,11.8728,
2014-02,11.9076,
2014-03,11.8904,
2014-04,12.0847,
2014-05,12.0304,
2014-06,11.7900,
2014-07,12.1573,
2014-08,12.7873,
2014-09,13.2463,
2014-10,13.7857,
2014-11,13.9778,
2014-12,13.7936,
2015-01,13.7086,
"","Source: Central Bank of Seychelles, Victoria",
"","Comment on 1981-03: On 16 March 1981, the Seychelles rupee was revalued by 15% against the special drawing right.",
"","Comment on 2008-01: On 1 November 2008, the currency ceased to be pegged to a currency basket and the exchange rate for the Seychelles rupee was allowed to float freely.",
