"",BBK01.ST0334,BBK01.ST0334_FLAGS
1999-06-06,.,No value available
1999-06-07,2.754,
1999-06-08,2.743,
1999-06-09,2.743,
1999-06-10,2.749,
1999-06-11,2.779,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,2.781,
1999-06-15,2.783,
1999-06-16,2.784,
1999-06-17,2.781,
1999-06-18,2.775,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,2.774,
1999-06-22,2.789,
1999-06-23,2.800,
1999-06-24,2.811,
1999-06-25,2.841,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,2.847,
1999-06-29,2.851,
1999-06-30,2.859,
1999-07-01,2.845,
1999-07-02,2.886,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,2.885,
1999-07-06,2.898,
1999-07-07,2.900,
1999-07-08,2.905,
1999-07-09,2.907,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,2.908,
1999-07-13,2.908,
1999-07-14,2.903,
1999-07-15,2.896,
1999-07-16,2.974,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,2.993,
1999-07-20,2.999,
1999-07-21,2.989,
1999-07-22,2.970,
1999-07-23,2.994,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,3.002,
1999-07-27,3.001,
1999-07-28,3.001,
1999-07-29,3.010,
1999-07-30,3.034,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,3.092,
1999-08-03,3.124,
1999-08-04,3.120,
1999-08-05,3.121,
1999-08-06,3.126,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,3.155,
1999-08-10,3.169,
1999-08-11,3.162,
1999-08-12,3.151,
1999-08-13,3.152,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,3.146,
1999-08-17,3.146,
1999-08-18,3.115,
1999-08-19,3.105,
1999-08-20,3.108,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,3.102,
1999-08-24,3.105,
1999-08-25,3.107,
1999-08-26,3.105,
1999-08-27,3.134,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,3.149,
1999-08-31,3.171,
1999-09-01,3.178,
1999-09-02,3.183,
1999-09-03,3.184,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,3.163,
1999-09-07,3.164,
1999-09-08,3.183,
1999-09-09,3.187,
1999-09-10,3.194,
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,3.202,
1999-09-14,3.207,
1999-09-15,3.213,
1999-09-16,3.207,
1999-09-17,3.201,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,3.194,
1999-09-21,3.200,
1999-09-22,3.201,
1999-09-23,3.206,
1999-09-24,3.188,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,3.178,
1999-09-28,3.194,
1999-09-29,3.206,
1999-09-30,3.212,
1999-10-01,3.276,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,3.396,
1999-10-05,3.424,
1999-10-06,3.472,
1999-10-07,3.481,
1999-10-08,3.445,
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,3.462,
1999-10-12,3.491,
1999-10-13,3.549,
1999-10-14,3.575,
1999-10-15,3.632,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,3.615,
1999-10-19,3.614,
1999-10-20,3.631,
1999-10-21,3.643,
1999-10-22,3.628,
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,3.621,
1999-10-26,3.656,
1999-10-27,3.663,
1999-10-28,3.647,
1999-10-29,3.630,
1999-10-30,.,No value available
1999-10-31,.,No value available
1999-11-01,3.641,
1999-11-02,3.665,
1999-11-03,3.663,
1999-11-04,3.654,
1999-11-05,3.624,
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,3.579,
1999-11-09,3.524,
1999-11-10,3.526,
1999-11-11,3.535,
1999-11-12,3.522,
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,3.513,
1999-11-16,3.512,
1999-11-17,3.513,
1999-11-18,3.536,
1999-11-19,3.543,
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,3.559,
1999-11-23,3.583,
1999-11-24,3.584,
1999-11-25,3.584,
1999-11-26,3.620,
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,3.614,
1999-11-30,3.615,
1999-12-01,3.601,
1999-12-02,3.604,
1999-12-03,3.608,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,3.607,
1999-12-07,3.605,
1999-12-08,3.602,
1999-12-09,3.602,
1999-12-10,3.600,
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,3.599,
1999-12-14,3.607,
1999-12-15,3.634,
1999-12-16,3.653,
1999-12-17,3.705,
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,3.710,
1999-12-21,3.719,
1999-12-22,3.718,
1999-12-23,3.712,
1999-12-24,3.714,
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,3.717,
1999-12-28,3.719,
1999-12-29,3.692,
1999-12-30,3.695,
1999-12-31,.,No value available
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,3.697,
2000-01-04,3.740,
2000-01-05,3.749,
2000-01-06,3.752,
2000-01-07,3.747,
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,3.729,
2000-01-11,3.728,
2000-01-12,3.747,
2000-01-13,3.748,
2000-01-14,3.742,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,3.731,
2000-01-18,3.732,
2000-01-19,3.739,
2000-01-20,3.738,
2000-01-21,3.732,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,3.740,
2000-01-25,3.740,
2000-01-26,3.753,
2000-01-27,3.826,
2000-01-28,3.881,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,3.879,
2000-02-01,3.896,
2000-02-02,3.896,
2000-02-03,3.898,
2000-02-04,3.890,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,3.893,
2000-02-08,3.899,
2000-02-09,3.895,
2000-02-10,3.895,
2000-02-11,3.896,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,3.895,
2000-02-15,3.893,
2000-02-16,3.897,
2000-02-17,3.903,
2000-02-18,3.951,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,4.013,
2000-02-22,4.018,
2000-02-23,4.010,
2000-02-24,4.004,
2000-02-25,3.948,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,3.992,
2000-02-29,3.999,
2000-03-01,4.004,
2000-03-02,4.021,
2000-03-03,4.020,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,4.038,
2000-03-07,4.043,
2000-03-08,4.070,
2000-03-09,4.098,
2000-03-10,4.092,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,4.146,
2000-03-14,4.149,
2000-03-15,4.158,
2000-03-16,4.166,
2000-03-17,4.133,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,4.123,
2000-03-21,4.105,
2000-03-22,4.106,
2000-03-23,4.104,
2000-03-24,4.104,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,4.147,
2000-03-28,4.150,
2000-03-29,4.151,
2000-03-30,4.204,
2000-03-31,4.189,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,4.189,
2000-04-04,4.185,
2000-04-05,4.180,
2000-04-06,4.160,
2000-04-07,4.188,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,4.200,
2000-04-11,4.214,
2000-04-12,4.232,
2000-04-13,4.245,
2000-04-14,4.233,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,4.226,
2000-04-18,4.244,
2000-04-19,4.256,
2000-04-20,4.274,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,4.331,
2000-04-26,4.387,
2000-04-27,4.359,
2000-04-28,4.438,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,4.446,
2000-05-03,4.526,
2000-05-04,4.606,
2000-05-05,4.662,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,4.641,
2000-05-09,4.632,
2000-05-10,4.598,
2000-05-11,4.592,
2000-05-12,4.702,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,4.705,
2000-05-16,4.705,
2000-05-17,4.800,
2000-05-18,4.837,
2000-05-19,4.831,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,4.879,
2000-05-23,4.865,
2000-05-24,4.826,
2000-05-25,4.810,
2000-05-26,4.779,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,4.775,
2000-05-30,4.775,
2000-05-31,4.852,
2000-06-01,4.863,
2000-06-02,4.841,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,4.773,
2000-06-06,4.771,
2000-06-07,4.745,
2000-06-08,4.742,
2000-06-09,4.923,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,4.901,
2000-06-13,4.893,
2000-06-14,4.860,
2000-06-15,4.831,
2000-06-16,4.796,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,4.786,
2000-06-20,4.810,
2000-06-21,4.847,
2000-06-22,4.858,
2000-06-23,4.877,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,4.902,
2000-06-27,4.901,
2000-06-28,4.888,
2000-06-29,4.907,
2000-06-30,4.901,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,4.903,
2000-07-04,4.905,
2000-07-05,4.906,
2000-07-06,4.886,
2000-07-07,4.901,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,4.897,
2000-07-11,4.903,
2000-07-12,4.915,
2000-07-13,4.954,
2000-07-14,4.971,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,4.995,
2000-07-18,4.994,
2000-07-19,5.061,
2000-07-20,5.063,
2000-07-21,5.020,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,5.032,
2000-07-25,5.034,
2000-07-26,5.033,
2000-07-27,5.037,
2000-07-28,5.059,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,5.063,
2000-08-01,5.054,
2000-08-02,5.050,
2000-08-03,5.053,
2000-08-04,5.050,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,5.029,
2000-08-08,5.015,
2000-08-09,5.026,
2000-08-10,5.032,
2000-08-11,5.080,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,5.143,
2000-08-15,5.145,
2000-08-16,5.174,
2000-08-17,5.189,
2000-08-18,5.177,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,5.206,
2000-08-22,5.221,
2000-08-23,5.216,
2000-08-24,5.200,
2000-08-25,5.223,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,5.242,
2000-08-29,5.241,
2000-08-30,5.220,
2000-08-31,5.209,
2000-09-01,5.166,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,5.118,
2000-09-05,5.134,
2000-09-06,5.169,
2000-09-07,5.224,
2000-09-08,5.197,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,5.203,
2000-09-12,5.196,
2000-09-13,5.170,
2000-09-14,5.154,
2000-09-15,5.113,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,5.117,
2000-09-19,5.096,
2000-09-20,5.089,
2000-09-21,5.080,
2000-09-22,5.054,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,5.067,
2000-09-26,5.120,
2000-09-27,5.116,
2000-09-28,5.135,
2000-09-29,5.133,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,5.112,
2000-10-03,5.101,
2000-10-04,5.098,
2000-10-05,5.115,
2000-10-06,5.155,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,5.154,
2000-10-10,5.147,
2000-10-11,5.133,
2000-10-12,5.129,
2000-10-13,5.102,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,5.142,
2000-10-17,5.149,
2000-10-18,5.137,
2000-10-19,5.158,
2000-10-20,5.173,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,5.180,
2000-10-24,5.223,
2000-10-25,5.228,
2000-10-26,5.251,
2000-10-27,5.246,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,5.247,
2000-10-31,5.249,
2000-11-01,5.235,
2000-11-02,5.218,
2000-11-03,5.213,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,5.211,
2000-11-07,5.209,
2000-11-08,5.215,
2000-11-09,5.214,
2000-11-10,5.189,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,5.172,
2000-11-14,5.155,
2000-11-15,5.147,
2000-11-16,5.138,
2000-11-17,5.120,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,5.121,
2000-11-21,5.129,
2000-11-22,5.134,
2000-11-23,5.134,
2000-11-24,5.135,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,5.140,
2000-11-28,5.136,
2000-11-29,5.113,
2000-11-30,5.079,
2000-12-01,5.038,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,5.027,
2000-12-05,5.017,
2000-12-06,4.937,
2000-12-07,4.916,
2000-12-08,4.919,
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,4.947,
2000-12-12,4.953,
2000-12-13,4.948,
2000-12-14,4.905,
2000-12-15,4.896,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,4.879,
2000-12-19,4.862,
2000-12-20,4.834,
2000-12-21,4.805,
2000-12-22,4.798,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,4.792,
2000-12-28,4.787,
2000-12-29,4.783,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,4.722,
2001-01-03,4.654,
2001-01-04,4.564,
2001-01-05,4.501,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,4.488,
2001-01-09,4.530,
2001-01-10,4.609,
2001-01-11,4.632,
2001-01-12,4.630,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,4.667,
2001-01-16,4.623,
2001-01-17,4.633,
2001-01-18,4.594,
2001-01-19,4.569,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,4.571,
2001-01-23,4.570,
2001-01-24,4.609,
2001-01-25,4.635,
2001-01-26,4.639,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,4.639,
2001-01-30,4.629,
2001-01-31,4.559,
2001-02-01,4.528,
2001-02-02,4.569,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,4.568,
2001-02-06,4.567,
2001-02-07,4.576,
2001-02-08,4.575,
2001-02-09,4.611,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,4.584,
2001-02-13,4.583,
2001-02-14,4.595,
2001-02-15,4.619,
2001-02-16,4.629,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,4.624,
2001-02-20,4.635,
2001-02-21,4.654,
2001-02-22,4.689,
2001-02-23,4.694,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,4.660,
2001-02-27,4.635,
2001-02-28,4.549,
2001-03-01,4.541,
2001-03-02,4.573,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,4.591,
2001-03-06,4.613,
2001-03-07,4.591,
2001-03-08,4.579,
2001-03-09,4.576,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,4.585,
2001-03-13,4.571,
2001-03-14,4.583,
2001-03-15,4.526,
2001-03-16,4.516,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,4.511,
2001-03-20,4.508,
2001-03-21,4.470,
2001-03-22,4.384,
2001-03-23,4.340,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,4.339,
2001-03-27,4.328,
2001-03-28,4.348,
2001-03-29,4.336,
2001-03-30,4.351,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,4.349,
2001-04-03,4.375,
2001-04-04,4.332,
2001-04-05,4.366,
2001-04-06,4.377,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,4.329,
2001-04-10,4.319,
2001-04-11,4.362,
2001-04-12,4.549,
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,4.592,
2001-04-18,4.637,
2001-04-19,4.499,
2001-04-20,4.603,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,4.596,
2001-04-24,4.665,
2001-04-25,4.662,
2001-04-26,4.649,
2001-04-27,4.605,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,4.711,
2001-05-01,.,No value available
2001-05-02,4.742,
2001-05-03,4.745,
2001-05-04,4.709,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,4.691,
2001-05-08,4.667,
2001-05-09,4.661,
2001-05-10,4.613,
2001-05-11,4.417,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,4.468,
2001-05-15,4.455,
2001-05-16,4.438,
2001-05-17,4.453,
2001-05-18,4.448,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,4.490,
2001-05-22,4.460,
2001-05-23,4.501,
2001-05-24,4.486,
2001-05-25,4.481,
2001-05-26,.,No value available
2001-05-27,.,No value available
2001-05-28,4.478,
2001-05-29,4.461,
2001-05-30,4.446,
2001-05-31,4.435,
2001-06-01,4.403,
2001-06-02,.,No value available
2001-06-03,.,No value available
2001-06-04,4.366,
2001-06-05,4.359,
2001-06-06,4.314,
2001-06-07,4.313,
2001-06-08,4.334,
2001-06-09,.,No value available
2001-06-10,.,No value available
2001-06-11,4.323,
2001-06-12,4.326,
2001-06-13,4.388,
2001-06-14,4.383,
2001-06-15,4.355,
2001-06-16,.,No value available
2001-06-17,.,No value available
2001-06-18,4.346,
2001-06-19,4.339,
2001-06-20,4.316,
2001-06-21,4.287,
2001-06-22,4.280,
2001-06-23,.,No value available
2001-06-24,.,No value available
2001-06-25,4.260,
2001-06-26,4.256,
2001-06-27,4.283,
2001-06-28,4.263,
2001-06-29,4.335,
2001-06-30,.,No value available
2001-07-01,.,No value available
2001-07-02,4.321,
2001-07-03,4.295,
2001-07-04,4.376,
2001-07-05,4.358,
2001-07-06,4.388,
2001-07-07,.,No value available
2001-07-08,.,No value available
2001-07-09,4.367,
2001-07-10,4.384,
2001-07-11,4.350,
2001-07-12,4.359,
2001-07-13,4.349,
2001-07-14,.,No value available
2001-07-15,.,No value available
2001-07-16,4.352,
2001-07-17,4.344,
2001-07-18,4.343,
2001-07-19,4.306,
2001-07-20,4.333,
2001-07-21,.,No value available
2001-07-22,.,No value available
2001-07-23,4.321,
2001-07-24,4.311,
2001-07-25,4.321,
2001-07-26,4.322,
2001-07-27,4.299,
2001-07-28,.,No value available
2001-07-29,.,No value available
2001-07-30,4.276,
2001-07-31,4.263,
2001-08-01,4.250,
2001-08-02,4.237,
2001-08-03,4.261,
2001-08-04,.,No value available
2001-08-05,.,No value available
2001-08-06,4.225,
2001-08-07,4.220,
2001-08-08,4.238,
2001-08-09,4.192,
2001-08-10,4.159,
2001-08-11,.,No value available
2001-08-12,.,No value available
2001-08-13,4.131,
2001-08-14,4.139,
2001-08-15,4.127,
2001-08-16,4.113,
2001-08-17,4.114,
2001-08-18,.,No value available
2001-08-19,.,No value available
2001-08-20,4.083,
2001-08-21,4.081,
2001-08-22,4.078,
2001-08-23,4.100,
2001-08-24,4.116,
2001-08-25,.,No value available
2001-08-26,.,No value available
2001-08-27,4.129,
2001-08-28,4.107,
2001-08-29,4.062,
2001-08-30,4.075,
2001-08-31,4.019,
2001-09-01,.,No value available
2001-09-02,.,No value available
2001-09-03,4.022,
2001-09-04,4.047,
2001-09-05,4.113,
2001-09-06,4.117,
2001-09-07,4.058,
2001-09-08,.,No value available
2001-09-09,.,No value available
2001-09-10,4.004,
2001-09-11,4.030,
2001-09-12,3.933,
2001-09-13,3.928,
2001-09-14,3.869,
2001-09-15,.,No value available
2001-09-16,.,No value available
2001-09-17,3.850,
2001-09-18,3.639,
2001-09-19,3.634,
2001-09-20,3.579,
2001-09-21,3.565,
2001-09-22,.,No value available
2001-09-23,.,No value available
2001-09-24,3.556,
2001-09-25,3.529,
2001-09-26,3.519,
2001-09-27,3.505,
2001-09-28,3.505,
2001-09-29,.,No value available
2001-09-30,.,No value available
2001-10-01,3.504,
2001-10-02,3.485,
2001-10-03,3.421,
2001-10-04,3.405,
2001-10-05,3.365,
2001-10-06,.,No value available
2001-10-07,.,No value available
2001-10-08,3.365,
2001-10-09,3.391,
2001-10-10,3.429,
2001-10-11,3.435,
2001-10-12,3.477,
2001-10-13,.,No value available
2001-10-14,.,No value available
2001-10-15,3.444,
2001-10-16,3.419,
2001-10-17,3.425,
2001-10-18,3.417,
2001-10-19,3.373,
2001-10-20,.,No value available
2001-10-21,.,No value available
2001-10-22,3.357,
2001-10-23,3.361,
2001-10-24,3.364,
2001-10-25,3.349,
2001-10-26,3.350,
2001-10-27,.,No value available
2001-10-28,.,No value available
2001-10-29,3.318,
2001-10-30,3.266,
2001-10-31,3.241,
2001-11-01,3.239,
2001-11-02,3.225,
2001-11-03,.,No value available
2001-11-04,.,No value available
2001-11-05,3.211,
2001-11-06,3.155,
2001-11-07,3.091,
2001-11-08,3.037,
2001-11-09,3.057,
2001-11-10,.,No value available
2001-11-11,.,No value available
2001-11-12,3.089,
2001-11-13,3.097,
2001-11-14,3.122,
2001-11-15,3.213,
2001-11-16,3.305,
2001-11-17,.,No value available
2001-11-18,.,No value available
2001-11-19,3.284,
2001-11-20,3.222,
2001-11-21,3.248,
2001-11-22,3.300,
2001-11-23,3.281,
2001-11-24,.,No value available
2001-11-25,.,No value available
2001-11-26,3.265,
2001-11-27,3.273,
2001-11-28,3.266,
2001-11-29,3.237,
2001-11-30,3.200,
2001-12-01,.,No value available
2001-12-02,.,No value available
2001-12-03,3.170,
2001-12-04,3.173,
2001-12-05,3.175,
2001-12-06,3.288,
2001-12-07,3.312,
2001-12-08,.,No value available
2001-12-09,.,No value available
2001-12-10,3.287,
2001-12-11,3.242,
2001-12-12,3.237,
2001-12-13,3.196,
2001-12-14,3.237,
2001-12-15,.,No value available
2001-12-16,.,No value available
2001-12-17,3.265,
2001-12-18,3.276,
2001-12-19,3.255,
2001-12-20,3.254,
2001-12-21,3.244,
2001-12-22,.,No value available
2001-12-23,.,No value available
2001-12-24,3.257,
2001-12-25,.,No value available
2001-12-26,.,No value available
2001-12-27,3.275,
2001-12-28,3.264,
2001-12-29,.,No value available
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,3.233,
2002-01-03,3.251,
2002-01-04,3.285,
2002-01-05,.,No value available
2002-01-06,.,No value available
2002-01-07,3.326,
2002-01-08,3.302,
2002-01-09,3.339,
2002-01-10,3.361,
2002-01-11,3.407,
2002-01-12,.,No value available
2002-01-13,.,No value available
2002-01-14,3.346,
2002-01-15,3.360,
2002-01-16,3.369,
2002-01-17,3.387,
2002-01-18,3.389,
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,3.400,
2002-01-22,3.419,
2002-01-23,3.453,
2002-01-24,3.459,
2002-01-25,3.497,
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,3.515,
2002-01-29,3.489,
2002-01-30,3.453,
