"",BBSF2.M.1.S.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1992-12,84735,
1993-01,87070,
1993-02,92734,
1993-03,94823,
1993-04,95821,
1993-05,97524,
1993-06,99849,
1993-07,103902,
1993-08,108579,
1993-09,109411,
1993-10,114356,
1993-11,115631,
1993-12,120173,
1994-01,122543,
1994-02,121983,
1994-03,122637,
1994-04,127283,
1994-05,126326,
1994-06,126599,
1994-07,130541,
1994-08,132021,
1994-09,128766,
1994-10,131002,
1994-11,131552,
1994-12,131417,
1995-01,132578,
1995-02,135315,
1995-03,135858,
1995-04,139220,
1995-05,142997,
1995-06,142936,
1995-07,147195,
1995-08,149492,
1995-09,150834,
1995-10,151275,
1995-11,155672,
1995-12,158899,
1996-01,166838,
1996-02,168993,
1996-03,172295,
1996-04,176629,
1996-05,179188,
1996-06,181309,
1996-07,181925,
1996-08,185970,
1996-09,190221,
1996-10,194379,
1996-11,200639,
1996-12,203246,
1997-01,212970,
1997-02,222915,
1997-03,228040,
1997-04,233022,
1997-05,238385,
1997-06,252139,
1997-07,268567,
1997-08,262692,
1997-09,271805,
1997-10,266672,
1997-11,272341,
1997-12,283829,
1998-01,298009,
1998-02,310424,
1998-03,325574,
1998-04,327546,
1998-05,341119,
1998-06,350460,
1998-07,358851,
1998-08,345183,
1998-09,340180,
1998-10,348446,
1998-11,366171,
1998-12,372329,
1999-01,385512,
1999-02,384836,
1999-03,390791,
1999-04,410494,
1999-05,408079,
1999-06,416384,
1999-07,412102,
1999-08,420337,
1999-09,415456,
1999-10,427368,
1999-11,447110,
1999-12,478129,
2000-01,476868,
2000-02,495745,
2000-03,504582,
2000-04,508619,
2000-05,506021,
2000-06,503720,
2000-07,511164,
2000-08,523329,
2000-09,517667,
2000-10,524785,
2000-11,512117,
2000-12,514226,
2001-01,525525,
2001-02,509158,
2001-03,502211,
2001-04,514883,
2001-05,514635,
2001-06,508859,
2001-07,506376,
2001-08,496211,
2001-09,475440,
2001-10,492219,
2001-11,501095,
2001-12,506912,
2002-01,506410,
2002-02,506562,
2002-03,510342,
2002-04,508592,
2002-05,505093,
2002-06,490894,
2002-07,480341,
2002-08,486190,
2002-09,475079,
2002-10,487246,
2002-11,496414,
2002-12,482331,
2003-01,484233,
2003-02,483262,
2003-03,482488,
2003-04,495005,
2003-05,504400,
2003-06,511258,
2003-07,512927,
2003-08,517907,
2003-09,519407,
2003-10,523356,
2003-11,524029,
2003-12,527845,
2004-01,534998,
2004-02,540318,
2004-03,541032,
2004-04,540844,
2004-05,535337,
2004-06,539056,
2004-07,536546,
2004-08,539775,
2004-09,541128,
2004-10,545021,
2004-11,550972,
2004-12,551693,
2005-01,560904,
2005-02,565300,
2005-03,567095,
2005-04,568420,
2005-05,580342,
2005-06,593278,
2005-07,602099,
2005-08,605661,
2005-09,614875,
2005-10,608210,
2005-11,616020,
2005-12,623648,
2006-01,631849,
2006-02,638920,
2006-03,641030,
2006-04,642135,
2006-05,636199,
2006-06,636502,
2006-07,643559,
2006-08,652351,
2006-09,663830,
2006-10,670004,
2006-11,672982,
2006-12,672833,
2007-01,679234,
2007-02,682784,
2007-03,686386,
2007-04,696729,
2007-05,699662,
2007-06,698270,
2007-07,697075,
2007-08,696686,
2007-09,698759,
2007-10,711348,
2007-11,698330,
2007-12,693866,
2008-01,678248,
2008-02,678893,
2008-03,670124,
2008-04,678891,
2008-05,681308,
2008-06,661798,
2008-07,665465,
2008-08,674222,
2008-09,659440,
2008-10,636124,
2008-11,644643,
2008-12,636967,
2009-01,637666,
2009-02,628716,
2009-03,633294,
2009-04,647532,
2009-05,651205,
2009-06,653830,
2009-07,672636,
2009-08,682437,
2009-09,697429,
2009-10,699493,
2009-11,707264,
2009-12,715704,
2010-01,722513,
2010-02,728786,
2010-03,743229,
2010-04,748576,
2010-05,749236,
2010-06,750908,
2010-07,761803,
2010-08,782251,
2010-09,788596,
2010-10,796941,
2010-11,793034,
2010-12,797385,
2011-01,798338,
2011-02,808502,
2011-03,804592,
2011-04,809816,
2011-05,813458,
2011-06,810179,
2011-07,816939,
2011-08,806603,
2011-09,800261,
2011-10,813961,
2011-11,806137,
2011-12,823800,
2012-01,839692,
2012-02,864703,
2012-03,870496,
2012-04,873824,
2012-05,876688,
2012-06,885021,
2012-07,917930,
2012-08,929307,
2012-09,936573,
2012-10,946673,
2012-11,957995,
2012-12,974708,
2013-01,979260,
2013-02,989470,
2013-03,1004470,
2013-04,1024621,
2013-05,1022140,
2013-06,1000715,
2013-07,1021481,
2013-08,1016408,
2013-09,1031054,
2013-10,1049288,
2013-11,1059885,
2013-12,1058036,
2014-01,1065499,
2014-02,1083556,
2014-03,1097287,
2014-04,1106756,
2014-05,1128339,
2014-06,1138011,
2014-07,1150265,
2014-08,1173297,
2014-09,1175691,
2014-10,1186314,
2014-11,1208581,
