"",BBFB1.M.N.DE.W1.S1ZL.S1.T.LD.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1ZL.S1.T.LD.FA.P.F3.S._T._X.N_FLAGS
2001-02,24636.732,
2001-03,23521.068,
2001-04,20970.840,
2001-05,21540.423,
2001-06,24246.620,
2001-07,17645.781,
2001-08,18339.793,
2001-09,18264.008,
2001-10,18455.407,
2001-11,23340.019,
2001-12,19414.574,
2002-01,20322.515,
2002-02,20503.798,
2002-03,19097.297,
2002-04,18684.853,
2002-05,21219.164,
2002-06,22835.700,
2002-07,23487.896,
2002-08,21527.294,
2002-09,22369.246,
2002-10,28067.272,
2002-11,28733.830,
2002-12,26973.308,
2003-01,35266.847,
2003-02,30009.013,
2003-03,29201.484,
2003-04,35044.004,
2003-05,35368.916,
2003-06,31162.429,
2003-07,34983.361,
2003-08,40138.352,
2003-09,26987.573,
2003-10,29172.822,
2003-11,32793.356,
2003-12,28790.706,
2004-01,32059.126,
2004-02,32464.026,
2004-03,25829.980,
2004-04,26100.476,
2004-05,31180.765,
2004-06,30486.436,
2004-07,34032.936,
2004-08,31702.263,
2004-09,26146.966,
2004-10,30595.262,
2004-11,34356.604,
2004-12,28806.800,
2005-01,31101.737,
2005-02,25702.921,
2005-03,31777.254,
2005-04,27719.287,
2005-05,32711.904,
2005-06,45364.909,
2005-07,39943.507,
2005-08,37788.636,
2005-09,31808.735,
2005-10,25017.927,
2005-11,33009.863,
2005-12,28374.801,
2006-01,27537.168,
2006-02,27566.003,
2006-03,25611.224,
2006-04,26928.331,
2006-05,29191.887,
2006-06,55008.113,
2006-07,31563.648,
2006-08,43002.097,
2006-09,37644.939,
2006-10,26290.826,
2006-11,26570.657,
2006-12,48232.413,
2007-01,22602.738,
2007-02,28191.123,
2007-03,31896.876,
2007-04,28452.300,
2007-05,30295.700,
2007-06,42346.303,
2007-07,34424.810,
2007-08,37214.807,
2007-09,38325.930,
2007-10,43580.193,
2007-11,35839.781,
2007-12,34618.584,
2008-01,42969.202,
2008-02,47258.483,
2008-03,45470.611,
2008-04,52822.343,
2008-05,55874.720,
2008-06,55703.922,
2008-07,57256.681,
2008-08,42369.012,
2008-09,57468.627,
2008-10,74391.666,
2008-11,50423.072,
2008-12,52590.187,
2009-01,57665.671,
2009-02,48950.845,
2009-03,42488.965,
2009-04,40384.253,
2009-05,34287.591,
2009-06,39273.343,
2009-07,36724.292,
2009-08,91020.627,
2009-09,64315.107,
2009-10,36732.805,
2009-11,82301.624,
2009-12,59928.459,
2010-01,34581.322,
2010-02,35524.476,
2010-03,48490.935,
2010-04,33010.435,
2010-05,39573.036,
2010-06,106650.683,
2010-07,38469.084,
2010-08,47462.657,
2010-09,61008.998,
2010-10,30825.317,
2010-11,36599.679,
2010-12,46457.858,
2011-01,33285.603,
2011-02,29569.171,
2011-03,41490.251,
2011-04,32288.804,
2011-05,41845.045,
2011-06,59417.967,
2011-07,30650.829,
2011-08,49754.117,
2011-09,54871.675,
2011-10,40650.500,
2011-11,57890.379,
2011-12,51086.823,
2012-01,43660.682,
2012-02,41833.453,
2012-03,42566.088,
2012-04,38103.980,
2012-05,37910.158,
2012-06,47138.056,
2012-07,55729.869,
2012-08,50374.914,
2012-09,46797.200,
2012-10,52432.560,
2012-11,52731.147,
2012-12,51275.325,
2013-01,54830.167,
2013-02,55896.514,
2013-03,56360.177,
2013-04,72184.144,
2013-05,62061.551,
2013-06,68799.539,
2013-07,80035.661,
2013-08,64235.035,
2013-09,55147.917,
2013-10,70631.692,
2013-11,78668.444,
2013-12,80294.178,
2014-01,54131.483,
2014-02,61976.460,Provisional value
2014-03,64961.031,Provisional value
2014-04,57411.959,Provisional value
2014-05,57913.462,Provisional value
2014-06,53072.492,Provisional value
2014-07,53255.171,Provisional value
2014-08,62258.619,Provisional value
2014-09,55671.458,
2014-10,30058.342,
2014-11,60160.978,
2014-12,65649.550,Provisional value
