"",BBFN1.M.DE.N.1.L.AU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1991-01,0.288,
1991-02,0.315,
1991-03,0.318,
1991-04,0.244,
1991-05,0.248,
1991-06,0.250,
1991-07,0.219,
1991-08,0.223,
1991-09,0.220,
1991-10,0.245,
1991-11,0.244,
1991-12,0.245,
1992-01,0.250,
1992-02,0.262,
1992-03,0.274,
1992-04,0.278,
1992-05,0.285,
1992-06,0.302,
1992-07,0.299,
1992-08,0.304,
1992-09,0.306,
1992-10,0.322,
1992-11,0.324,
1992-12,0.316,
1993-01,0.309,
1993-02,0.352,
1993-03,0.357,
1993-04,0.354,
1993-05,0.362,
1993-06,0.443,
1993-07,0.439,
1993-08,0.447,
1993-09,0.492,
1993-10,0.503,
1993-11,0.507,
1993-12,0.461,
1994-01,0.476,
1994-02,0.497,
1994-03,0.511,
1994-04,0.531,
1994-05,0.450,
1994-06,0.450,
1994-07,0.443,
1994-08,0.459,
1994-09,0.456,
1994-10,0.458,
1994-11,0.458,
1994-12,0.467,
1995-01,0.458,
1995-02,0.470,
1995-03,0.515,
1995-04,0.479,
1995-05,0.469,
1995-06,0.464,
1995-07,0.462,
1995-08,0.477,
1995-09,0.491,
1995-10,0.500,
1995-11,0.460,
1995-12,0.483,
1996-01,0.462,
1996-02,0.470,
1996-03,0.491,
1996-04,0.529,
1996-05,0.563,
1996-06,0.515,
1996-07,0.519,
1996-08,0.515,
1996-09,0.555,
1996-10,0.533,
1996-11,0.561,
1996-12,0.561,
1997-01,0.547,
1997-02,0.463,
1997-03,0.458,
1997-04,0.471,
1997-05,0.476,
1997-06,0.431,
1997-07,0.393,
1997-08,0.361,
1997-09,0.352,
1997-10,0.349,
1997-11,0.377,
1997-12,0.370,
1998-01,0.389,
1998-02,0.395,
1998-03,0.359,
1998-04,0.359,
1998-05,0.364,
1998-06,0.379,
1998-07,0.336,
1998-08,0.266,
1998-09,0.260,
1998-10,0.257,
1998-11,0.246,
1998-12,0.254,
1999-01,0.243,
1999-02,0.272,
1999-03,0.233,
1999-04,0.244,
1999-05,0.256,
1999-06,0.265,
1999-07,0.283,
1999-08,0.272,
1999-09,0.286,
1999-10,0.231,
1999-11,0.279,
1999-12,0.236,
2000-01,0.231,
2000-02,0.282,
2000-03,0.276,
2000-04,0.282,
2000-05,0.279,
2000-06,0.246,
2000-07,0.250,
2000-08,0.251,
2000-09,0.212,
2000-10,0.232,
2000-11,0.233,
2000-12,0.323,
2001-01,0.220,
2001-02,0.204,
2001-03,0.183,
2001-04,0.201,
2001-05,0.198,
2001-06,0.270,
2001-07,0.146,
2001-08,0.157,
2001-09,0.203,
2001-10,0.145,
2001-11,0.128,
2001-12,0.174,
2002-01,0.162,
2002-02,0.192,
2002-03,0.227,
2002-04,0.194,
2002-05,0.192,
2002-06,0.252,
2002-07,0.233,
2002-08,0.246,
2002-09,0.784,
2002-10,0.749,
2002-11,0.793,
2002-12,0.740,
2003-01,0.761,
2003-02,0.759,
2003-03,1.041,
2003-04,1.051,
2003-05,1.029,
2003-06,1.155,
2003-07,1.133,
2003-08,1.117,
2003-09,1.315,
2003-10,1.282,
2003-11,1.330,
2003-12,1.326,
2004-01,1.529,
2004-02,1.526,
2004-03,1.845,
2004-04,1.836,
2004-05,1.864,
2004-06,2.336,
2004-07,2.339,
2004-08,2.225,
2004-09,2.263,
2004-10,2.316,
2004-11,2.324,
2004-12,2.290,
2005-01,0.313,
2005-02,0.310,
2005-03,0.150,
2005-04,0.147,
2005-05,0.150,
2005-06,0.170,
2005-07,0.184,
2005-08,0.235,
2005-09,0.191,
2005-10,0.223,
2005-11,0.214,
2005-12,0.469,
2006-01,0.220,
2006-02,0.226,
2006-03,0.219,
2006-04,0.195,
2006-05,0.259,
2006-06,0.276,
2006-07,0.272,
2006-08,0.278,
2006-09,0.286,
2006-10,0.274,
2006-11,0.310,
2006-12,0.306,
2007-01,0.285,
2007-02,0.330,
2007-03,0.517,
2007-04,0.337,
2007-05,0.419,
2007-06,0.325,
2007-07,0.325,
2007-08,0.332,
2007-09,0.397,
2007-10,0.398,
2007-11,0.435,
2007-12,0.379,
2008-01,0.569,
2008-02,0.533,
2008-03,0.488,
2008-04,0.582,
2008-05,0.597,
2008-06,0.636,
2008-07,0.666,
2008-08,0.712,
2008-09,0.776,
2008-10,0.777,
2008-11,0.921,
2008-12,1.030,
2009-01,0.860,
2009-02,0.968,
2009-03,1.364,
2009-04,1.055,
2009-05,1.173,
2009-06,1.117,
2009-07,1.137,
2009-08,1.174,
2009-09,1.032,
2009-10,1.089,
2009-11,1.059,
2009-12,1.042,
2010-01,1.097,
2010-02,1.140,
2010-03,1.093,
2010-04,0.895,
2010-05,1.033,
2010-06,1.159,
2010-07,1.216,
2010-08,1.256,
2010-09,1.352,
2010-10,1.317,
2010-11,1.481,
2010-12,1.469,
2011-01,1.224,
2011-02,1.215,
2011-03,1.049,
2011-04,1.073,
2011-05,1.149,
2011-06,1.573,
2011-07,1.321,
2011-08,1.401,
2011-09,1.512,
2011-10,1.476,
2011-11,1.409,
2011-12,1.487,
2012-01,1.433,
2012-02,1.573,
2012-03,1.615,
2012-04,1.392,
2012-05,1.389,
2012-06,1.566,
2012-07,1.567,
2012-08,1.565,
2012-09,1.524,
2012-10,1.645,
2012-11,1.604,
2012-12,1.708,
2013-01,1.702,
2013-02,1.834,
2013-03,1.637,
2013-04,1.561,
2013-05,1.464,
2013-06,1.598,
2013-07,1.553,
2013-08,1.366,
2013-09,1.573,
2013-10,1.401,
2013-11,1.270,
2013-12,1.306,
2014-01,1.121,
2014-02,1.276,
2014-03,1.305,
2014-04,1.240,
2014-05,1.254,
2014-06,1.385,
2014-07,1.503,
2014-08,1.516,
2014-09,1.539,
2014-10,1.511,
2014-11,1.445,
2014-12,1.513,
