"",BBDE1.M.DE.Y.FGA1.P2XF00000.BA.V.ABA.A,BBDE1.M.DE.Y.FGA1.P2XF00000.BA.V.ABA.A_FLAGS
2007-08,1.54,
2007-09,1.55,
2007-10,1.55,
2007-11,1.56,
2007-12,1.57,
2008-01,1.63,
2008-02,1.66,
2008-03,1.55,
2008-04,1.56,
2008-05,1.55,
2008-06,1.53,
2008-07,1.54,
2008-08,1.52,
2008-09,1.55,
2008-10,1.54,
2008-11,1.57,
2008-12,1.54,
2009-01,1.52,
2009-02,1.54,
2009-03,1.55,
2009-04,1.56,
2009-05,1.55,
2009-06,1.55,
2009-07,1.55,
2009-08,1.55,
2009-09,1.55,
2009-10,1.55,
2009-11,1.57,
2009-12,1.54,
2010-01,1.45,
2010-02,1.42,
2010-03,1.55,
2010-04,1.63,
2010-05,1.61,
2010-06,1.60,
2010-07,1.59,
2010-08,1.58,
2010-09,1.59,
2010-10,1.61,
2010-11,1.61,
2010-12,1.49,
2011-01,1.59,
2011-02,1.64,
2011-03,1.70,
2011-04,1.67,
2011-05,1.70,
2011-06,1.67,
2011-07,1.69,
2011-08,1.68,
2011-09,1.67,
2011-10,1.69,
2011-11,1.70,
2011-12,1.71,
2012-01,1.75,
2012-02,1.62,
2012-03,1.75,
2012-04,1.73,
2012-05,1.71,
2012-06,1.72,
2012-07,1.73,
2012-08,1.73,
2012-09,1.73,
2012-10,1.75,
2012-11,1.74,
2012-12,1.72,
2013-01,1.70,
2013-02,1.69,
2013-03,1.67,
2013-04,1.80,
2013-05,1.80,
2013-06,1.80,
2013-07,1.82,
2013-08,1.81,
2013-09,1.81,
2013-10,1.82,
2013-11,1.82,
2013-12,1.83,
2014-01,1.89,
2014-02,1.92,
2014-03,1.91,
2014-04,1.85,
2014-05,1.83,
2014-06,1.83,
2014-07,1.83,
2014-08,1.84,
2014-09,1.85,
2014-10,1.85,
2014-11,1.87,
2014-12,1.87,
