"",BBFN1.M.DE.N.1.A.DK.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2003-12,0.120,
2004-01,0.691,
2004-02,0.367,
2004-03,0.489,
2004-04,0.233,
2004-05,0.387,
2004-06,0.834,
2004-07,0.361,
2004-08,0.359,
2004-09,0.204,
2004-10,0.840,
2004-11,0.608,
2004-12,0.858,
2005-01,0.552,
2005-02,0.425,
2005-03,0.245,
2005-04,0.204,
2005-05,0.343,
2005-06,0.490,
2005-07,0.625,
2005-08,0.554,
2005-09,0.409,
2005-10,0.516,
2005-11,0.337,
2005-12,0.527,
2006-01,0.487,
2006-02,0.250,
2006-03,0.593,
2006-04,0.235,
2006-05,0.273,
2006-06,0.225,
2006-07,0.334,
2006-08,1.462,
2006-09,0.251,
2006-10,0.535,
2006-11,0.708,
2006-12,0.710,
2007-01,0.328,
2007-02,0.183,
2007-03,0.491,
2007-04,0.494,
2007-05,0.158,
2007-06,0.371,
2007-07,0.227,
2007-08,0.188,
2007-09,0.191,
2007-10,0.582,
2007-11,0.286,
2007-12,0.480,
2008-01,0.531,
2008-02,0.259,
2008-03,0.353,
2008-04,0.070,
2008-05,0.108,
2008-06,0.334,
2008-07,0.121,
2008-08,0.187,
2008-09,0.382,
2008-10,0.367,
2008-11,0.317,
2008-12,0.823,
2009-01,0.340,
2009-02,0.406,
2009-03,0.518,
2009-04,0.459,
2009-05,0.393,
2009-06,0.498,
2009-07,0.486,
2009-08,0.172,
2009-09,1.015,
2009-10,0.915,
2009-11,0.830,
2009-12,0.456,
2010-01,0.242,
2010-02,0.265,
2010-03,0.680,
2010-04,3.216,
2010-05,3.863,
2010-06,2.444,
2010-07,1.340,
2010-08,2.502,
2010-09,1.792,
2010-10,4.133,
2010-11,4.553,
2010-12,1.891,
2011-01,1.416,
2011-02,1.637,
2011-03,1.882,
2011-04,1.813,
2011-05,3.419,
2011-06,3.191,
2011-07,0.895,
2011-08,2.488,
2011-09,2.018,
2011-10,2.661,
2011-11,3.356,
2011-12,1.982,
2012-01,1.905,
2012-02,1.589,
2012-03,2.021,
2012-04,0.869,
2012-05,1.357,
2012-06,5.580,
2012-07,4.396,
2012-08,0.892,
2012-09,3.841,
2012-10,1.980,
2012-11,1.722,
2012-12,1.670,
2013-01,0.818,
2013-02,2.703,
2013-03,2.932,
2013-04,1.191,
2013-05,0.702,
2013-06,0.886,
2013-07,1.190,
2013-08,1.116,
2013-09,1.740,
2013-10,0.684,
2013-11,3.232,
2013-12,4.825,
2014-01,3.166,
2014-02,4.967,
2014-03,8.470,
2014-04,6.295,
2014-05,7.074,
2014-06,9.794,
2014-07,4.447,
2014-08,5.050,
2014-09,7.569,
2014-10,6.791,
2014-11,8.388,
2014-12,6.547,
