"",BBEX3.M.NGN.USD.CA.AA.A01,BBEX3.M.NGN.USD.CA.AA.A01_FLAGS
2002-08,125.0000,
2002-09,125.2500,
2002-10,125.7500,
2002-11,125.9100,
2002-12,125.9000,
2003-01,126.2700,
2003-02,126.0200,
2003-03,126.3700,
2003-04,126.6000,
2003-05,126.8200,
2003-06,126.9200,
2003-07,126.7300,
2003-08,127.3000,
2003-09,127.3600,
2003-10,131.5200,
2003-11,137.2000,
2003-12,136.0000,
2004-01,134.3000,
2004-02,134.0000,
2004-03,132.7000,
2004-04,132.3000,
2004-05,131.7500,
2004-06,131.7500,
2004-07,131.8200,
2004-08,131.8300,
2004-09,131.8700,
2004-10,131.9000,
2004-11,131.8800,
2004-12,131.8500,
2005-01,131.8600,
2005-02,131.8500,
2005-03,131.8500,
2005-04,131.8300,
2005-05,131.8300,
2005-06,131.8700,
2005-07,131.8600,
2005-08,128.5700,
2005-09,128.5000,
2005-10,128.5300,
2005-11,128.0100,
2005-12,128.0000,
2006-01,128.0000,
2006-02,127.0000,
2006-03,126.2500,
2006-04,126.1800,
2006-05,126.1900,
2006-06,126.1700,
2006-07,126.0900,
2006-08,126.0200,
2006-09,126.0000,
2006-10,126.0200,
2006-11,126.0000,
2006-12,126.0000,
2007-01,126.0100,
2007-02,126.0100,
2007-03,125.7900,
2007-04,125.6000,
2007-05,125.2300,
2007-06,125.0500,
2007-07,124.8600,
2007-08,123.9500,
2007-09,123.4000,
2007-10,120.8800,
2007-11,116.6800,
2007-12,115.8000,
2008-01,115.8100,
2008-02,115.7800,
2008-03,115.7300,
2008-04,115.7000,
2008-05,115.6600,
2008-06,115.6300,
2008-07,115.5900,
2008-08,115.5600,
2008-09,115.5600,
2008-10,115.5700,
2008-11,115.6200,
2008-12,130.2500,
2009-01,143.5100,
2009-02,144.8500,
2009-03,144.7000,
2009-04,144.9000,
2009-05,145.7000,
2009-06,145.7500,
2009-07,148.7500,
2009-08,149.9100,
2009-09,146.3200,
2009-10,148.1400,
2009-11,147.3100,
2009-12,147.1000,
2010-01,147.8300,
2010-02,147.6100,
2010-03,147.3000,
2010-04,147.6100,
2010-05,147.7800,
2010-06,147.5000,
2010-07,147.6000,
2010-08,148.2900,
2010-09,148.8500,
2010-10,147.5000,
2010-11,147.7500,
2010-12,148.1700,
2011-01,149.3500,
2011-02,149.4500,
2011-03,150.5200,
2011-04,151.9200,
2011-05,152.5900,
2011-06,150.7900,
2011-07,149.4600,
2011-08,151.4000,
2011-09,153.6000,
2011-10,149.2500,
2011-11,155.3100,
2011-12,155.7000,
2012-01,156.0500,
2012-02,154.9000,
2012-03,155.0100,
2012-04,154.7000,
2012-05,154.7500,
2012-06,154.9400,
2012-07,154.8400,
2012-08,154.8000,
2012-09,154.7800,
2012-10,154.7400,
2012-11,154.7600,
2012-12,154.7700,
2013-01,154.7400,
2013-02,154.7500,
2013-03,154.7500,
2013-04,154.7500,
2013-05,154.7400,
2013-06,154.7500,
2013-07,154.7600,
2013-08,154.7600,
2013-09,154.7500,
2013-10,154.8000,
2013-11,154.7200,
2013-12,154.7000,
2014-01,154.7500,
2014-02,154.7500,
2014-03,154.7400,
2014-04,154.7300,
2014-05,154.7300,
2014-06,154.7300,
2014-07,154.7300,
2014-08,154.7300,
2014-09,154.7500,
2014-10,154.7600,
2014-11,164.0000,
2014-12,167.0000,
2015-01,167.0000,
"","General: * Free market rates until the end of 1998. On 14 January 1995, the introduction of a legal free foreign exchange market was announced. Use of exchange rates: official exchange rate: for certain government transactions. Free market rate: for all other foreign exchange transactions. On 1 January 1999, the multiple exchange rate system was unified onthe basis of the free market rate.",
"","Source: Central Bank of Nigeria, Lagos / Abuja",
"","Comment on 1995-02: On 14 January 1995, the introduction of a legal free foreign exchange market was announced; however, the central bank only began to report exchange rates on 23 February 1995: official exchange rate: USD 1 = NGN 21.7761 / 21.9960, free market rate: USD 1 = NGN 81.1800 / 82.0000.",
