"",BBDA1.M.DE.N.EX.S.A.S1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.S1.A.V.ABA.A_FLAGS
2001-04,5365665,
2001-05,6122873,
2001-06,5491712,
2001-07,6159536,
2001-08,6181483,
2001-09,5219321,
2001-10,6186968,
2001-11,5882526,
2001-12,5506835,
2002-01,5469697,
2002-02,5421237,
2002-03,6008309,
2002-04,6220112,
2002-05,5664692,
2002-06,6262884,
2002-07,6334648,
2002-08,6189014,
2002-09,6348200,
2002-10,6554404,
2002-11,6408186,
2002-12,6033593,
2003-01,6120894,
2003-02,5898044,
2003-03,5791699,
2003-04,6001994,
2003-05,6455759,
2003-06,5967500,
2003-07,7026397,
2003-08,6332154,
2003-09,6794433,
2003-10,6327457,
2003-11,6473559,
2003-12,6430565,
2004-01,6751661,
2004-02,6378348,
2004-03,7550334,
2004-04,6976887,
2004-05,7213746,
2004-06,7282251,
2004-07,7678702,
2004-08,6796936,
2004-09,6887574,
2004-10,6979555,
2004-11,7032795,
2004-12,7260144,
2005-01,7369689,
2005-02,6492485,
2005-03,7195789,
2005-04,7067547,
2005-05,6986940,
2005-06,7555785,
2005-07,7839958,
2005-08,8543023,
2005-09,8224870,
2005-10,7514337,
2005-11,7717522,
2005-12,7990468,
2006-01,8106335,
2006-02,8285048,
2006-03,8474893,
2006-04,8069400,
2006-05,8041736,
2006-06,7956740,
2006-07,8803664,
2006-08,9079666,
2006-09,9858272,
2006-10,10267112,
2006-11,10655995,
2006-12,9391779,
2007-01,9049916,
2007-02,8682983,
2007-03,9191571,
2007-04,8790539,
2007-05,8766061,
2007-06,9073256,
2007-07,9544157,
2007-08,9824507,
2007-09,9404262,
2007-10,10120270,
2007-11,10323788,
2007-12,8919424,
2008-01,10147036,
2008-02,9663691,
2008-03,9445485,
2008-04,10605363,
2008-05,9306331,
2008-06,10253308,
2008-07,11028408,
2008-08,9226244,
2008-09,10131619,
2008-10,10714069,
2008-11,9784431,
2008-12,9796369,
2009-01,7812187,
2009-02,8193683,
2009-03,9140981,
2009-04,8683534,
2009-05,8391220,
2009-06,9423542,
2009-07,11090684,
2009-08,9117650,
2009-09,9660992,
2009-10,9813566,
2009-11,10478273,
2009-12,11373027,
2010-01,9137959,
2010-02,10536091,
2010-03,13062388,
2010-04,11210644,
2010-05,11940699,
2010-06,13090690,
2010-07,13310586,
2010-08,12056695,
2010-09,13656781,
2010-10,12701577,
2010-11,13950956,
2010-12,13575735,
2011-01,11830751,
2011-02,12990688,
2011-03,15307309,
2011-04,12692830,
2011-05,14417868,
2011-06,12871980,
2011-07,13882594,
2011-08,13951619,
2011-09,14591524,
2011-10,14196048,
2011-11,15188350,
2011-12,15652001,
2012-01,13133156,
2012-02,14681318,
2012-03,15961776,
2012-04,13792260,
2012-05,14969482,
2012-06,15862517,
2012-07,15729910,
2012-08,15518225,
2012-09,14592447,
2012-10,15704901,
2012-11,15372433,
2012-12,14311705,
2013-01,13699700,
2013-02,13607234,
2013-03,15036958,
2013-04,15521286,
2013-05,14323999,
2013-06,14607160,
2013-07,15732275,
2013-08,14716507,
2013-09,15264133,
2013-10,15734220,
2013-11,15676448,
2013-12,15117832,
2014-01,14220391,
2014-02,14363278,
2014-03,15814727,
2014-04,15384971,
2014-05,15361690,
2014-06,15390274,
2014-07,18121273,
2014-08,14531013,
2014-09,17629364,
2014-10,18113487,
2014-11,15826353,
2014-12,16664580,
