"",BBEX3.D.AUD.EUR.BB.AC.000,BBEX3.D.AUD.EUR.BB.AC.000_FLAGS
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,1.5924,
1999-12-14,1.5795,
1999-12-15,1.5779,
1999-12-16,1.5864,
1999-12-17,1.5723,
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,1.5713,
1999-12-21,1.5685,
1999-12-22,1.5612,
1999-12-23,1.5676,
1999-12-24,1.5781,
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,1.5749,
1999-12-28,1.5667,
1999-12-29,1.5532,
1999-12-30,1.5422,
1999-12-31,.,No value available
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,1.5346,
2000-01-04,1.5677,
2000-01-05,1.5773,
2000-01-06,1.5828,
2000-01-07,1.5738,
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,1.5587,
2000-01-11,1.5664,
2000-01-12,1.5653,
2000-01-13,1.5450,
2000-01-14,1.5332,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,1.5212,
2000-01-18,1.5222,
2000-01-19,1.5222,
2000-01-20,1.5182,
2000-01-21,1.5215,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,1.5295,
2000-01-25,1.5275,
2000-01-26,1.5282,
2000-01-27,1.5289,
2000-01-28,1.5178,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,1.5430,
2000-02-01,1.5277,
2000-02-02,1.5273,
2000-02-03,1.5382,
2000-02-04,1.5570,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,1.5261,
2000-02-08,1.5634,
2000-02-09,1.5620,
2000-02-10,1.5587,
2000-02-11,1.5526,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,1.5636,
2000-02-15,1.5597,
2000-02-16,1.5531,
2000-02-17,1.5646,
2000-02-18,1.5627,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,1.5717,
2000-02-22,1.5976,
2000-02-23,1.6225,
2000-02-24,1.6067,
2000-02-25,1.5834,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,1.5710,
2000-02-29,1.5795,
2000-03-01,1.5970,
2000-03-02,1.5952,
2000-03-03,1.5913,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,1.5960,
2000-03-07,1.5879,
2000-03-08,1.5721,
2000-03-09,1.5702,
2000-03-10,1.5658,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,1.5819,
2000-03-14,1.5631,
2000-03-15,1.5737,
2000-03-16,1.5753,
2000-03-17,1.5881,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,1.6038,
2000-03-21,1.5929,
2000-03-22,1.5817,
2000-03-23,1.5968,
2000-03-24,1.6005,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,1.5818,
2000-03-28,1.5721,
2000-03-29,1.5735,
2000-03-30,1.5611,
2000-03-31,1.5811,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,1.5741,
2000-04-04,1.5809,
2000-04-05,1.5954,
2000-04-06,1.5962,
2000-04-07,1.6043,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,1.6025,
2000-04-11,1.6099,
2000-04-12,1.6078,
2000-04-13,1.5916,
2000-04-14,1.5999,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,1.6168,
2000-04-18,1.6006,
2000-04-19,1.5840,
2000-04-20,1.5795,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,1.5637,
2000-04-26,1.5608,
2000-04-27,1.5575,
2000-04-28,1.5552,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,1.5558,
2000-05-03,1.5156,
2000-05-04,1.5155,
2000-05-05,1.5156,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,1.5228,
2000-05-09,1.5545,
2000-05-10,1.5612,
2000-05-11,1.5765,
2000-05-12,1.5636,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,1.5936,
2000-05-16,1.5760,
2000-05-17,1.5723,
2000-05-18,1.5780,
2000-05-19,1.5570,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,1.5766,
2000-05-23,1.5800,
2000-05-24,1.5908,
2000-05-25,1.5810,
2000-05-26,1.6002,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,1.6140,
2000-05-30,1.6210,
2000-05-31,1.6250,
2000-06-01,1.6306,
2000-06-02,1.6295,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,1.6164,
2000-06-06,1.6287,
2000-06-07,1.6220,
2000-06-08,1.6315,
2000-06-09,1.6196,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,1.6162,
2000-06-13,1.6075,
2000-06-14,1.5996,
2000-06-15,1.5855,
2000-06-16,1.5724,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,1.6022,
2000-06-20,1.5786,
2000-06-21,1.5783,
2000-06-22,1.5685,
2000-06-23,1.5788,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,1.5687,
2000-06-27,1.5650,
2000-06-28,1.5666,
2000-06-29,1.5729,
2000-06-30,1.5894,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,1.5840,
2000-07-04,1.5871,
2000-07-05,1.6054,
2000-07-06,1.6165,
2000-07-07,1.6130,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,1.6040,
2000-07-11,1.6168,
2000-07-12,1.6080,
2000-07-13,1.5832,
2000-07-14,1.5990,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,1.6003,
2000-07-18,1.6025,
2000-07-19,1.5920,
2000-07-20,1.5951,
2000-07-21,1.5945,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,1.5905,
2000-07-25,1.6072,
2000-07-26,1.5909,
2000-07-27,1.5898,
2000-07-28,1.5752,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,1.5986,
2000-08-01,1.5965,
2000-08-02,1.5701,
2000-08-03,1.5490,
2000-08-04,1.5517,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,1.5502,
2000-08-08,1.5417,
2000-08-09,1.5503,
2000-08-10,1.5585,
2000-08-11,1.5702,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,1.5575,
2000-08-15,1.5607,
2000-08-16,1.5447,
2000-08-17,1.5451,
2000-08-18,1.5412,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,1.5315,
2000-08-22,1.5328,
2000-08-23,1.5659,
2000-08-24,1.5742,
2000-08-25,1.5731,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,1.5733,
2000-08-29,1.5680,
2000-08-30,1.5606,
2000-08-31,1.5547,
2000-09-01,1.5534,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,1.5632,
2000-09-05,1.5539,
2000-09-06,1.5605,
2000-09-07,1.5650,
2000-09-08,1.5612,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,1.5420,
2000-09-12,1.5428,
2000-09-13,1.5613,
2000-09-14,1.5735,
2000-09-15,1.5660,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,1.5692,
2000-09-19,1.5736,
2000-09-20,1.5645,
2000-09-21,1.5800,
2000-09-22,1.5950,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,1.6088,
2000-09-26,1.5992,
2000-09-27,1.6150,
2000-09-28,1.6073,
2000-09-29,1.6180,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,1.6199,
2000-10-03,1.6175,
2000-10-04,1.6263,
2000-10-05,1.6305,
2000-10-06,1.6308,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,1.6275,
2000-10-10,1.6385,
2000-10-11,1.6240,
2000-10-12,1.6292,
2000-10-13,1.6242,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,1.6194,
2000-10-17,1.6357,
2000-10-18,1.6345,
2000-10-19,1.6236,
2000-10-20,1.5958,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,1.5788,
2000-10-24,1.5862,
2000-10-25,1.5978,
2000-10-26,1.5963,
2000-10-27,1.6010,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,1.6115,
2000-10-31,1.6377,
2000-11-01,1.6341,
2000-11-02,1.6380,
2000-11-03,1.6520,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,1.6425,
2000-11-07,1.6300,
2000-11-08,1.6195,
2000-11-09,1.6256,
2000-11-10,1.6492,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,1.6576,
2000-11-14,1.6497,
2000-11-15,1.6516,
2000-11-16,1.6478,
2000-11-17,1.6402,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,1.6535,
2000-11-21,1.6587,
2000-11-22,1.6236,
2000-11-23,1.6221,
2000-11-24,1.6128,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,1.6160,
2000-11-28,1.6226,
2000-11-29,1.6488,
2000-11-30,1.6551,
2000-12-01,1.6302,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,1.6340,
2000-12-05,1.6288,
2000-12-06,1.6182,
2000-12-07,1.6282,
2000-12-08,1.6285,
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,1.6249,
2000-12-12,1.6200,
2000-12-13,1.6192,
2000-12-14,1.6306,
2000-12-15,1.6459,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,1.6509,
2000-12-19,1.6470,
2000-12-20,1.6510,
2000-12-21,1.6580,
2000-12-22,1.6609,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,1.6741,
2000-12-28,1.6750,
2000-12-29,1.6770,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,1.6845,
2001-01-03,1.6915,
2001-01-04,1.6755,
2001-01-05,1.6734,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,1.6745,
2001-01-09,1.6767,
2001-01-10,1.6847,
2001-01-11,1.7050,
2001-01-12,1.7003,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,1.7048,
2001-01-16,1.6928,
2001-01-17,1.6875,
2001-01-18,1.6930,
2001-01-19,1.6817,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,1.6816,
2001-01-23,1.6945,
2001-01-24,1.6889,
2001-01-25,1.6817,
2001-01-26,1.7043,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,1.6925,
2001-01-30,1.6882,
2001-01-31,1.7034,
2001-02-01,1.6962,
2001-02-02,1.6959,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,1.7057,
2001-02-06,1.7005,
2001-02-07,1.7030,
2001-02-08,1.6980,
2001-02-09,1.7170,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,1.7285,
2001-02-13,1.7252,
2001-02-14,1.7326,
2001-02-15,1.7332,
2001-02-16,1.7263,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,1.7405,
2001-02-20,1.7316,
2001-02-21,1.7362,
2001-02-22,1.7341,
2001-02-23,1.7360,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,1.7338,
2001-02-27,1.7428,
2001-02-28,1.7557,
2001-03-01,1.7554,
2001-03-02,1.7745,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,1.7812,
2001-03-06,1.7903,
2001-03-07,1.8137,
2001-03-08,1.8321,
2001-03-09,1.8268,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,1.8253,
2001-03-13,1.8293,
2001-03-14,1.8386,
2001-03-15,1.8353,
2001-03-16,1.8112,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,1.7960,
2001-03-20,1.8097,
2001-03-21,1.8057,
2001-03-22,1.8126,
2001-03-23,1.8117,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,1.8075,
2001-03-27,1.7995,
2001-03-28,1.7919,
2001-03-29,1.7941,
2001-03-30,1.8158,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,1.8165,
2001-04-03,1.8304,
2001-04-04,1.8549,
2001-04-05,1.8360,
2001-04-06,1.8189,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,1.8248,
2001-04-10,1.8063,
2001-04-11,1.7635,
2001-04-12,1.7425,
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,1.7404,
2001-04-18,1.7676,
2001-04-19,1.7422,
2001-04-20,1.7437,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,1.7794,
2001-04-24,1.7823,
2001-04-25,1.7750,
2001-04-26,1.7747,
2001-04-27,1.7631,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,1.7476,
2001-05-01,.,No value available
2001-05-02,1.7158,
2001-05-03,1.7078,
2001-05-04,1.7157,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,1.7200,
2001-05-08,1.7051,
2001-05-09,1.6948,
2001-05-10,1.6923,
2001-05-11,1.6742,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,1.6907,
2001-05-15,1.6962,
2001-05-16,1.6922,
2001-05-17,1.6688,
2001-05-18,1.6687,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,1.6575,
2001-05-22,1.6593,
2001-05-23,1.6575,
2001-05-24,1.6713,
2001-05-25,1.6485,
2001-05-26,.,No value available
2001-05-27,.,No value available
2001-05-28,1.6505,
2001-05-29,1.6608,
2001-05-30,1.6673,
2001-05-31,1.6727,
2001-06-01,1.6660,
2001-06-02,.,No value available
2001-06-03,.,No value available
2001-06-04,1.6695,
2001-06-05,1.6675,
2001-06-06,1.6589,
2001-06-07,1.6375,
2001-06-08,1.6187,
2001-06-09,.,No value available
2001-06-10,.,No value available
2001-06-11,1.6157,
2001-06-12,1.6137,
2001-06-13,1.6221,
2001-06-14,1.6212,
2001-06-15,1.6426,
2001-06-16,.,No value available
2001-06-17,.,No value available
2001-06-18,1.6444,
2001-06-19,1.6380,
2001-06-20,1.6440,
2001-06-21,1.6540,
2001-06-22,1.6510,
2001-06-23,.,No value available
2001-06-24,.,No value available
2001-06-25,1.6630,
2001-06-26,1.6621,
2001-06-27,1.6587,
2001-06-28,1.6635,
2001-06-29,1.6735,
2001-06-30,.,No value available
2001-07-01,.,No value available
2001-07-02,1.6612,
2001-07-03,1.6423,
2001-07-04,1.6282,
2001-07-05,1.6268,
2001-07-06,1.6578,
2001-07-07,.,No value available
2001-07-08,.,No value available
2001-07-09,1.6724,
2001-07-10,1.6740,
2001-07-11,1.6842,
2001-07-12,1.6927,
2001-07-13,1.6821,
2001-07-14,.,No value available
2001-07-15,.,No value available
2001-07-16,1.6830,
2001-07-17,1.6811,
2001-07-18,1.6894,
2001-07-19,1.6931,
2001-07-20,1.7111,
2001-07-21,.,No value available
2001-07-22,.,No value available
2001-07-23,1.7103,
2001-07-24,1.7152,
2001-07-25,1.7363,
2001-07-26,1.7240,
2001-07-27,1.7323,
2001-07-28,.,No value available
2001-07-29,.,No value available
2001-07-30,1.7314,
2001-07-31,1.7282,
2001-08-01,1.7188,
2001-08-02,1.6951,
2001-08-03,1.7020,
2001-08-04,.,No value available
2001-08-05,.,No value available
2001-08-06,1.7055,
2001-08-07,1.7020,
2001-08-08,1.7010,
2001-08-09,1.7135,
2001-08-10,1.7332,
2001-08-11,.,No value available
2001-08-12,.,No value available
2001-08-13,1.7329,
2001-08-14,1.7380,
2001-08-15,1.7291,
2001-08-16,1.7358,
2001-08-17,1.7120,
2001-08-18,.,No value available
2001-08-19,.,No value available
2001-08-20,1.7145,
2001-08-21,1.7110,
2001-08-22,1.7114,
2001-08-23,1.7118,
2001-08-24,1.7180,
2001-08-25,.,No value available
2001-08-26,.,No value available
2001-08-27,1.7231,
2001-08-28,1.7162,
2001-08-29,1.7202,
2001-08-30,1.7139,
2001-08-31,1.7305,
2001-09-01,.,No value available
2001-09-02,.,No value available
2001-09-03,1.7225,
2001-09-04,1.7170,
2001-09-05,1.7080,
2001-09-06,1.7002,
2001-09-07,1.7232,
2001-09-08,.,No value available
2001-09-09,.,No value available
2001-09-10,1.7634,
2001-09-11,1.7453,
2001-09-12,1.7568,
2001-09-13,1.7607,
2001-09-14,1.7844,
2001-09-15,.,No value available
2001-09-16,.,No value available
2001-09-17,1.8480,
2001-09-18,1.8652,
2001-09-19,1.8837,
2001-09-20,1.8748,
2001-09-21,1.9000,
2001-09-22,.,No value available
2001-09-23,.,No value available
2001-09-24,1.8626,
2001-09-25,1.8610,
2001-09-26,1.8575,
2001-09-27,1.8950,
2001-09-28,1.8420,
2001-09-29,.,No value available
2001-09-30,.,No value available
2001-10-01,1.8536,
2001-10-02,1.8622,
2001-10-03,1.8463,
2001-10-04,1.8306,
2001-10-05,1.8093,
2001-10-06,.,No value available
2001-10-07,.,No value available
2001-10-08,1.8170,
2001-10-09,1.8247,
2001-10-10,1.8189,
2001-10-11,1.8133,
2001-10-12,1.8090,
2001-10-13,.,No value available
2001-10-14,.,No value available
2001-10-15,1.7702,
2001-10-16,1.7641,
2001-10-17,1.7628,
2001-10-18,1.7750,
2001-10-19,1.7793,
2001-10-20,.,No value available
2001-10-21,.,No value available
2001-10-22,1.7672,
2001-10-23,1.7470,
2001-10-24,1.7550,
2001-10-25,1.7563,
2001-10-26,1.7767,
2001-10-27,.,No value available
2001-10-28,.,No value available
2001-10-29,1.7833,
2001-10-30,1.7816,
2001-10-31,1.7942,
2001-11-01,1.7781,
2001-11-02,1.7864,
2001-11-03,.,No value available
2001-11-04,.,No value available
2001-11-05,1.7665,
2001-11-06,1.7470,
2001-11-07,1.7485,
2001-11-08,1.7434,
2001-11-09,1.7347,
2001-11-10,.,No value available
2001-11-11,.,No value available
2001-11-12,1.7166,
2001-11-13,1.7040,
2001-11-14,1.6855,
2001-11-15,1.6989,
2001-11-16,1.6893,
2001-11-17,.,No value available
2001-11-18,.,No value available
2001-11-19,1.6868,
2001-11-20,1.6941,
2001-11-21,1.6982,
2001-11-22,1.7006,
2001-11-23,1.7010,
2001-11-24,.,No value available
2001-11-25,.,No value available
2001-11-26,1.7007,
