"",BBDE1.M.DE.W.AEB1.A2P300000.F.V.I10.A,BBDE1.M.DE.W.AEB1.A2P300000.F.V.I10.A_FLAGS
2013-11,109.6,
2013-12,94.0,
2014-01,106.2,
2014-02,107.0,
2014-03,116.8,
2014-04,107.7,
2014-05,104.7,
2014-06,105.7,
2014-07,108.0,
2014-08,98.7,
2014-09,102.1,
2014-10,108.8,
2014-11,105.8,
2014-12,96.2,Provisional value
