"",BBFN1.M.DE.N.1.A.BR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1985-01,0.075,
1985-02,0.093,
1985-03,0.049,
1985-04,0.051,
1985-05,0.051,
1985-06,0.053,
1985-07,0.054,
1985-08,0.051,
1985-09,0.044,
1985-10,0.042,
1985-11,0.043,
1985-12,0.046,
1986-01,0.065,
1986-02,0.065,
1986-03,0.061,
1986-04,0.039,
1986-05,0.041,
1986-06,0.045,
1986-07,0.045,
1986-08,0.049,
1986-09,0.052,
1986-10,0.052,
1986-11,0.050,
1986-12,0.059,
1987-01,0.066,
1987-02,0.070,
1987-03,0.056,
1987-04,0.056,
1987-05,0.050,
1987-06,0.050,
1987-07,0.057,
1987-08,0.054,
1987-09,0.052,
1987-10,0.051,
1987-11,0.052,
1987-12,0.056,
1988-01,0.061,
1988-02,0.071,
1988-03,0.071,
1988-04,0.072,
1988-05,0.078,
1988-06,0.081,
1988-07,0.084,
1988-08,0.080,
1988-09,0.097,
1988-10,0.096,
1988-11,0.082,
1988-12,0.083,
1989-01,0.097,
1989-02,0.091,
1989-03,0.089,
1989-04,0.096,
1989-05,0.087,
1989-06,0.092,
1989-07,0.085,
1989-08,0.094,
1989-09,0.092,
1989-10,0.073,
1989-11,0.074,
1989-12,0.120,
1990-01,0.118,
1990-02,0.119,
1990-03,0.102,
1990-04,0.104,
1990-05,0.173,
1990-06,0.199,
1990-07,0.161,
1990-08,0.150,
1990-09,0.128,
1990-10,0.097,
1990-11,0.084,
1990-12,0.079,
1991-01,0.082,
1991-02,0.085,
1991-03,0.086,
1991-04,0.094,
1991-05,0.114,
1991-06,0.104,
1991-07,0.103,
1991-08,0.100,
1991-09,0.098,
1991-10,0.100,
1991-11,0.101,
1991-12,0.088,
1992-01,0.092,
1992-02,0.085,
1992-03,0.085,
1992-04,0.089,
1992-05,0.089,
1992-06,0.116,
1992-07,0.147,
1992-08,0.130,
1992-09,0.083,
1992-10,0.083,
1992-11,0.079,
1992-12,0.090,
1993-01,0.087,
1993-02,0.087,
1993-03,0.111,
1993-04,0.109,
1993-05,0.107,
1993-06,0.115,
1993-07,0.119,
1993-08,0.113,
1993-09,0.112,
1993-10,0.116,
1993-11,0.117,
1993-12,0.118,
1994-01,0.125,
1994-02,0.124,
1994-03,0.098,
1994-04,0.099,
1994-05,0.095,
1994-06,0.089,
1994-07,0.080,
1994-08,0.082,
1994-09,0.080,
1994-10,0.078,
1994-11,0.077,
1994-12,0.131,
1995-01,0.112,
1995-02,0.109,
1995-03,0.110,
1995-04,0.121,
1995-05,0.124,
1995-06,0.135,
1995-07,0.139,
1995-08,0.142,
1995-09,0.134,
1995-10,0.173,
1995-11,0.225,
1995-12,0.203,
1996-01,0.190,
1996-02,0.167,
1996-03,0.173,
1996-04,0.122,
1996-05,0.132,
1996-06,0.125,
1996-07,0.131,
1996-08,0.123,
1996-09,0.136,
1996-10,0.102,
1996-11,0.102,
1996-12,0.131,
1997-01,0.144,
1997-02,0.129,
1997-03,0.109,
1997-04,0.100,
1997-05,0.103,
1997-06,0.091,
1997-07,0.108,
1997-08,0.092,
1997-09,0.096,
1997-10,0.098,
1997-11,0.098,
1997-12,0.108,
1998-01,0.151,
1998-02,0.180,
1998-03,0.177,
1998-04,0.210,
1998-05,0.195,
1998-06,0.209,
1998-07,0.199,
1998-08,0.229,
1998-09,0.202,
1998-10,0.254,
1998-11,0.281,
1998-12,0.291,
1999-01,0.281,
1999-02,0.289,
1999-03,0.356,
1999-04,0.328,
1999-05,0.393,
1999-06,0.364,
1999-07,0.380,
1999-08,0.415,
1999-09,0.409,
1999-10,0.409,
1999-11,0.419,
1999-12,0.350,
2000-01,0.331,
2000-02,0.388,
2000-03,0.351,
2000-04,0.374,
2000-05,0.410,
2000-06,0.390,
2000-07,0.406,
2000-08,0.423,
2000-09,0.462,
2000-10,0.371,
2000-11,0.333,
2000-12,0.329,
2001-01,0.321,
2001-02,0.321,
2001-03,0.325,
2001-04,0.739,
2001-05,0.567,
2001-06,0.980,
2001-07,1.216,
2001-08,1.235,
2001-09,0.995,
2001-10,0.980,
2001-11,0.794,
2001-12,0.769,
2002-01,0.830,
2002-02,0.780,
2002-03,0.789,
2002-04,0.814,
2002-05,0.813,
2002-06,0.826,
2002-07,0.905,
2002-08,0.909,
2002-09,0.869,
2002-10,0.765,
2002-11,1.091,
2002-12,0.784,
2003-01,0.376,
2003-02,0.366,
2003-03,0.379,
2003-04,0.382,
2003-05,0.398,
2003-06,0.376,
2003-07,0.377,
2003-08,0.392,
2003-09,0.432,
2003-10,0.623,
2003-11,0.675,
2003-12,0.416,
2004-01,0.717,
2004-02,0.720,
2004-03,0.439,
2004-04,0.668,
2004-05,0.672,
2004-06,0.476,
2004-07,0.648,
2004-08,0.685,
2004-09,0.627,
2004-10,0.642,
2004-11,0.654,
2004-12,0.476,
2005-01,0.440,
2005-02,0.486,
2005-03,0.727,
2005-04,0.743,
2005-05,0.763,
2005-06,0.767,
2005-07,0.798,
2005-08,0.709,
2005-09,0.669,
2005-10,0.679,
2005-11,0.696,
2005-12,0.460,
2006-01,0.486,
2006-02,0.525,
2006-03,0.554,
2006-04,0.517,
2006-05,0.554,
2006-06,0.520,
2006-07,0.499,
2006-08,0.492,
2006-09,0.505,
2006-10,0.962,
2006-11,0.923,
2006-12,0.615,
2007-01,0.582,
2007-02,0.596,
2007-03,0.616,
2007-04,0.610,
2007-05,0.579,
2007-06,0.585,
2007-07,0.542,
2007-08,0.546,
2007-09,0.525,
2007-10,0.484,
2007-11,0.462,
2007-12,0.460,
2008-01,0.449,
2008-02,0.496,
2008-03,0.504,
2008-04,0.480,
2008-05,0.496,
2008-06,0.416,
2008-07,0.435,
2008-08,0.444,
2008-09,0.491,
2008-10,0.552,
2008-11,0.628,
2008-12,0.587,
2009-01,0.617,
2009-02,0.658,
2009-03,0.635,
2009-04,0.581,
2009-05,0.574,
2009-06,0.471,
2009-07,0.506,
2009-08,0.474,
2009-09,0.479,
2009-10,0.467,
2009-11,0.460,
2009-12,0.423,
2010-01,0.440,
2010-02,0.467,
2010-03,0.467,
2010-04,0.483,
2010-05,0.493,
2010-06,0.508,
2010-07,0.511,
2010-08,0.529,
2010-09,0.489,
2010-10,0.390,
2010-11,0.425,
2010-12,0.404,
2011-01,0.393,
2011-02,0.362,
2011-03,0.367,
2011-04,0.377,
2011-05,0.396,
2011-06,0.382,
2011-07,0.394,
2011-08,0.407,
2011-09,0.638,
2011-10,0.640,
2011-11,0.840,
2011-12,0.891,
2012-01,1.011,
2012-02,1.043,
2012-03,0.979,
2012-04,0.982,
2012-05,0.927,
2012-06,0.960,
2012-07,0.894,
2012-08,0.875,
2012-09,0.889,
2012-10,0.937,
2012-11,0.946,
2012-12,0.979,
2013-01,1.037,
2013-02,1.157,
2013-03,1.261,
2013-04,1.399,
2013-05,1.544,
2013-06,1.697,
2013-07,1.718,
2013-08,1.948,
2013-09,1.855,
2013-10,1.900,
2013-11,1.912,
2013-12,1.920,
2014-01,2.019,
2014-02,2.005,
2014-03,2.042,
2014-04,2.055,
2014-05,2.117,
2014-06,2.115,
2014-07,2.158,
2014-08,2.290,
2014-09,2.349,
2014-10,2.546,
2014-11,2.760,
2014-12,3.104,
