"",BBEX3.M.GMD.USD.CA.AC.A01,BBEX3.M.GMD.USD.CA.AC.A01_FLAGS
1996-10,9.875,
1996-11,9.875,
1996-12,9.875,
1997-01,9.925,
1997-02,10.000,
1997-03,9.900,
1997-04,9.950,
1997-05,9.950,
1997-06,10.250,
1997-07,10.250,
1997-08,10.250,
1997-09,10.350,
1997-10,10.350,
1997-11,10.350,
1997-12,10.350,
1998-01,10.400,
1998-02,10.400,
1998-03,10.425,
1998-04,10.425,
1998-05,10.450,
1998-06,10.525,
1998-07,10.550,
1998-08,10.550,
1998-09,10.700,
1998-10,10.700,
1998-11,10.700,
1998-12,10.800,
1999-01,10.950,
1999-02,11.050,
1999-03,11.050,
1999-04,11.100,
1999-05,11.100,
1999-06,11.200,
1999-07,11.250,
1999-08,11.225,
1999-09,11.450,
1999-10,11.450,
1999-11,11.500,
1999-12,11.500,
2000-01,11.660,
2000-02,11.700,
2000-03,11.800,
2000-04,12.025,
2000-05,12.325,
2000-06,12.325,
2000-07,12.425,
2000-08,12.475,
2000-09,13.000,
2000-10,13.725,
2000-11,14.325,
2000-12,14.425,
2001-01,14.475,
2001-02,14.850,
2001-03,14.925,
2001-04,15.025,
2001-05,15.100,
2001-06,15.300,
2001-07,16.000,
2001-08,16.000,
2001-09,16.550,
2001-10,16.700,
2001-11,16.850,
2001-12,17.025,
2002-01,17.050,
2002-02,17.850,
2002-03,18.250,
2002-04,18.720,
2002-05,18.840,
2002-06,19.140,
2002-07,19.260,
2002-08,20.850,
2002-09,21.790,
2002-10,22.500,
2002-11,23.030,
2002-12,23.390,
2003-01,24.410,
2003-02,24.630,
2003-03,26.000,
2003-04,26.750,
2003-05,27.190,
2003-06,27.880,
2003-07,29.140,
2003-08,31.490,
2003-09,33.430,
2003-10,31.610,
2003-11,30.840,
2003-12,30.930,
2004-01,30.360,
2004-02,29.850,
2004-03,30.160,
2004-04,29.960,
2004-05,29.940,
2004-06,30.010,
2004-07,29.950,
2004-08,30.010,
2004-09,30.070,
2004-10,29.890,
2004-11,29.990,
2004-12,29.700,
2005-01,29.640,
2005-02,29.540,
2005-03,29.180,
2005-04,28.670,
2005-05,28.290,
2005-06,28.190,
2005-07,28.100,
2005-08,28.000,
2005-09,28.150,
2005-10,28.010,
2005-11,28.160,
2005-12,28.140,
2006-01,28.170,
2006-02,28.110,
2006-03,28.120,
2006-04,28.150,
2006-05,28.000,
2006-06,28.050,
2006-07,28.030,
2006-08,28.000,
2006-09,28.060,
2006-10,28.010,
2006-11,28.030,
2006-12,27.970,
2007-01,27.980,
2007-02,27.900,
2007-03,27.680,
2007-04,27.430,
2007-05,27.250,
2007-06,26.520,
2007-07,25.310,
2007-08,23.250,
2007-09,18.790,
2007-10,19.250,
2007-11,21.650,
2007-12,22.540,
2008-01,22.340,
2008-02,21.690,
2008-03,19.460,
2008-04,20.120,
2008-05,20.640,
2008-06,20.650,
2008-07,20.940,
2008-08,21.370,
2008-09,22.870,
2008-10,25.590,
2008-11,26.260,
2008-12,26.540,
2009-01,26.070,
2009-02,26.110,
2009-03,26.180,
2009-04,26.800,
2009-05,26.910,
2009-06,26.820,
2009-07,26.790,
2009-08,26.630,
2009-09,26.950,
2009-10,26.910,
2009-11,26.910,
2009-12,26.880,
2010-01,26.850,
2010-02,26.960,
2010-03,27.040,
2010-04,27.340,
2010-05,29.390,
2010-06,27.690,
2010-07,28.340,
2010-08,28.130,
2010-09,28.720,
2010-10,29.050,
2010-11,27.590,
2010-12,28.690,
2011-01,28.780,
2011-02,28.900,
2011-03,28.600,
2011-04,28.430,
2011-05,28.570,
2011-06,29.250,
2011-07,29.410,
2011-08,29.630,
2011-09,30.060,
2011-10,30.120,
2011-11,29.720,
2011-12,30.390,
2012-01,30.500,
2012-02,30.560,
2012-03,30.470,
2012-04,30.420,
2012-05,31.180,
2012-06,31.910,
2012-07,32.630,
2012-08,32.640,
2012-09,33.670,
2012-10,32.500,
2012-11,34.010,
2012-12,33.980,
2013-01,33.900,
2013-02,33.950,
2013-03,34.250,
2013-04,34.800,
2013-05,35.350,
2013-06,36.075,
2013-07,33.050,
2013-08,34.250,
2013-09,34.725,
2013-10,36.350,
2013-11,37.350,
2013-12,37.910,
2014-01,39.570,
2014-02,39.440,
2014-03,39.330,
2014-04,39.790,
2014-05,40.170,
2014-06,41.470,
2014-07,41.480,
2014-08,42.900,
2014-09,42.510,
2014-10,42.890,
2014-11,43.910,
2014-12,45.030,
2015-01,45.350,
2015-02,46.670,
"","Source: Since April 2002 Central Bank of The Gambia, Banjul (from January 2013 calculated on the basis of buying and selling rates).  1986 - March 2002 calculated on the basis of buying and selling rates of the Standard Chartered Bank Gambia Ltd., Banjul.",
