"",BBEX3.M.TTD.USD.CA.AB.A01,BBEX3.M.TTD.USD.CA.AB.A01_FLAGS
2007-05,6.31390,
2007-06,6.33730,
2007-07,6.34480,
2007-08,6.33550,
2007-09,6.32650,
2007-10,6.31900,
2007-11,6.34220,
2007-12,6.34120,
2008-01,6.34910,
2008-02,6.33750,
2008-03,6.33730,
2008-04,6.31430,
2008-05,6.27170,
2008-06,6.23780,
2008-07,6.25250,
2008-08,6.25510,
2008-09,6.27560,
2008-10,6.28370,
2008-11,6.27750,
2008-12,6.29930,
2009-01,6.29090,
2009-02,6.27990,
2009-03,6.32680,
2009-04,6.30920,
2009-05,6.31660,
2009-06,6.30520,
2009-07,6.34060,
2009-08,6.35010,
2009-09,6.37160,
2009-10,6.35950,
2009-11,6.35870,
2009-12,6.37350,
2010-01,6.37000,
2010-02,6.38240,
2010-03,6.37290,
2010-04,6.36670,
2010-05,6.38560,
2010-06,6.37660,
2010-07,6.34990,
2010-08,6.35470,
2010-09,6.36430,
2010-10,6.35790,
2010-11,6.39620,
2010-12,6.42340,
2011-01,6.40760,
2011-02,6.43000,
2011-03,6.43500,
2011-04,6.43590,
2011-05,6.43440,
2011-06,6.43590,
2011-07,6.43590,
2011-08,6.43590,
2011-09,6.42570,
2011-10,6.41210,
2011-11,6.42890,
2011-12,6.43050,
2012-01,6.43110,
2012-02,6.43750,
2012-03,6.43720,
2012-04,6.43840,
2012-05,6.44100,
2012-06,6.43850,
2012-07,6.43090,
2012-08,6.43450,
2012-09,6.43950,
2012-10,6.44100,
2012-11,6.44320,
2012-12,6.43230,
2013-01,6.43010,
2013-02,6.44240,
2013-03,6.44150,
2013-04,6.44070,
2013-05,6.45770,
2013-06,6.44300,
2013-07,6.42780,
2013-08,6.44350,
2013-09,6.42140,
2013-10,6.44610,
2013-11,6.44650,
2013-12,6.46650,
2014-01,6.44320,
2014-02,6.46780,
2014-03,6.45550,
2014-04,6.46650,
2014-05,6.45210,
2014-06,6.39330,
2014-07,6.39320,
2014-08,6.37330,
2014-09,6.37330,
2014-10,6.34840,
2014-11,6.36790,
2014-12,6.39270,
2015-01,6.34710,
"","General: On 13 April 1993, the Trinidad and Tobago dollar ceased to be pegged to the US dollar.",
"","Source: Central Bank of Trinidad and Tobago, Port-of-Spain.",
"","Comment on 1993-04: On 13 April 1993, the Trinidad and Tobago dollar ceased to be pegged to the US dollar and a floating exchange rate was adopted.  We recorded the following exchange rates (buying/selling).  7 April 1993: USD 1 = TTD 4.24734 / 4.28719  13 April 1993: USD 1 = TTD 5.60000 / 5.76800  Calculated devaluation: 24.9% (middle rate).",
"",Comment on 2003-01: Exchange rate as of 27 January 2003.,
"",Comment on 2003-03: Exchange rate as of 26 March 2003.,
"",Comment on 2003-09: Exchange rate as of 3 October 2003.,
