"",BBSF2.M.1.S.00000.IMM01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
2009-06,652788,
2009-07,653492,
2009-08,655182,
2009-09,658544,
2009-10,658455,
2009-11,661143,
2009-12,663892,
2010-01,668072,
2010-02,668414,
2010-03,668999,
2010-04,677812,
2010-05,679303,
2010-06,679906,
2010-07,682893,
2010-08,684654,
2010-09,686263,
2010-10,690503,
2010-11,700596,
2010-12,736252,
2011-01,737273,
2011-02,740366,
2011-03,744142,
2011-04,744211,
2011-05,748344,
2011-06,748151,
2011-07,749599,
2011-08,780909,
2011-09,784011,
2011-10,777394,
2011-11,781595,
2011-12,811025,
2012-01,812168,
2012-02,813681,
2012-03,817243,
2012-04,820179,
2012-05,833159,
2012-06,840803,
2012-07,844239,
2012-08,859275,
2012-09,863029,
2012-10,866507,
2012-11,870940,
2012-12,883611,
2013-01,908049,
2013-02,909902,
2013-03,920466,
2013-04,926088,
2013-05,928519,
2013-06,934174,
2013-07,948714,
2013-08,988622,
2013-09,992512,
2013-10,993722,
2013-11,1009465,
2013-12,1046005,
2014-01,1050189,
2014-02,1055073,
2014-03,1064664,
2014-04,1065978,
2014-05,1067525,
2014-06,1088187,
2014-07,1093086,
2014-08,1097019,
2014-09,1101082,
2014-10,1106574,
2014-11,1152267,
