"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00_FLAGS
1993-01,22137,
1993-02,23429,
1993-03,24308,
1993-04,24075,
1993-05,24700,
1993-06,25884,
1993-07,27388,
1993-08,28914,
1993-09,28081,
1993-10,30935,
1993-11,30695,
1993-12,34402,
1994-01,35049,
1994-02,34840,
1994-03,35472,
1994-04,37176,
1994-05,35497,
1994-06,35085,
1994-07,36429,
1994-08,37281,
1994-09,34478,
1994-10,35206,
1994-11,34532,
1994-12,34769,
1995-01,33943,
1995-02,35082,
1995-03,33049,
1995-04,34516,
1995-05,35471,
1995-06,35733,
1995-07,38544,
1995-08,39149,
1995-09,38342,
1995-10,38179,
1995-11,39645,
1995-12,40702,
1996-01,45059,
1996-02,45855,
1996-03,46642,
1996-04,48080,
1996-05,48953,
1996-06,49930,
1996-07,48437,
1996-08,50099,
1996-09,52717,
1996-10,53018,
1996-11,57951,
1996-12,59784,
1997-01,65391,
1997-02,71589,
1997-03,74321,
1997-04,76023,
1997-05,79688,
1997-06,86302,
1997-07,98411,
1997-08,90387,
1997-09,96922,
1997-10,90994,
1997-11,96202,
1997-12,102320,
1998-01,109650,
1998-02,119267,
1998-03,129298,
1998-04,129247,
1998-05,137007,
1998-06,144163,
1998-07,147712,
1998-08,128326,
1998-09,118796,
1998-10,125795,
1998-11,140373,
1998-12,143306,
1999-01,150772,
1999-02,149864,
1999-03,153710,
1999-04,166340,
1999-05,159196,
1999-06,169706,
1999-07,164169,
1999-08,171524,
1999-09,164278,
1999-10,174913,
1999-11,192595,
1999-12,218489,
2000-01,210740,
2000-02,223546,
2000-03,226365,
2000-04,227679,
2000-05,224657,
2000-06,224060,
2000-07,229856,
2000-08,242319,
2000-09,234607,
2000-10,239798,
2000-11,224356,
2000-12,225424,
2001-01,231608,
2001-02,210141,
2001-03,201453,
2001-04,216114,
2001-05,215753,
2001-06,206351,
2001-07,199764,
2001-08,183887,
2001-09,157157,
2001-10,167348,
2001-11,179043,
2001-12,186843,
2002-01,187649,
2002-02,185287,
2002-03,193295,
2002-04,187454,
2002-05,180735,
2002-06,162556,
2002-07,148063,
2002-08,145397,
2002-09,123937,
2002-10,132430,
2002-11,137671,
2002-12,120125,
2003-01,113165,
2003-02,103465,
2003-03,99646,
2003-04,108290,
2003-05,105747,
2003-06,112287,
2003-07,116498,
2003-08,120521,
2003-09,114869,
2003-10,122820,
2003-11,124151,
2003-12,132266,
2004-01,139405,
2004-02,141328,
2004-03,136532,
2004-04,136899,
2004-05,134164,
2004-06,137363,
2004-07,132440,
2004-08,130684,
2004-09,131984,
2004-10,133217,
2004-11,135669,
2004-12,138503,
2005-01,137871,
2005-02,142909,
2005-03,141832,
2005-04,135977,
2005-05,142899,
2005-06,148327,
2005-07,153877,
2005-08,151668,
2005-09,158747,
2005-10,155549,
2005-11,161313,
2005-12,163464,
2006-01,171534,
2006-02,177550,
2006-03,179318,
2006-04,178434,
2006-05,164358,
2006-06,160923,
2006-07,162180,
2006-08,163989,
2006-09,167492,
2006-10,172390,
2006-11,172293,
2006-12,177762,
2007-01,181452,
2007-02,176475,
2007-03,177372,
2007-04,183806,
2007-05,188608,
2007-06,187161,
2007-07,180023,
2007-08,175367,
2007-09,176907,
2007-10,178917,
2007-11,166933,
2007-12,163372,
2008-01,140171,
2008-02,139445,
2008-03,133356,
2008-04,140599,
2008-05,140610,
2008-06,127203,
2008-07,123355,
2008-08,124990,
2008-09,109023,
2008-10,88783,
2008-11,77501,
2008-12,71996,
2009-01,69911,
2009-02,62375,
2009-03,60644,
2009-04,62386,
2009-05,62393,
2009-06,60913,
2009-07,65342,
2009-08,.,No value available
2009-09,89658,
2009-10,86318,
2009-11,86912,
2009-12,91055,
2010-01,89430,
2010-02,89710,
2010-03,97941,
2010-04,97191,
2010-05,92202,
2010-06,91602,
2010-07,94520,
2010-08,92742,
2010-09,96967,
2010-10,100704,
2010-11,100520,
2010-12,106496,
2011-01,107579,
2011-02,109216,
2011-03,106625,
2011-04,108514,
2011-05,106796,
2011-06,105197,
2011-07,102659,
2011-08,90048,
2011-09,85348,
2011-10,92810,
2011-11,89486,
2011-12,91276,
2012-01,94943,
2012-02,98247,
2012-03,98040,
2012-04,98461,
2012-05,91578,
2012-06,93566,
2012-07,98077,
2012-08,98568,
2012-09,99932,
2012-10,101045,
2012-11,103119,
2012-12,106246,
2013-01,110408,
2013-02,112348,
2013-03,115871,
2013-04,118648,
2013-05,122199,
2013-06,116116,
2013-07,123091,
2013-08,122898,
2013-09,127868,
2013-10,133945,
2013-11,137133,
2013-12,135524,
2014-01,131870,
2014-02,137024,
2014-03,137543,
2014-04,140500,
2014-05,143736,
2014-06,143746,
2014-07,142335,
2014-08,145685,
2014-09,146291,
2014-10,147308,
2014-11,153081,
