"",BBEX3.M.SVC.USD.CA.AC.A01,BBEX3.M.SVC.USD.CA.AC.A01_FLAGS
2008-04,8.750,
2008-05,8.750,
2008-06,8.750,
2008-07,8.750,
2008-08,8.750,
2008-09,8.750,
2008-10,8.750,
2008-11,8.750,
2008-12,8.750,
2009-01,8.750,
2009-02,8.750,
2009-03,8.750,
2009-04,8.750,
2009-05,8.750,
2009-06,8.750,
2009-07,8.750,
2009-08,8.750,
2009-09,8.750,
2009-10,8.750,
2009-11,8.750,
2009-12,8.750,
2010-01,8.750,
2010-02,8.750,
2010-03,8.750,
2010-04,8.750,
2010-05,8.750,
2010-06,8.750,
2010-07,8.750,
2010-08,8.750,
2010-09,8.750,
2010-10,8.750,
2010-11,8.750,
2010-12,8.750,
2011-01,8.750,
2011-02,8.750,
2011-03,8.750,
2011-04,8.750,
2011-05,8.750,
2011-06,8.750,
2011-07,8.750,
2011-08,8.750,
2011-09,8.750,
2011-10,8.750,
2011-11,8.750,
2011-12,8.750,
2012-01,8.750,
2012-02,8.750,
2012-03,8.750,
2012-04,8.750,
2012-05,8.750,
2012-06,8.750,
2012-07,8.750,
2012-08,8.750,
2012-09,8.750,
2012-10,8.750,
2012-11,8.750,
2012-12,8.750,
2013-01,8.750,
2013-02,8.750,
2013-03,8.750,
2013-04,8.750,
2013-05,8.750,
2013-06,8.750,
2013-07,8.750,
2013-08,8.750,
2013-09,8.750,
2013-10,8.750,
2013-11,8.750,
2013-12,8.750,
2014-01,8.750,
2014-02,8.750,
2014-03,8.750,
2014-04,8.750,
2014-05,8.750,
2014-06,8.750,
2014-07,8.750,
2014-08,8.750,
2014-09,8.750,
2014-10,8.750,
2014-11,8.750,
2014-12,8.750,
2015-01,8.750,
"","General: With effect from 1 January 2001, the US dollar was introduced as legal tender alongside the El Salvador colón at the rate of USD 1 = SVC 8.75.",
"","Source: Since 2001: Banco Central de Reserva de El Salvador, San Salvador. 1991 - 2000: Calculated on the basis of the buying and selling rates of the Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"",Comment on 1992-06: Exchange rate as of 26 June 1992.,
"",Comment on 1994-03: Exchange rate as of 25 March 1994.,
