"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.EUR.BGA.X001.D_FLAGS
1983-07,1.740,
1983-08,1.672,
1983-09,1.711,
1983-10,1.733,
1983-11,1.744,
1983-12,1.615,
1984-01,1.639,
1984-02,1.611,
1984-03,1.621,
1984-04,1.673,
1984-05,1.596,
1984-06,1.703,
1984-07,1.629,
1984-08,1.539,
1984-09,1.512,
1984-10,1.575,
1984-11,1.539,
1984-12,1.443,
1985-01,1.451,
1985-02,1.445,
1985-03,1.459,
1985-04,1.500,
1985-05,1.559,
1985-06,1.597,
1985-07,1.627,
1985-08,1.625,
1985-09,1.577,
1985-10,1.611,
1985-11,1.578,
1985-12,1.591,
1986-01,1.608,
1986-02,1.555,
1986-03,1.631,
1986-04,1.749,
1986-05,1.678,
1986-06,1.687,
1986-07,1.713,
1986-08,1.774,
1986-09,1.719,
1986-10,1.754,
1986-11,1.710,
1986-12,1.688,
1987-01,1.716,
1987-02,1.759,
1987-03,1.366,
1987-04,1.395,
1987-05,1.418,
1987-06,1.421,
1987-07,1.402,
1987-08,1.461,
1987-09,1.441,
1987-10,1.444,
1987-11,1.457,
1987-12,1.293,
1988-01,1.343,
1988-02,1.360,
1988-03,1.385,
1988-04,1.419,
1988-05,1.477,
1988-06,1.495,
1988-07,1.465,
1988-08,1.437,
1988-09,1.375,
1988-10,1.371,
1988-11,1.348,
1988-12,1.308,
1989-01,1.362,
1989-02,1.424,
1989-03,1.392,
1989-04,1.398,
1989-05,1.422,
1989-06,1.444,
1989-07,1.444,
1989-08,1.486,
1989-09,1.488,
1989-10,1.502,
1989-11,1.552,
1989-12,1.483,
1990-01,1.547,
1990-02,1.528,
1990-03,1.524,
1990-04,1.594,
1990-05,1.610,
1990-06,1.692,
1990-07,1.687,
1990-08,1.731,
1990-09,1.740,
1990-10,1.792,
1990-11,1.753,
1990-12,1.880,
1991-01,1.902,
1991-02,1.842,
1991-03,1.895,
1991-04,2.011,
1991-05,2.134,
1991-06,2.125,
1991-07,2.153,
1991-08,2.158,
1991-09,2.097,
1991-10,2.132,
1991-11,2.123,
1991-12,2.055,
1992-01,2.074,
1992-02,2.175,
1992-03,2.165,
1992-04,2.262,
1992-05,2.199,
1992-06,2.202,
1992-07,2.214,
1992-08,2.248,
1992-09,2.269,
1992-10,2.276,
1992-11,2.461,
1992-12,2.215,
1993-01,2.255,
1993-02,2.178,
1993-03,2.203,
1993-04,2.186,
1993-05,2.301,
1993-06,2.235,
1993-07,2.233,
1993-08,2.293,
1993-09,2.308,
1993-10,2.334,
1993-11,2.372,
1993-12,2.347,
1994-01,2.404,
1994-02,2.412,
1994-03,2.529,
1994-04,2.643,
1994-05,2.789,
1994-06,2.726,
1994-07,2.554,
1994-08,2.481,
1994-09,2.280,
1994-10,2.313,
1994-11,2.569,
1994-12,2.627,
1995-01,2.335,
1995-02,2.321,
1995-03,2.358,
1995-04,2.367,
1995-05,2.433,
1995-06,2.464,
1995-07,2.603,
1995-08,2.617,
1995-09,2.555,
1995-10,2.569,
1995-11,2.566,
1995-12,2.290,
1996-01,2.317,
1996-02,2.316,
1996-03,2.358,
1996-04,2.360,
1996-05,2.401,
1996-06,2.381,
1996-07,2.383,
1996-08,2.406,
1996-09,2.419,
1996-10,2.380,
1996-11,2.387,
1996-12,2.218,
1997-01,2.272,
1997-02,2.280,
1997-03,2.384,
1997-04,2.342,
1997-05,2.458,
1997-06,2.356,
1997-07,2.371,
1997-08,2.347,
1997-09,2.265,
1997-10,2.304,
1997-11,2.251,
1997-12,2.124,
1998-01,2.213,
1998-02,2.387,
1998-03,2.369,
1998-04,2.501,
1998-05,2.435,
1998-06,2.364,
1998-07,2.443,
1998-08,2.581,
1998-09,2.572,
1998-10,2.795,
1998-11,2.478,
1998-12,2.435,
1999-01,3.426,
1999-02,3.663,
1999-03,3.978,
1999-04,4.006,
1999-05,4.144,
1999-06,3.977,
1999-07,4.063,
1999-08,4.096,
1999-09,3.959,
1999-10,3.918,
1999-11,4.067,
1999-12,3.973,
2000-01,4.027,
2000-02,4.024,
2000-03,4.118,
2000-04,3.896,
2000-05,3.949,
2000-06,4.032,
2000-07,4.204,
2000-08,4.232,
2000-09,4.156,
2000-10,4.266,
2000-11,4.350,
2000-12,4.074,
2001-01,4.304,
2001-02,4.337,
2001-03,4.370,
2001-04,4.607,
2001-05,4.703,
2001-06,4.501,
2001-07,4.423,
2001-08,4.571,
2001-09,4.261,
2001-10,4.350,
2001-11,4.300,
2001-12,4.166,
2002-01,4.338,
2002-02,4.312,
2002-03,4.329,
2002-04,4.429,
2002-05,4.384,
2002-06,4.354,
2002-07,4.400,
2002-08,4.454,
2002-09,4.106,
2002-10,4.256,
2002-11,4.182,
2002-12,4.116,
2003-01,4.238,
2003-02,4.262,
2003-03,4.411,
2003-04,4.509,
2003-05,4.454,
2003-06,4.381,
2003-07,4.522,
2003-08,4.367,
2003-09,4.241,
2003-10,4.379,
2003-11,4.319,
2003-12,4.213,
2004-01,4.346,
2004-02,4.738,
2004-03,4.423,
2004-04,4.642,
2004-05,4.680,
2004-06,4.680,
2004-07,4.688,
2004-08,4.636,
2004-09,4.657,
2004-10,4.616,
2004-11,4.628,
2004-12,4.268,
2005-01,4.464,
2005-02,4.528,
2005-03,4.551,
2005-04,4.594,
2005-05,4.742,
2005-06,4.658,
2005-07,4.674,
2005-08,4.697,
2005-09,4.735,
2005-10,4.790,
2005-11,4.783,
2005-12,4.663,
2006-01,4.820,
2006-02,4.882,
2006-03,5.027,
2006-04,5.186,
2006-05,5.245,
2006-06,5.184,
2006-07,5.365,
2006-08,5.267,
2006-09,5.252,
2006-10,5.346,
2006-11,5.357,
2006-12,5.070,
2007-01,5.235,
2007-02,5.313,
2007-03,5.573,
2007-04,5.710,
2007-05,5.968,
2007-06,5.992,
2007-07,6.165,
2007-08,6.238,
2007-09,6.214,
2007-10,6.381,
2007-11,6.675,
2007-12,6.511,
2008-01,6.735,
2008-02,6.938,
2008-03,6.998,
2008-04,7.183,
2008-05,7.453,
2008-06,7.440,
2008-07,7.974,
2008-08,8.013,
2008-09,8.127,
2008-10,8.311,
2008-11,8.330,
2008-12,8.057,
2009-01,8.121,
2009-02,8.254,
2009-03,8.173,
2009-04,8.206,
2009-05,8.374,
2009-06,8.255,
2009-07,8.185,
2009-08,8.224,
2009-09,8.093,
2009-10,8.343,
2009-11,8.211,
2009-12,7.990,
2010-01,8.193,
2010-02,8.214,
2010-03,8.414,
2010-04,8.688,
2010-05,8.709,
2010-06,9.143,
2010-07,8.476,
2010-08,8.587,
2010-09,8.509,
2010-10,8.674,
2010-11,8.744,
2010-12,8.632,
2011-01,10.151,
2011-02,10.213,
2011-03,10.038,
2011-04,10.333,
2011-05,10.316,
2011-06,10.355,
2011-07,10.426,
2011-08,10.609,
2011-09,10.495,
2011-10,10.620,
2011-11,10.441,
2011-12,10.488,
2012-01,10.487,
2012-02,10.408,
2012-03,10.194,
2012-04,10.430,
2012-05,10.551,
2012-06,10.777,
2012-07,11.158,
2012-08,12.508,
2012-09,11.992,
2012-10,11.700,
2012-11,11.533,
2012-12,11.836,
2013-01,11.985,
2013-02,12.012,
2013-03,11.877,
2013-04,12.117,
2013-05,12.338,
2013-06,13.356,
2013-07,11.095,
2013-08,10.318,
2013-09,11.379,
2013-10,11.794,
2013-11,11.842,
2013-12,11.485,
2014-01,10.993,
2014-02,10.663,
2014-03,10.930,
2014-04,10.947,
2014-05,11.490,
2014-06,11.137,
2014-07,11.212,
2014-08,11.213,
2014-09,10.898,
2014-10,11.151,
2014-11,10.993,
2014-12,10.925,
"","General: From January 1999, including national currencies of the euro-area member states.",
