"",BBFB1.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
2007-06,15662.483,
2007-07,18433.399,
2007-08,19384.035,
2007-09,16437.887,
2007-10,17058.852,
2007-11,14525.927,
2007-12,15502.487,
2008-01,15438.082,
2008-02,14193.113,
2008-03,14906.978,
2008-04,15595.301,
2008-05,16447.389,
2008-06,16421.697,
2008-07,19299.674,
2008-08,18316.304,
2008-09,18074.023,
2008-10,17706.676,
2008-11,14187.985,
2008-12,15463.828,
2009-01,14559.878,
2009-02,12638.411,
2009-03,13531.541,
2009-04,13798.377,
2009-05,14015.152,
2009-06,16092.080,
2009-07,17980.351,
2009-08,16464.072,
2009-09,16084.603,
2009-10,15995.497,
2009-11,13153.112,
2009-12,14989.916,
2010-01,13929.201,
2010-02,13202.328,
2010-03,15372.265,
2010-04,14944.403,
2010-05,15792.543,
2010-06,18646.839,
2010-07,18854.419,
2010-08,19243.783,
2010-09,18138.600,
2010-10,17087.038,
2010-11,15994.165,
2010-12,17581.983,
2011-01,15824.714,
2011-02,14860.165,
2011-03,16593.919,
2011-04,15388.341,
2011-05,17002.024,
2011-06,19040.349,
2011-07,19425.636,
2011-08,20625.665,
2011-09,19675.621,
2011-10,18657.372,
2011-11,16892.939,
2011-12,18089.606,
2012-01,17291.314,
2012-02,16009.334,
2012-03,17737.862,
2012-04,15981.744,
2012-05,18563.164,
2012-06,19696.703,
2012-07,20672.027,
2012-08,22430.080,
2012-09,20245.537,
2012-10,20058.906,
2012-11,17396.997,
2012-12,18034.985,
2013-01,19260.924,
2013-02,17207.744,
2013-03,19162.458,
2013-04,18367.438,
2013-05,19973.749,
2013-06,21326.909,
2013-07,23371.405,
2013-08,22998.903,
2013-09,22048.632,
2013-10,22077.392,
2013-11,18584.313,
2013-12,19964.642,
2014-01,18786.176,
2014-02,17260.779,Provisional value
2014-03,18525.600,Provisional value
2014-04,17948.889,Provisional value
2014-05,19194.179,Provisional value
2014-06,22168.371,Provisional value
2014-07,23297.586,Provisional value
2014-08,24000.174,Provisional value
2014-09,23072.660,
2014-10,22991.836,
2014-11,19088.384,
2014-12,21092.860,Provisional value
