"",BBEX3.M.NZD.USD.CM.AC.A01,BBEX3.M.NZD.USD.CM.AC.A01_FLAGS
2001-05,0.41625,
2001-06,0.40650,
2001-07,0.41175,
2001-08,0.44100,
2001-09,0.40175,
2001-10,0.41400,
2001-11,0.41250,
2001-12,0.41490,
2002-01,0.41550,
2002-02,0.41950,
2002-03,0.43550,
2002-04,0.44750,
2002-05,0.47550,
2002-06,0.48800,
2002-07,0.46800,
2002-08,0.46875,
2002-09,0.47075,
2002-10,0.48325,
2002-11,0.49525,
2002-12,0.52425,
2003-01,0.54475,
2003-02,0.56125,
2003-03,0.55075,
2003-04,0.55825,
2003-05,0.57725,
2003-06,0.58225,
2003-07,0.58175,
2003-08,0.57375,
2003-09,0.59375,
2003-10,0.61075,
2003-11,0.63925,
2003-12,0.65325,
2004-01,0.66875,
2004-02,0.68775,
2004-03,0.65025,
2004-04,0.62175,
2004-05,0.63125,
2004-06,0.63125,
2004-07,0.63275,
2004-08,0.65000,
2004-09,0.66925,
2004-10,0.68325,
2004-11,0.71475,
2004-12,0.71725,
2005-01,0.71125,
2005-02,0.72175,
2005-03,0.73880,
2005-04,0.72860,
2005-05,0.70820,
2005-06,0.69915,
2005-07,0.68330,
2005-08,0.69385,
2005-09,0.69265,
2005-10,0.70325,
2005-11,0.70150,
2005-12,0.68150,
2006-01,0.68040,
2006-02,0.66130,
2006-03,0.61150,
2006-04,0.63400,
2006-05,0.63815,
2006-06,0.60725,
2006-07,0.61790,
2006-08,0.65590,
2006-09,0.65320,
2006-10,0.67045,
2006-11,0.68390,
2006-12,0.70430,
2007-01,0.68870,
2007-02,0.70240,
2007-03,0.71560,
2007-04,0.74120,
2007-05,0.73290,
2007-06,0.77080,
2007-07,0.76860,
2007-08,0.70310,
2007-09,0.75525,
2007-10,0.76475,
2007-11,0.77175,
2007-12,0.77475,
2008-01,0.77925,
2008-02,0.81425,
2008-03,0.79225,
2008-04,0.77575,
2008-05,0.77975,
2008-06,0.76225,
2008-07,0.73175,
2008-08,0.70375,
2008-09,0.66900,
2008-10,0.58800,
2008-11,0.55100,
2008-12,0.57625,
2009-01,0.50725,
2009-02,0.50425,
2009-03,0.56825,
2009-04,0.56325,
2009-05,0.62725,
2009-06,0.65175,
2009-07,0.65625,
2009-08,0.68175,
2009-09,0.72075,
2009-10,0.73125,
2009-11,0.71975,
2009-12,0.72525,
2010-01,0.70475,
2010-02,0.69375,
2010-03,0.70975,
2010-04,0.72425,
2010-05,0.68275,
2010-06,0.69275,
2010-07,0.72075,
2010-08,0.70175,
2010-09,0.73625,
2010-10,0.75375,
2010-11,0.74325,
2010-12,0.77125,
2011-01,0.77225,
2011-02,0.75075,
2011-03,0.75875,
2011-04,0.80125,
2011-05,0.82425,
2011-06,0.83025,
2011-07,0.86675,
2011-08,0.85275,
2011-09,0.76575,
2011-10,0.81075,
2011-11,0.76275,
2011-12,0.77225,
2012-01,0.82275,
2012-02,0.84175,
2012-03,0.81875,
2012-04,0.82175,
2012-05,0.75225,
2012-06,0.79325,
2012-07,0.81025,
2012-08,0.79875,
2012-09,0.83680,
2012-10,0.82325,
2012-11,0.82380,
2012-12,0.82530,
2013-01,0.83730,
2013-02,0.83280,
2013-03,0.83730,
2013-04,0.85785,
2013-05,0.80975,
2013-06,0.78170,
2013-07,0.79870,
2013-08,0.77870,
2013-09,0.82925,
2013-10,0.82680,
2013-11,0.81125,
2013-12,0.82275,
2014-01,0.81630,
2014-02,0.84180,
2014-03,0.86685,
2014-04,0.85785,
2014-05,0.85180,
2014-06,0.87690,
2014-07,0.85180,
2014-08,0.83780,
2014-09,0.78070,
2014-10,0.78370,
2014-11,0.78520,
2014-12,0.78740,
2015-01,0.73120,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since August 1997 Bank of New Zealand, Wellington 1990 - July 1997 Reserve Bank of New Zealand, Wellington",
