"",BBFB1.M.N.DE.W1.S1.S1.T.B.SI._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SI._Z._Z._Z._T._X.N_FLAGS
2010-11,-46.199,
2010-12,788.219,
2011-01,-493.749,
2011-02,-202.086,
2011-03,98.579,
2011-04,-7.548,
2011-05,-117.622,
2011-06,297.132,
2011-07,-110.018,
2011-08,-195.365,
2011-09,353.147,
2011-10,33.769,
2011-11,-77.714,
2011-12,1238.255,
2012-01,-614.093,
2012-02,-131.446,
2012-03,257.034,
2012-04,-68.806,
2012-05,-251.413,
2012-06,783.387,
2012-07,-196.950,
2012-08,-98.218,
2012-09,406.164,
2012-10,71.748,
2012-11,44.890,
2012-12,1153.565,
2013-01,-628.422,
2013-02,-921.580,
2013-03,-220.548,
2013-04,-259.777,
2013-05,-441.722,
2013-06,228.340,
2013-07,-149.008,
2013-08,-199.485,
2013-09,604.551,
2013-10,31.648,
2013-11,27.031,
2013-12,1000.174,
2014-01,-121.917,
2014-02,-139.491,Provisional value
2014-03,413.411,Provisional value
2014-04,-49.028,Provisional value
2014-05,-81.816,Provisional value
2014-06,690.822,Provisional value
2014-07,-341.368,Provisional value
2014-08,94.529,Provisional value
2014-09,469.030,
2014-10,182.546,
2014-11,184.179,
2014-12,1223.780,Provisional value
