"",BBFN1.M.DE.N.1.A.LU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1987-11,9.932,
1987-12,9.165,
1988-01,9.834,
1988-02,9.811,
1988-03,10.901,
1988-04,11.575,
1988-05,11.719,
1988-06,10.905,
1988-07,11.100,
1988-08,11.754,
1988-09,10.631,
1988-10,10.543,
1988-11,9.950,
1988-12,10.071,
1989-01,11.353,
1989-02,11.874,
1989-03,12.079,
1989-04,12.879,
1989-05,13.930,
1989-06,12.790,
1989-07,12.848,
1989-08,12.863,
1989-09,12.712,
1989-10,14.497,
1989-11,14.305,
1989-12,13.559,
1990-01,14.533,
1990-02,14.264,
1990-03,14.884,
1990-04,15.099,
1990-05,15.896,
1990-06,15.047,
1990-07,14.801,
1990-08,14.963,
1990-09,15.395,
1990-10,16.004,
1990-11,16.032,
1990-12,14.334,
1991-01,16.840,
1991-02,15.696,
1991-03,16.701,
1991-04,17.569,
1991-05,18.336,
1991-06,17.375,
1991-07,17.390,
1991-08,16.693,
1991-09,15.145,
1991-10,16.205,
1991-11,15.398,
1991-12,14.190,
1992-01,15.639,
1992-02,17.008,
1992-03,17.106,
1992-04,17.338,
1992-05,17.703,
1992-06,16.887,
1992-07,16.705,
1992-08,15.842,
1992-09,14.802,
1992-10,16.424,
1992-11,15.008,
1992-12,14.978,
1993-01,16.222,
1993-02,16.216,
1993-03,17.385,
1993-04,19.238,
1993-05,19.018,
1993-06,17.709,
1993-07,20.202,
1993-08,19.494,
1993-09,19.417,
1993-10,24.235,
1993-11,24.148,
1993-12,24.153,
1994-01,25.932,
1994-02,23.700,
1994-03,26.150,
1994-04,25.197,
1994-05,24.435,
1994-06,22.938,
1994-07,24.869,
1994-08,26.214,
1994-09,27.896,
1994-10,31.935,
1994-11,32.380,
1994-12,31.139,
1995-01,33.074,
1995-02,31.557,
1995-03,31.989,
1995-04,32.333,
1995-05,34.732,
1995-06,33.270,
1995-07,32.675,
1995-08,32.263,
1995-09,31.108,
1995-10,32.541,
1995-11,31.424,
1995-12,31.812,
1996-01,30.923,
1996-02,31.497,
1996-03,33.860,
1996-04,33.938,
1996-05,33.532,
1996-06,31.298,
1996-07,30.777,
1996-08,30.963,
1996-09,31.008,
1996-10,30.906,
1996-11,33.546,
1996-12,31.975,
1997-01,35.533,
1997-02,35.602,
1997-03,36.132,
1997-04,33.129,
1997-05,32.517,
1997-06,32.446,
1997-07,33.704,
1997-08,30.872,
1997-09,29.710,
1997-10,28.994,
1997-11,28.864,
1997-12,28.375,
1998-01,30.897,
1998-02,29.631,
1998-03,31.087,
1998-04,32.795,
1998-05,31.419,
1998-06,30.757,
1998-07,29.809,
1998-08,30.504,
1998-09,31.535,
1998-10,31.405,
1998-11,29.253,
1998-12,28.053,
1999-01,24.100,
1999-02,22.457,
1999-03,22.129,
1999-04,22.966,
1999-05,21.859,
1999-06,23.374,
1999-07,24.463,
1999-08,23.976,
1999-09,22.710,
1999-10,21.323,
1999-11,21.128,
1999-12,20.699,
2000-01,20.572,
2000-02,21.311,
2000-03,22.758,
2000-04,22.632,
2000-05,20.141,
2000-06,18.426,
2000-07,21.784,
2000-08,37.044,
2000-09,27.035,
2000-10,27.585,
2000-11,26.148,
2000-12,24.580,
2001-01,29.118,
2001-02,30.024,
2001-03,30.022,
2001-04,27.803,
2001-05,27.346,
2001-06,27.410,
2001-07,32.557,
2001-08,29.988,
2001-09,21.295,
2001-10,21.449,
2001-11,22.969,
2001-12,23.575,
2002-01,29.295,
2002-02,25.971,
2002-03,24.877,
2002-04,32.910,
2002-05,34.090,
2002-06,26.583,
2002-07,24.465,
2002-08,25.610,
2002-09,27.120,
2002-10,25.545,
2002-11,23.509,
2002-12,22.691,
2003-01,26.967,
2003-02,26.014,
2003-03,25.801,
2003-04,28.758,
2003-05,29.837,
2003-06,29.466,
2003-07,30.668,
2003-08,27.869,
2003-09,30.504,
2003-10,30.415,
2003-11,28.600,
2003-12,30.728,
2004-01,31.615,
2004-02,30.746,
2004-03,32.625,
2004-04,28.635,
2004-05,25.154,
2004-06,26.411,
2004-07,27.540,
2004-08,28.011,
2004-09,30.972,
2004-10,28.435,
2004-11,25.755,
2004-12,32.384,
2005-01,30.556,
2005-02,28.733,
2005-03,34.567,
2005-04,29.732,
2005-05,28.850,
2005-06,27.129,
2005-07,28.617,
2005-08,31.099,
2005-09,33.224,
2005-10,30.602,
2005-11,30.498,
2005-12,32.013,
2006-01,30.112,
2006-02,31.974,
2006-03,34.071,
2006-04,33.609,
2006-05,31.187,
2006-06,33.521,
2006-07,28.824,
2006-08,30.726,
2006-09,35.395,
2006-10,34.160,
2006-11,36.804,
2006-12,36.492,
2007-01,34.663,
2007-02,30.914,
2007-03,35.058,
2007-04,32.574,
2007-05,31.304,
2007-06,30.586,
2007-07,30.705,
2007-08,30.122,
2007-09,30.186,
2007-10,30.461,
2007-11,33.471,
2007-12,29.628,
2008-01,33.553,
2008-02,31.436,
2008-03,35.252,
2008-04,33.526,
2008-05,29.686,
2008-06,32.059,
2008-07,28.700,
2008-08,28.552,
2008-09,30.220,
2008-10,28.873,
2008-11,28.637,
2008-12,26.588,
2009-01,28.985,
2009-02,30.772,
2009-03,32.058,
2009-04,32.205,
2009-05,30.467,
2009-06,31.492,
2009-07,30.846,
2009-08,30.978,
2009-09,31.170,
2009-10,30.895,
2009-11,31.236,
2009-12,38.888,
2010-01,36.688,
2010-02,35.780,
2010-03,38.442,
2010-04,39.554,
2010-05,36.257,
2010-06,36.447,
2010-07,36.267,
2010-08,37.142,
2010-09,36.869,
2010-10,37.395,
2010-11,36.605,
2010-12,38.762,
2011-01,41.951,
2011-02,40.222,
2011-03,40.839,
2011-04,40.370,
2011-05,40.086,
2011-06,38.504,
2011-07,36.920,
2011-08,37.466,
2011-09,38.137,
2011-10,39.786,
2011-11,37.411,
2011-12,33.724,
2012-01,37.859,
2012-02,37.767,
2012-03,36.259,
2012-04,35.166,
2012-05,35.159,
2012-06,38.309,
2012-07,36.336,
2012-08,37.064,
2012-09,38.843,
2012-10,40.329,
2012-11,43.405,
2012-12,49.656,
2013-01,48.147,
2013-02,46.776,
2013-03,48.646,
2013-04,49.162,
2013-05,46.808,
2013-06,49.518,
2013-07,51.952,
2013-08,49.745,
2013-09,52.127,
2013-10,51.687,
2013-11,48.719,
2013-12,46.326,
2014-01,50.190,
2014-02,49.896,
2014-03,49.461,
2014-04,48.932,
2014-05,48.483,
2014-06,50.914,
2014-07,48.375,
2014-08,48.934,
2014-09,50.538,
2014-10,48.772,
2014-11,50.342,
2014-12,50.650,
