"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00_FLAGS
1997-07,52323,
1997-08,46837,
1997-09,49538,
1997-10,45512,
1997-11,47636,
1997-12,49682,
1998-01,52441,
1998-02,56511,
1998-03,61793,
1998-04,63015,
1998-05,67215,
1998-06,70637,
1998-07,73640,
1998-08,62828,
1998-09,58552,
1998-10,61942,
1998-11,71088,
1998-12,71640,
1999-01,76658,
1999-02,76999,
1999-03,81239,
1999-04,87826,
1999-05,84366,
1999-06,92341,
1999-07,91012,
1999-08,95194,
1999-09,93351,
1999-10,101197,
1999-11,115791,
1999-12,134039,
2000-01,136876,
2000-02,156513,
2000-03,157463,
2000-04,156326,
2000-05,150038,
2000-06,155381,
2000-07,158266,
2000-08,172979,
2000-09,167271,
2000-10,167212,
2000-11,151852,
2000-12,147741,
2001-01,154868,
2001-02,139983,
2001-03,129557,
2001-04,140361,
2001-05,142147,
2001-06,137547,
2001-07,129763,
2001-08,117163,
2001-09,100346,
2001-10,106123,
2001-11,118263,
2001-12,122375,
2002-01,119794,
2002-02,117120,
2002-03,123426,
2002-04,113339,
2002-05,111013,
2002-06,98612,
2002-07,90202,
2002-08,88886,
2002-09,75222,
2002-10,82712,
2002-11,88101,
2002-12,78516,
2003-01,73167,
2003-02,70126,
2003-03,68837,
2003-04,76398,
2003-05,76967,
2003-06,83726,
2003-07,86967,
2003-08,91513,
2003-09,85903,
2003-10,92545,
2003-11,92530,
2003-12,95400,
2004-01,99477,
2004-02,100471,
2004-03,99085,
2004-04,98891,
2004-05,95514,
2004-06,98234,
2004-07,93669,
2004-08,92459,
2004-09,93539,
2004-10,93831,
2004-11,96476,
2004-12,98758,
2005-01,99015,
2005-02,101962,
2005-03,100912,
2005-04,96225,
2005-05,100692,
2005-06,105279,
2005-07,111475,
2005-08,110491,
2005-09,115850,
2005-10,111979,
2005-11,119952,
2005-12,124703,
2006-01,128856,
2006-02,132957,
2006-03,134304,
2006-04,132984,
2006-05,122615,
2006-06,121890,
2006-07,122799,
2006-08,125212,
2006-09,126968,
2006-10,130868,
2006-11,128982,
2006-12,132583,
2007-01,133735,
2007-02,131943,
2007-03,133129,
2007-04,137921,
2007-05,142516,
2007-06,140462,
2007-07,134986,
2007-08,131299,
2007-09,134073,
2007-10,137482,
2007-11,129333,
2007-12,130172,
2008-01,111704,
2008-02,111302,
2008-03,106192,
2008-04,116550,
2008-05,119683,
2008-06,104485,
2008-07,102796,
2008-08,103028,
2008-09,89626,
2008-10,73395,
2008-11,69452,
2008-12,70508,
2009-01,72280,
2009-02,64111,
2009-03,64629,
2009-04,75158,
2009-05,78613,
2009-06,77809,
2009-07,86022,
2009-08,89657,
2009-09,96739,
2009-10,94869,
2009-11,95855,
2009-12,103006,
2010-01,98199,
2010-02,99836,
2010-03,107907,
2010-04,113918,
2010-05,110728,
2010-06,100988,
2010-07,103034,
2010-08,100384,
2010-09,104889,
2010-10,110556,
2010-11,113339,
2010-12,120705,
2011-01,120647,
2011-02,122132,
2011-03,119044,
2011-04,122061,
2011-05,121840,
2011-06,119390,
2011-07,119984,
2011-08,101956,
2011-09,96927,
2011-10,106008,
2011-11,103225,
2011-12,104889,
2012-01,111726,
2012-02,115930,
2012-03,115842,
2012-04,110353,
2012-05,106115,
2012-06,107746,
2012-07,114220,
2012-08,115615,
2012-09,117812,
2012-10,117322,
2012-11,118642,
2012-12,121544,
2013-01,124723,
2013-02,126920,
2013-03,129516,
2013-04,129938,
2013-05,133420,
2013-06,126908,
2013-07,132604,
2013-08,130855,
2013-09,136437,
2013-10,142206,
2013-11,145674,
2013-12,146846,
2014-01,142620,
2014-02,148074,
2014-03,146886,
2014-04,147940,
2014-05,151942,
2014-06,152467,
2014-07,149511,
2014-08,152048,
2014-09,149522,
2014-10,147443,
2014-11,151369,
