"",BBFN1.M.DE.N.1.L.CA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2002-03,0.395,
2002-04,0.390,
2002-05,0.399,
2002-06,0.465,
2002-07,0.469,
2002-08,0.505,
2002-09,0.688,
2002-10,0.669,
2002-11,0.750,
2002-12,0.903,
2003-01,0.410,
2003-02,0.508,
2003-03,0.455,
2003-04,0.479,
2003-05,0.569,
2003-06,0.808,
2003-07,0.628,
2003-08,0.661,
2003-09,0.800,
2003-10,0.770,
2003-11,1.057,
2003-12,1.635,
2004-01,0.905,
2004-02,0.920,
2004-03,1.033,
2004-04,1.042,
2004-05,0.993,
2004-06,1.056,
2004-07,1.156,
2004-08,1.176,
2004-09,1.319,
2004-10,1.365,
2004-11,1.581,
2004-12,1.837,
2005-01,0.463,
2005-02,0.504,
2005-03,0.587,
2005-04,0.552,
2005-05,0.482,
2005-06,0.482,
2005-07,0.537,
2005-08,0.495,
2005-09,0.888,
2005-10,0.936,
2005-11,0.883,
2005-12,0.813,
2006-01,0.392,
2006-02,0.438,
2006-03,0.319,
2006-04,0.321,
2006-05,0.291,
2006-06,0.304,
2006-07,0.356,
2006-08,0.365,
2006-09,0.329,
2006-10,0.410,
2006-11,0.367,
2006-12,0.655,
2007-01,0.612,
2007-02,0.653,
2007-03,0.931,
2007-04,0.827,
2007-05,0.845,
2007-06,0.982,
2007-07,0.998,
2007-08,1.014,
2007-09,1.063,
2007-10,2.325,
2007-11,2.055,
2007-12,2.080,
2008-01,1.635,
2008-02,1.198,
2008-03,1.078,
2008-04,0.778,
2008-05,0.726,
2008-06,0.963,
2008-07,0.822,
2008-08,0.944,
2008-09,1.307,
2008-10,1.036,
2008-11,1.109,
2008-12,0.902,
2009-01,1.095,
2009-02,0.945,
2009-03,0.956,
2009-04,1.043,
2009-05,1.012,
2009-06,1.013,
2009-07,1.097,
2009-08,1.104,
2009-09,1.172,
2009-10,1.227,
2009-11,1.224,
2009-12,1.183,
2010-01,1.278,
2010-02,1.251,
2010-03,1.269,
2010-04,1.642,
2010-05,1.301,
2010-06,1.535,
2010-07,1.413,
2010-08,1.244,
2010-09,1.170,
2010-10,1.188,
2010-11,1.272,
2010-12,1.084,
2011-01,1.293,
2011-02,1.134,
2011-03,1.379,
2011-04,1.479,
2011-05,1.484,
2011-06,1.463,
2011-07,1.529,
2011-08,1.542,
2011-09,1.527,
2011-10,1.573,
2011-11,1.514,
2011-12,1.266,
2012-01,1.573,
2012-02,1.250,
2012-03,1.604,
2012-04,1.664,
2012-05,1.733,
2012-06,1.817,
2012-07,1.945,
2012-08,1.985,
2012-09,1.505,
2012-10,1.646,
2012-11,1.646,
2012-12,1.668,
2013-01,1.662,
2013-02,1.618,
2013-03,1.688,
2013-04,1.676,
2013-05,1.692,
2013-06,1.630,
2013-07,1.701,
2013-08,1.668,
2013-09,1.682,
2013-10,1.656,
2013-11,1.765,
2013-12,2.171,
2014-01,2.149,
2014-02,2.089,
2014-03,2.150,
2014-04,2.175,
2014-05,2.248,
2014-06,2.354,
2014-07,2.340,
2014-08,3.016,
2014-09,3.136,
2014-10,3.175,
2014-11,3.356,
2014-12,2.657,
