"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4S.D.F5._Z._T._X.N_FLAGS
2013-07,1907.737,
2013-08,1888.414,
2013-09,1824.448,
2013-10,1882.781,
2013-11,1840.218,
2013-12,1881.456,
2014-01,1829.777,
2014-02,1817.477,Provisional value
2014-03,1895.806,Provisional value
2014-04,1888.539,Provisional value
2014-05,2201.371,Provisional value
2014-06,2191.697,Provisional value
2014-07,1981.962,Provisional value
2014-08,2067.217,Provisional value
2014-09,1985.801,
2014-10,1916.812,
2014-11,1938.185,
2014-12,2013.297,Provisional value
