"",BBFN1.M.DE.N.1.L.SE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2012-08,4.413,
2012-09,4.824,
2012-10,4.755,
2012-11,4.788,
2012-12,4.457,
2013-01,6.180,
2013-02,5.242,
2013-03,5.490,
2013-04,5.709,
2013-05,6.352,
2013-06,6.429,
2013-07,6.276,
2013-08,5.609,
2013-09,4.679,
2013-10,4.820,
2013-11,5.767,
2013-12,4.310,
2014-01,3.922,
2014-02,3.939,
2014-03,4.312,
2014-04,4.324,
2014-05,6.969,
2014-06,3.732,
2014-07,3.953,
2014-08,3.994,
2014-09,4.010,
2014-10,4.005,
2014-11,4.008,
2014-12,3.909,
