"",BBEX3.M.NOK.USD.CA.AB.A02,BBEX3.M.NOK.USD.CA.AB.A02_FLAGS
2000-09,9.2287,
2000-10,9.3621,
2000-11,9.3408,
2000-12,9.0896,
2001-01,8.7714,
2001-02,8.9124,
2001-03,8.9749,
2001-04,9.0858,
2001-05,9.1359,
2001-06,9.2964,
2001-07,9.2780,
2001-08,8.9561,
2001-09,8.7831,
2001-10,8.8324,
2001-11,8.9296,
2001-12,8.9611,
2002-01,8.9714,
2002-02,8.9646,
2002-03,8.8204,
2002-04,8.6259,
2002-05,8.2026,
2002-06,7.7791,
2002-07,7.4730,
2002-08,7.6153,
2002-09,7.5190,
2002-10,7.4932,
2002-11,7.3245,
2002-12,7.1760,
2003-01,6.9193,
2003-02,7.0119,
2003-03,7.2667,
2003-04,7.2226,
2003-05,6.8293,
2003-06,7.0004,
2003-07,7.3035,
2003-08,7.4225,
2003-09,7.3225,
2003-10,7.0482,
2003-11,7.0177,
2003-12,6.7249,
2004-01,6.8208,
2004-02,6.9537,
2004-03,6.9683,
2004-04,6.9384,
2004-05,6.8455,
2004-06,6.8359,
2004-07,6.9140,
2004-08,6.8498,
2004-09,6.8571,
2004-10,6.6050,
2004-11,6.2880,
2004-12,6.1479,
2005-01,6.2710,
2005-02,6.4004,
2005-03,6.2024,
2005-04,6.3298,
2005-05,6.3799,
2005-06,6.4988,
2005-07,6.5913,
2005-08,6.4490,
2005-09,6.3813,
2005-10,6.5287,
2005-11,6.6463,
2005-12,6.7319,
2006-01,6.6470,
2006-02,6.7579,
2006-03,6.6479,
2006-04,6.4034,
2006-05,6.1207,
2006-06,6.2170,
2006-07,6.2675,
2006-08,6.2499,
2006-09,6.4936,
2006-10,6.6635,
2006-11,6.4160,
2006-12,6.1814,
2007-01,6.3713,
2007-02,6.1955,
2007-03,6.1477,
2007-04,6.0128,
2007-05,6.0327,
2007-06,6.0174,
2007-07,5.7986,
2007-08,5.8710,
2007-09,5.6506,
2007-10,5.4165,
2007-11,5.4176,
2007-12,5.5148,
2008-01,5.4249,
2008-02,5.4021,
2008-03,5.1441,
2008-04,5.0693,
2008-05,5.0676,
2008-06,5.1476,
2008-07,5.1142,
2008-08,5.3363,
2008-09,5.6755,
2008-10,6.5065,
2008-11,6.9474,
2008-12,7.0077,
2009-01,6.9823,
2009-02,6.8881,
2009-03,6.7859,
2009-04,6.6879,
2009-05,6.4691,
2009-06,6.3941,
2009-07,6.3731,
2009-08,6.0896,
2009-09,5.9204,
2009-10,5.6545,
2009-11,5.6544,
2009-12,5.7677,
2010-01,5.7436,
2010-02,5.9259,
2010-03,5.9339,
2010-04,5.9255,
2010-05,6.2863,
2010-06,6.4840,
2010-07,6.3020,
2010-08,6.1589,
2010-09,6.0743,
2010-10,5.8448,
2010-11,5.9666,
2010-12,5.9902,
2011-01,5.8729,
2011-02,5.7481,
2011-03,5.6068,
2011-04,5.4260,
2011-05,5.4722,
2011-06,5.4536,
2011-07,5.4584,
2011-08,5.4445,
2011-09,5.6265,
2011-10,5.6697,
2011-11,5.7562,
2011-12,5.8924,
2012-01,5.9591,
2012-02,5.7280,
2012-03,5.7105,
2012-04,5.7583,
2012-05,5.9250,
2012-06,6.0269,
2012-07,6.0748,
2012-08,5.9258,
2012-09,5.7659,
2012-10,5.7245,
2012-11,5.7306,
2012-12,5.6331,
2013-01,5.5693,
2013-02,5.5703,
2013-03,5.7780,
2013-04,5.8068,
2013-05,5.8416,
2013-06,5.8769,
2013-07,6.0440,
2013-08,5.9742,
2013-09,5.9884,
2013-10,5.9687,
2013-11,6.0978,
2013-12,6.1523,
2014-01,6.1748,
2014-02,6.1435,
2014-03,6.0172,
2014-04,5.9942,
2014-05,5.9536,
2014-06,6.0510,
2014-07,6.2164,
2014-08,6.2237,
2014-09,6.3591,
2014-10,6.5627,
2014-11,6.8282,
2014-12,7.2853,
2015-01,7.7091,
"","Source: Since December 2003  DNB, Oslo (formerly DnB NOR) 1991 - November 2003 Den norske Bank, Oslo 1972 - 1990 Den norske Creditbank, Oslo",
"",Methodology: Calculated on the basis of daily rates.,
"","Comment on 1992-12: On 10 December 1992, the Norwegian central bank decided to abandon the unilateral pegging of the Norwegian krone to the ECU and allow the krone to float. On the basis of the exchange rates on 9 and 11 December 1992, the krone depreciated by 6.5% against the US dollar (middle rate). No exchange rate data are available for 10 December 1992.",
