"",BBDA1.M.DE.N.EX.S.A.W100X2.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.W100X2.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Rest of the World excluding European countries / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:38,
2012-08,29917617,
2012-09,28460858,
2012-10,30327864,
2012-11,29181492,
2012-12,25731801,
2013-01,26252489,
2013-02,26515062,
2013-03,29528265,
2013-04,29762882,
2013-05,27319692,
2013-06,27873511,
2013-07,29862411,
2013-08,27859512,
2013-09,29106533,
2013-10,30357589,
2013-11,29950325,
2013-12,26824885,
2014-01,26679038,
2014-02,27917714,
2014-03,29665219,
2014-04,28885511,
2014-05,28766932,
2014-06,28668866,
2014-07,33530267,
2014-08,27170854,
2014-09,33410402,
2014-10,33684879,
2014-11,29977062,
2014-12,30774478,
