"",BBK01.OUO006,BBK01.OUO006_FLAGS
2006-04,4.046,
2006-05,8.935,
2006-06,4.380,
2006-07,4.458,
2006-08,5.949,
2006-09,7.667,
2006-10,6.454,
2006-11,6.375,
2006-12,7.288,
2007-01,3.966,
2007-02,8.468,
2007-03,8.971,
2007-04,5.539,
2007-05,5.347,
2007-06,6.355,
2007-07,6.271,
2007-08,5.604,
2007-09,6.069,
2007-10,12.457,
2007-11,8.326,
2007-12,12.027,
2008-01,7.467,
2008-02,9.881,
2008-03,13.408,
2008-04,9.015,
2008-05,7.111,
2008-06,8.284,
2008-07,7.385,
2008-08,4.984,
2008-09,8.282,
2008-10,5.909,
2008-11,7.854,
2008-12,13.076,
2009-01,6.504,
2009-02,7.833,
2009-03,7.193,
2009-04,4.054,
2009-05,9.214,
2009-06,9.685,
2009-07,15.143,
2009-08,18.785,
2009-09,14.283,
2009-10,15.642,
2009-11,21.074,
2009-12,10.213,
2010-01,9.074,
2010-02,7.597,
2010-03,16.462,
2010-04,13.541,
2010-05,10.210,
2010-06,10.191,
2010-07,9.937,
2010-08,7.074,
2010-09,9.343,
2010-10,8.674,
2010-11,7.074,
2010-12,7.176,
2011-01,7.979,
2011-02,6.743,
2011-03,6.147,
2011-04,4.237,
2011-05,8.996,
2011-06,10.157,
2011-07,9.204,
2011-08,10.934,
2011-09,9.711,
2011-10,9.233,
2011-11,10.361,
2011-12,12.327,
2012-01,16.141,
2012-02,12.834,
2012-03,15.552,
2012-04,22.699,
2012-05,24.562,
2012-06,24.293,
2012-07,55.293,
2012-08,64.278,
2012-09,57.977,
2012-10,49.692,
2012-11,59.824,
2012-12,33.414,
2013-01,39.313,
2013-02,31.648,
2013-03,35.786,
2013-04,38.252,
2013-05,34.857,
2013-06,26.587,
2013-07,23.352,
2013-08,28.587,
2013-09,24.827,
2013-10,17.648,
2013-11,19.225,
2013-12,18.064,
2014-01,16.660,
2014-02,13.344,
2014-03,10.216,
2014-04,15.544,
2014-05,14.967,
2014-06,9.473,
2014-07,8.706,
2014-08,17.088,
2014-09,17.092,
2014-10,16.505,
2014-11,11.295,
2014-12,16.502,Provisional value
"","General: Owing to the treatment of statistical breaks and revisions in the time series, see the section headed ""Data interpretation"" in the ""General notes"".",
